,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,6.2,0.0,1.2,73.0,6.9,1023.4,0.0,4.0,0.001,0.2,0.022,0.012,25.0,14.0
1,6.8,0.0,1.1,74.0,7.3,1023.3,0.0,4.7,0.001,0.2,0.024,0.01,21.0,17.0
2,7.0,0.0,1.5,74.0,7.4,1023.0,0.0,4.8,0.001,0.2,0.027,0.007,19.0,18.0
3,7.0,0.0,1.2,77.0,7.7,1023.2,0.0,5.3,0.001,0.2,0.026,0.006,23.0,17.0
4,7.4,0.0,1.3,77.0,7.9,1022.9,0.0,5.4,0.001,0.2,0.023,0.008,25.0,19.0
5,7.6,0.0,1.2,77.0,8.0,1022.8,0.0,5.8,0.001,0.2,0.021,0.011,25.0,19.0
6,7.6,0.0,1.3,78.0,8.1,1022.8,0.0,5.7,0.001,0.3,0.011,0.02,29.0,18.0
7,7.6,0.0,1.4,79.0,8.2,1023.2,0.0,5.7,0.001,0.3,0.008,0.024,33.0,20.0
8,6.9,0.0,1.3,82.0,8.1,1023.4,0.0,5.3,0.001,0.3,0.01,0.023,25.0,18.0
9,8.0,0.0,1.0,80.0,8.5,1024.0,0.2,6.3,0.001,0.3,0.018,0.021,31.0,19.0
10,11.3,0.0,0.5,66.0,8.8,1024.1,0.8,8.1,0.001,0.2,0.037,0.005,43.0,27.0
11,11.3,0.0,0.6,66.0,8.8,1024.2,0.9,12.1,0.001,0.2,0.04,0.004,25.0,15.0
12,11.5,0.0,0.3,67.0,9.0,1023.7,0.6,12.7,0.001,0.2,0.041,0.004,25.0,17.0
13,11.5,0.0,0.7,67.0,9.0,1022.6,0.2,14.1,0.001,0.2,0.042,0.003,19.0,12.0
14,12.3,0.0,0.8,65.0,9.2,1021.5,0.6,16.5,0.001,0.2,0.043,0.004,25.0,12.0
15,11.9,0.0,1.2,67.0,9.3,1020.7,0.6,13.9,0.001,0.2,0.045,0.004,15.0,11.0
16,12.2,0.0,1.4,63.0,8.9,1020.1,0.9,12.7,0.001,0.2,0.044,0.006,31.0,13.0
17,11.9,0.0,1.3,66.0,9.2,1019.8,1.0,10.6,0.001,0.2,0.039,0.011,27.0,14.0
18,11.3,0.0,0.5,70.0,9.3,1019.6,0.1,9.7,0.001,0.3,0.023,0.024,29.0,17.0
19,11.2,0.0,0.5,70.0,9.3,1020.0,0.0,9.4,0.001,0.3,0.024,0.02,35.0,26.0
20,11.2,0.0,0.5,70.0,9.3,1019.7,0.0,9.3,0.001,0.3,0.023,0.021,29.0,20.0
21,11.2,0.0,0.7,70.0,9.3,1019.6,0.0,9.1,0.001,0.3,0.022,0.02,27.0,20.0
22,10.7,0.0,1.3,73.0,9.3,1019.0,0.0,8.5,0.001,0.2,0.021,0.018,33.0,18.0
23,10.5,0.0,1.4,74.0,9.3,1018.5,0.0,8.6,0.001,0.2,0.025,0.014,29.0,19.0
24,10.9,0.0,1.0,73.0,9.5,1018.4,0.0,8.7,0.001,0.2,0.026,0.011,23.0,18.0
25,11.1,0.0,1.0,74.0,9.7,1017.8,0.0,8.9,0.001,0.2,0.027,0.01,25.0,16.0
26,11.4,0.0,0.8,74.0,9.9,1017.2,0.0,8.9,0.001,0.2,0.028,0.009,27.0,19.0
27,11.3,0.0,1.1,76.0,10.2,1017.5,0.0,9.1,0.001,0.2,0.024,0.009,21.0,15.0
28,11.2,0.0,1.1,78.0,10.3,1016.9,0.0,9.1,0.001,0.2,0.017,0.013,25.0,19.0
29,11.2,0.0,0.8,80.0,10.6,1015.9,0.0,9.1,0.001,0.2,0.016,0.014,27.0,16.0
30,11.1,0.1,1.4,84.0,11.0,1016.2,0.0,9.3,0.001,0.2,0.016,0.018,29.0,16.0
31,10.8,0.0,1.2,89.0,11.5,1016.4,0.0,9.3,0.001,0.3,0.006,0.03,27.0,15.0
32,10.9,0.0,1.3,91.0,11.8,1016.5,0.0,9.5,0.001,0.5,0.001,0.04,33.0,28.0
33,11.4,0.2,1.0,92.0,12.4,1016.9,0.0,10.0,0.001,0.6,0.0,0.044,41.0,32.0
34,11.9,0.0,0.2,90.0,12.5,1017.2,0.0,10.7,0.001,0.5,0.001,0.041,49.0,35.0
35,12.3,0.0,0.2,89.0,12.7,1017.2,0.0,11.4,0.001,0.4,0.012,0.03,47.0,37.0
