,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,1.9,0.0,0.1,91.0,6.3,1021.6,0.0,-1.3,0.003,1.0,0.002,0.031,35.0,23.0
1,1.3,0.0,0.1,93.0,6.2,1021.4,0.0,-1.4,0.003,0.9,0.002,0.028,34.0,23.0
2,0.9,0.0,0.4,95.0,6.2,1021.8,0.0,-1.8,0.003,0.9,0.002,0.026,28.0,20.0
3,0.7,0.0,0.9,95.0,6.1,1021.5,0.0,-2.1,0.002,0.8,0.002,0.025,28.0,19.0
4,0.3,0.0,0.2,97.0,6.1,1020.6,0.0,-2.7,0.003,1.0,0.002,0.025,25.0,20.0
5,-0.3,0.0,1.0,97.0,5.8,1020.9,0.0,-2.2,0.003,1.0,0.002,0.026,33.0,19.0
6,0.2,0.0,0.0,97.0,6.0,1020.9,0.0,-2.0,0.003,1.0,0.002,0.027,33.0,27.0
7,0.6,0.0,0.3,96.0,6.1,1021.5,0.0,-1.8,0.003,1.2,0.002,0.027,35.0,26.0
8,0.5,0.0,0.6,97.0,6.1,1021.9,0.0,-2.6,0.003,1.3,0.002,0.027,35.0,28.0
9,1.5,0.0,0.3,94.0,6.4,1022.4,0.3,-1.2,0.003,1.3,0.004,0.03,37.0,27.0
10,2.8,0.0,0.7,87.0,6.5,1022.7,0.2,-0.4,0.004,1.1,0.007,0.031,44.0,38.0
11,4.7,0.0,0.8,78.0,6.6,1022.4,0.9,4.1,0.004,1.0,0.009,0.034,54.0,37.0
12,6.7,0.0,1.0,68.0,6.7,1021.5,1.0,11.9,0.004,0.8,0.024,0.029,60.0,42.0
13,9.9,0.0,1.3,57.0,6.9,1020.3,1.0,15.3,0.004,0.6,0.035,0.018,54.0,38.0
14,10.0,0.0,1.5,54.0,6.6,1019.4,1.0,15.6,0.004,0.6,0.035,0.018,46.0,31.0
15,10.5,0.0,1.2,56.0,7.1,1018.8,1.0,13.6,0.004,0.6,0.035,0.019,46.0,28.0
