,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,2.5,0.0,2.2,68.0,5.0,1002.9,0.0,-1.4,0.0023,0.4,0.008,0.0056,46.0,0.0
1,2.7,0.0,2.6,67.0,5.0,1003.0,0.0,-1.5,0.002,0.4,0.007,0.0065,46.0,0.0
2,3.3,0.0,4.2,60.0,4.6,1003.0,0.0,-1.0,0.0026,0.4,0.004,0.0112,50.0,0.0
3,-2.2,0.0,1.5,82.0,4.3,1003.3,0.0,-2.5,0.0023,0.4,0.004,0.0109,50.0,0.0
4,-2.3,0.0,1.3,86.0,4.4,1003.1,0.0,-2.6,0.0022,0.4,0.005,0.0072,44.0,0.0
5,-2.5,0.0,0.9,86.0,4.4,1003.3,0.0,-2.7,0.0022,0.4,0.005,0.0073,48.0,0.0
6,-3.2,0.0,1.0,88.0,4.2,1002.8,0.0,-3.5,0.0019,0.4,0.004,0.0055,50.0,0.0
7,-3.9,0.0,0.8,89.0,4.1,1002.9,0.0,-4.4,0.0022,0.4,0.003,0.0062,48.0,0.0
8,-4.3,0.0,0.9,90.0,4.0,1003.4,0.0,-4.7,0.0023,0.4,0.003,0.0051,40.0,0.0
9,-2.3,0.0,1.8,88.0,4.5,1003.9,0.6,-2.1,0.0023,0.5,0.006,0.0055,48.0,0.0
10,0.0,0.0,1.3,80.0,4.9,1004.2,1.0,0.2,0.0024,0.4,0.011,0.0053,62.0,0.0
11,5.1,0.0,6.7,57.0,5.0,1004.0,1.0,3.9,0.0028,0.4,0.018,0.005,52.0,0.0
12,6.0,0.0,6.1,53.0,5.0,1003.4,1.0,6.8,0.0027,0.4,0.023,0.0051,56.0,0.0
13,6.1,0.0,6.3,53.0,5.0,1002.5,1.0,8.6,0.0035,0.4,0.04,0.0049,64.0,0.0
14,6.2,0.0,6.4,54.0,5.1,1001.6,1.0,8.0,0.0037,0.4,0.048,0.0044,74.0,0.0
15,6.2,0.0,5.5,53.0,5.0,1001.1,1.0,6.6,0.0043,0.4,0.05,0.0048,65.0,0.0
