,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
기온(°C),-0.05563389204344629,0.15605689874754722,-0.05491283754804246,-0.1824649943622989,-0.18593989074297287,-0.0585706397532205,0.01831359606976036
강수량(mm),-0.30785074953634195,-0.19504867575193516,-0.22701075681108376,-0.2628534854375692,-0.2126241167956954,-0.34691915843312204,-0.18974977320512104
풍속(m__s),0.3121614981634108,0.08426249144005135,0.17017088312201237,0.1911683416895971,0.10691017064613184,0.16465633906035104,-0.015209177655664477
습도(%),-0.717942342826446,-0.33311510045489656,-0.5984078295106249,-0.7156284670105839,-0.6107898618823953,-0.6789794979571925,-0.5650433904619071
증기압(hPa),-0.36989457368527096,-0.030542385203393724,-0.2820812208444942,-0.4368524001357859,-0.37097032933989654,-0.33911885647530293,-0.2681057187950664
현지기압(hPa),0.26779135399505527,0.0379783858019785,0.19690580627000503,0.291487609582808,0.30036937550293746,0.2660788756094892,0.17580543978405755
일조(hr),0.8257079853065102,0.6340500456690262,0.763227831087455,0.8058473546768492,0.7873603005138882,0.8240539916352194,0.6260486190058608
지면온도(°C),0.164919624554789,0.418725067796065,0.29549539939844055,0.03372415182899033,0.051928059145852225,0.21473114901765225,0.23730082841222735
SO2,0.02527698100765727,0.1346665573631238,0.12307244873180191,0.24029657587540515,0.16119917151382032,0.08024623094025143,-0.020354135213853815
CO,-0.052177449982654715,-0.04665031696312032,-0.013775796191730904,0.05789834171302516,-0.042802953552666945,0.053907390931942994,0.006435219810500929
O3,0.41802668338476195,0.30783188530604993,0.36930157820779175,0.26118434149767533,0.2993331948690209,0.35034139862636016,0.3751498424063146
NO2,-0.20651592606277344,-0.2856116672812218,-0.162972866615749,-0.05583972641815596,-0.20344304649802075,-0.04152893905697096,-0.040494464973259627
PM10,0.17168865685194537,0.22381102832252328,0.23719547266818708,0.2818342931352711,0.14628456604219037,0.20911659492961163,0.277471772315528
PM25,0.11976979297462934,0.19347623016277127,0.11145104915224024,0.17917822539057487,-0.012714122626559238,0.11562737713334044,0.1544779550860663
