,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
기온(°C),-0.05563389204344626,0.15623667741620909,-0.054413197669802904,-0.17913942225018958,-0.18593989074297274,-0.05857063975322058,0.020380835305018268
강수량(mm),-0.3078507495363424,-0.1950611960928234,-0.2269929857870284,-0.2594607714496821,-0.2126241167956957,-0.346919158433122,-0.1911824444022158
풍속(m__s),0.31216149816341043,0.08336876951229932,0.17055415177620878,0.1915198825026506,0.10691017064613151,0.16465633906035118,-0.013367806827402445
습도(%),-0.7179423428264463,-0.3332852741113548,-0.5982766354836369,-0.7123705119791115,-0.6107898618823955,-0.678979497957193,-0.5665225685623148
증기압(hPa),-0.36989457368527034,-0.03027784177375826,-0.2817649449969082,-0.43327236628435617,-0.37097032933989604,-0.3391188564753041,-0.2668989337867818
현지기압(hPa),0.26779135399505516,0.038084635951064226,0.19644085992234225,0.28737509429980734,0.30036937550293674,0.26607887560948956,0.1765838072367343
일조(hr),0.825707985306511,0.6337781760983942,0.7631617936955136,0.8045010644691868,0.7873603005138887,0.8240539916352196,0.6257829303578429
지면온도(°C),0.1649196245547892,0.41852640601442714,0.29595262542133777,0.03571276365813099,0.051928059145852454,0.21473114901765283,0.23836712099929405
SO2,0.02527698100765677,0.13443887979370014,0.12322505463986297,0.22425777334686028,0.16119917151382188,0.08024623094025073,-0.0033937679835845673
CO,-0.052177449982655257,-0.04640503524332356,-0.014639065683101011,0.0531773331935503,-0.042802953552666646,0.05390739093194342,0.011845143678947848
O3,0.4180266833847603,0.30622377073928325,0.3699158777269148,0.26095104350777115,0.2993331948690216,0.35034139862636066,0.37961422436692943
NO2,-0.20651592606277352,-0.28655330781959637,-0.16368251826904057,-0.060815258381539734,-0.2034430464980203,-0.04152893905697129,-0.04073528563170327
PM10,0.1716886568519452,0.22204414157814986,0.23669967338944717,0.27796462579708486,0.1462845660421902,0.20911659492961185,0.28108854903871366
PM25,0.11976979297462902,0.19235605496306038,0.11127942492189609,0.17491397746584447,-0.012714122626558348,0.11562737713333988,0.15633554316338413
