,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,8.0,,11.0,,9.0,,
1,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,12.0,,12.0,,
2,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,8.0,,13.0,,11.0,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,12.0,,,,11.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,,,10.0,,,,
5,,,,,,,,,,,,,,7.0,7.0,7.0,,,,7.0,,,,,,,,9.0,9.0,9.0,,,,12.0,7.0,,,
6,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,10.0,,11.0,,10.0,,10.0
7,,,,,8.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,10.0,10.0,10.0,,8.0,,10.0,8.0,10.0,,10.0
8,,,,,10.0,,,,,,,,,9.0,9.0,9.0,,,,9.0,,,,,,,,12.0,12.0,12.0,,10.0,,11.0,9.0,10.0,,10.0
9,,,,,10.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,11.0,11.0,11.0,,10.0,,10.0,10.0,10.0,,10.0
10,,,,,11.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,12.0,12.0,12.0,,11.0,,11.0,10.0,10.0,,10.0
11,,,,,11.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,12.0,12.0,12.0,,11.0,,35.0,8.0,10.0,,10.0
12,,,,,8.0,,,,,,,,,7.0,7.0,7.0,,,,7.0,,,,,,,,,,,,8.0,,35.0,7.0,10.0,,
13,,,,,8.0,,,,,,,,,7.0,7.0,7.0,,,,7.0,,,,,,,,9.0,9.0,9.0,,8.0,,,7.0,,,
14,,,,,7.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,10.0,10.0,10.0,,7.0,,,6.0,,,
15,,,,,8.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,10.0,10.0,10.0,,8.0,,11.0,8.0,,,
16,,,,,10.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,8.0,8.0,8.0,,10.0,,11.0,8.0,,,
17,,,,,10.0,,,,,,,,,9.0,9.0,9.0,,,,9.0,,,,,,,,,,,,10.0,,10.0,9.0,,,
18,,,,,12.0,,,,,,,,,9.0,9.0,9.0,,,,9.0,,,,,,,,,,,,12.0,,,9.0,,,
19,,,,,11.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,,,,,11.0,,,10.0,,,
20,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,10.0,10.0,10.0,,12.0,,74.0,10.0,,,
21,,,,,10.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,10.0,10.0,10.0,,10.0,,,10.0,,,
22,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,10.0,,,,,,
23,,,,,9.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,8.0,8.0,8.0,,9.0,,,10.0,,,
24,,,,,9.0,,,,,,,,,11.0,11.0,11.0,,,,11.0,,,,,,,,8.0,8.0,8.0,,9.0,,11.0,11.0,10.0,,
25,,,,,13.0,,,,,,,,,12.0,12.0,12.0,,,,12.0,,,,,,,,,,,,13.0,,11.0,12.0,26.0,,31.0
26,,,,,10.0,,,,,,,,,12.0,12.0,12.0,,,,12.0,,,,,,,,15.0,15.0,15.0,,10.0,,10.0,12.0,8.0,,30.0
27,,,,,6.0,,,36.0,36.0,36.0,36.0,36.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,7.0,7.0,7.0,,6.0,,10.0,10.0,10.0,45.0,8.0
28,,,,,6.0,,,36.0,36.0,36.0,36.0,36.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,6.0,6.0,6.0,,6.0,,14.0,10.0,11.0,46.0,16.0
29,,,,,7.0,,,30.0,30.0,30.0,30.0,30.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,11.0,11.0,11.0,,7.0,,9.0,10.0,9.0,40.0,15.0
30,,,,,8.0,,,30.0,30.0,30.0,30.0,30.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,6.0,6.0,6.0,,8.0,,15.0,10.0,17.0,,20.0
31,,,,,8.0,,,30.0,30.0,30.0,30.0,30.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,6.0,6.0,6.0,,8.0,,12.0,10.0,16.0,,25.0
32,,,,,8.0,,,35.0,35.0,35.0,35.0,35.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,4.0,4.0,4.0,,8.0,,10.0,10.0,19.0,,15.0
33,,,,,10.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,4.0,4.0,4.0,,10.0,,12.0,10.0,26.0,,18.0
34,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,4.0,4.0,4.0,,12.0,,10.0,10.0,,,
35,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,4.0,4.0,4.0,,12.0,,8.0,10.0,14.0,18.0,
36,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,4.0,4.0,4.0,,12.0,,8.0,10.0,,17.0,
37,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,6.0,6.0,6.0,,12.0,,8.0,10.0,15.0,17.0,13.0
38,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,10.0,10.0,10.0,,12.0,,9.0,10.0,,17.0,12.0
39,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,9.0,9.0,9.0,,12.0,,10.0,10.0,20.0,14.0,10.0
40,,,,,12.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,7.0,7.0,7.0,,12.0,,9.0,10.0,7.0,14.0,9.0
41,,,,,12.0,,,10.0,10.0,10.0,10.0,10.0,,7.0,7.0,7.0,,,,7.0,,,,,,,,6.0,6.0,6.0,,12.0,,11.0,7.0,14.0,,15.0
42,,,,,12.0,,,10.0,10.0,10.0,10.0,10.0,,7.0,7.0,7.0,,,,7.0,,,,,,,,5.0,5.0,5.0,,12.0,,11.0,7.0,10.0,,13.0
43,,,,,8.0,,,,,,,,,7.0,7.0,7.0,,,,7.0,,,,,,,,5.0,5.0,5.0,,8.0,,9.0,7.0,4.0,,11.0
44,,,,,6.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,5.0,5.0,5.0,,6.0,,7.0,6.0,10.0,,5.0
45,,,,,7.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,5.0,5.0,5.0,,7.0,,8.0,6.0,4.0,,10.0
46,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,4.0,,8.0,,4.0,,
47,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,4.0,,7.0,,5.0,,6.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,7.0,,5.0,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,7.0,,6.0,,7.0
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,6.0,,7.0
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,7.0,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,,,,,,,,10.0,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,8.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,,,,,8.0,,,8.0,,,
73,,,,,6.0,,,,,,,,,9.0,9.0,9.0,,,,9.0,,,,,,,,10.0,10.0,10.0,,6.0,,,9.0,,,
74,,,,,6.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,8.0,8.0,8.0,,6.0,,11.0,6.0,,,
75,,,,,8.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,6.0,6.0,6.0,,8.0,,11.0,6.0,,,
76,,,,,8.0,,,,,,,,,5.0,5.0,5.0,,,,5.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,5.0,,,
77,,,,,8.0,,,,,,,,,5.0,5.0,5.0,,,,5.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,5.0,,,10.0
78,,,,,8.0,,,,,,,,,4.0,4.0,4.0,,,,4.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,4.0,,,10.0
79,,,,,8.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,4.0,4.0,4.0,,8.0,,11.0,6.0,10.0,11.0,6.0
80,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,8.0,,6.0,,5.0,11.0,9.0
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,6.0,,8.0,12.0,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,5.0,,8.0,12.0,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,6.0,,8.0,12.0,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,8.0,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,9.0,,10.0
