,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
0,,,,,Sc,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,,Sc,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,Sc
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,
5,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,,,Sc,Sc,,,
6,,,,,Sc,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,,Sc,Ci,Sc
7,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,Sc,Ci,Sc
8,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,ScCi,Sc,Sc,Ci,Sc
9,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,ScCi,Sc,Sc,Ci,Sc
10,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,ScCi,ScCi,ScCi,,Sc,,ScCi,Sc,Sc,Ci,Sc
11,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,ScCi,ScCi,ScCi,,Sc,,AcCi,Sc,Sc,Ci,Sc
12,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Ci,Ci,Ci,,Sc,,AcCi,Sc,Sc,Ci,
13,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,ScCi,ScCi,ScCi,,Sc,,Ci,Sc,,Ci,
14,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Ci,Sc,,Ci,
15,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,,,
