측정일시,발전률,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
2017010113,0.5950939226519336,8.0,0.0,0.5,47.0,5.0,1025.9,1.0,4.5,0.006,0.7,0.037,0.019,81.0,66.0
2017010213,0.5847513812154697,10.3,0.0,1.0,49.0,6.1,1019.1,1.0,12.2,0.011,0.8,0.029,0.032,85.0,44.0
2017010313,0.5990718232044199,8.2,0.0,0.9,38.0,4.1,1020.6,1.0,10.6,0.007,0.8,0.037,0.023,117.0,76.0
2017010413,0.4853038674033149,7.7,0.0,0.5,48.0,5.0,1020.2,1.0,5.2,0.024,1.1,0.017,0.046,113.0,82.0
2017010513,0.2864088397790055,9.2,0.0,0.6,44.0,5.1,1023.0,0.5,8.1,0.004,0.8,0.038,0.018,86.0,60.0
2017010613,0.6014585635359116,9.2,0.0,2.4,42.0,4.9,1023.5,1.0,13.0,0.003,0.5,0.044,0.009,26.0,2.0
2017010713,0.2943646408839779,6.9,0.0,0.7,59.0,5.9,1018.8,0.5,9.1,0.005,0.8,0.022,0.02,67.0,32.0
2017010813,0.2593591160220994,10.3,0.0,1.8,61.0,7.6,1009.7,0.0,11.7,0.003,0.6,0.041,0.011,21.0,5.0
2017010913,0.5783867403314917,8.8,0.0,4.8,38.0,4.3,1011.9,1.0,11.2,0.005,0.9,0.048,0.012,68.0,48.0
2017011013,0.656353591160221,5.8,0.0,2.4,33.0,3.0,1017.7,1.0,6.0,0.003,0.6,0.044,0.009,36.0,10.0
2017011113,0.4248397790055249,1.0,0.0,1.6,17.0,1.1,1021.7,0.9,1.0,0.003,0.5,0.044,0.008,28.0,7.0
2017011213,0.6452154696132596,6.2,0.0,4.5,46.0,4.4,1014.0,1.0,4.4,0.004,0.7,0.041,0.012,37.0,7.0
2017011313,0.5067845303867403,4.9,0.0,1.6,38.0,3.3,1010.6,1.0,3.9,0.006,0.7,0.042,0.014,57.0,7.0
2017011413,0.7152265193370165,0.2,0.0,4.3,22.0,1.4,1017.8,1.0,2.1,0.008,0.5,0.04,0.008,46.0,8.0
2017011513,0.6849944751381215,-0.5,0.0,1.3,22.0,1.3,1022.8,1.0,3.2,0.005,0.6,0.036,0.01,32.0,13.0
2017011613,0.6849944751381215,2.8,0.0,1.6,20.0,1.5,1023.7,1.0,4.4,0.005,0.6,0.041,0.011,27.0,6.0
2017011713,0.4312044198895027,2.9,0.0,1.2,27.0,2.0,1027.2,1.0,2.4,0.014,0.8,0.016,0.03,58.0,29.0
2017011813,0.5831602209944752,5.8,0.0,3.7,32.0,3.0,1025.7,1.0,4.0,0.008,0.9,0.042,0.016,86.0,53.0
2017011913,0.4940552486187845,4.5,0.0,0.8,39.0,3.3,1020.4,1.0,2.9,0.006,1.0,0.041,0.017,99.0,69.0
2017012013,0.0,2.3,0.0,4.8,36.0,2.6,1014.9,0.6,1.7,0.006,1.0,0.046,0.012,95.0,47.0
2017012113,0.3993812154696132,0.7,0.0,0.8,37.0,2.4,1025.0,1.0,3.2,0.003,0.7,0.039,0.015,34.0,18.0
2017012213,0.6921546961325966,1.9,0.0,3.3,30.0,2.1,1021.3,1.0,4.2,0.001,0.6,0.045,0.008,51.0,16.0
2017012313,0.7104530386740332,-0.2,0.0,4.0,24.0,1.5,1025.7,1.0,3.1,0.002,0.6,0.046,0.01,31.0,18.0
2017012413,0.6905635359116022,1.8,0.0,1.4,26.0,1.8,1029.1,1.0,5.3,0.005,0.6,0.047,0.009,33.0,5.0
2017012513,0.6841988950276243,1.8,0.0,1.0,26.0,1.8,1030.2,1.0,5.7,0.006,0.7,0.038,0.015,43.0,24.0
2017012613,0.6714696132596685,3.3,0.0,1.1,24.0,1.9,1026.0,1.0,6.1,0.01,0.8,0.031,0.027,58.0,33.0
2017012713,0.7064751381215469,8.4,0.0,2.9,12.0,1.3,1021.4,1.0,10.2,0.004,0.6,0.049,0.009,29.0,4.0
2017012813,0.6746519337016574,5.8,0.0,1.3,18.0,1.7,1023.4,1.0,7.7,0.005,0.6,0.041,0.01,40.0,6.0
2017012913,0.0262541436464088,2.9,3.9,1.4,88.0,6.6,1015.4,0.0,3.8,0.006,0.8,0.02,0.018,37.0,18.0
2017013013,0.7096574585635359,3.5,0.0,4.9,28.0,2.2,1017.5,1.0,8.8,0.006,0.8,0.048,0.009,57.0,35.0
2017013113,0.686585635359116,1.8,0.0,1.3,31.0,2.2,1024.0,1.0,5.0,0.006,0.7,0.037,0.012,42.0,19.0
2017020113,0.7096574585635359,5.5,0.0,3.3,31.0,2.8,1021.8,1.0,5.1,0.007,0.8,0.045,0.012,49.0,27.0
2017020213,0.7152265193370165,5.3,0.0,1.3,18.0,1.6,1025.2,1.0,7.0,0.008,0.7,0.036,0.017,35.0,16.0
2017020313,0.6165745856353592,6.6,0.0,1.3,25.0,2.4,1022.4,1.0,7.8,0.006,0.7,0.045,0.012,59.0,24.0
2017020413,0.4837127071823204,10.1,0.0,1.2,19.0,2.3,1017.6,1.0,14.5,0.016,0.9,0.033,0.034,86.0,46.0
2017020513,0.3373259668508287,10.3,0.0,1.2,71.0,8.8,1007.4,0.3,15.8,0.006,0.8,0.033,0.015,40.0,13.0
2017020613,0.7422762430939226,5.0,0.0,4.2,25.0,2.2,1016.1,1.0,10.2,0.004,0.7,0.047,0.01,34.0,17.0
2017020713,0.6722651933701658,3.4,0.0,1.5,34.0,2.6,1022.0,1.0,5.0,0.005,0.7,0.042,0.013,68.0,35.0
