������,�����Ͻ�,���(��C),������(mm),ǳ��(m__s),����(%),�����(hPa),�������(hPa),����(hr),����(10m),����µ�(��C),SO2,CO,O3,NO2,PM10,PM25
0.0,2017010101,-0.8,0.0,0.3,93.0,5.4,1000.1,0.0,336.0,-0.3,0.01,1.7,0.002,0.037,93.0,72.0
0.0,2017010102,-1.1,0.0,0.1,93.0,5.3,1000.2,0.0,313.0,-0.5,0.009,1.7,0.002,0.035,90.0,75.0
0.0,2017010103,-1.5,0.0,0.1,94.0,5.2,1000.5,0.0,264.0,-0.5,0.01,1.8,0.002,0.033,88.0,73.0
0.0,2017010104,-2.0,0.0,0.0,94.0,5.0,1000.2,0.0,214.0,-0.6,0.008,1.3,0.002,0.031,93.0,75.0
0.0,2017010105,-1.9,0.0,0.4,95.0,5.1,1000.0,0.0,207.0,-0.4,0.008,1.4,0.002,0.027,87.0,71.0
0.0,2017010106,-1.9,0.0,0.1,95.0,5.1,1000.2,0.0,215.0,-0.4,0.01,1.6,0.002,0.028,86.0,70.0
0.0,2017010107,-1.9,0.0,0.1,95.0,5.1,999.6,0.0,235.0,-0.5,0.009,1.5,0.002,0.025,90.0,72.0
0.0018421052631578,2017010108,-2.1,0.0,0.2,96.0,5.0,999.8,0.0,202.0,-0.8,0.007,1.3,0.002,0.027,86.0,65.0
0.0398552631578947,2017010109,-2.5,0.0,0.0,96.0,4.9,1000.5,0.0,194.0,-0.9,0.008,1.2,0.002,0.026,83.0,66.0
0.0667105263157894,2017010110,-2.0,0.0,0.1,95.0,5.0,1001.2,0.0,192.0,-0.6,0.006,1.0,0.003,0.023,86.0,68.0
0.0817236842105263,2017010111,-1.4,0.0,0.0,93.0,5.2,1001.7,0.0,255.0,-0.2,0.005,1.0,0.003,0.026,80.0,66.0
0.1139078947368421,2017010112,0.1,0.0,0.1,90.0,5.6,1001.7,0.0,330.0,-0.1,0.005,0.9,0.004,0.026,84.0,72.0
0.1241447368421052,2017010113,2.1,0.0,0.4,81.0,5.8,1000.7,0.5,470.0,0.8,0.006,1.0,0.006,0.027,90.0,71.0
0.157078947368421,2017010114,4.8,0.0,0.5,72.0,6.2,999.6,0.2,532.0,2.0,0.006,0.7,0.01,0.027,91.0,76.0
0.1422368421052631,2017010115,6.7,0.0,1.0,61.0,6.0,998.6,0.9,594.0,2.0,0.006,0.6,0.02,0.022,88.0,68.0
0.0694868421052631,2017010116,6.3,0.0,0.5,61.0,5.8,997.9,0.5,669.0,1.4,0.007,0.6,0.027,0.021,87.0,68.0
0.0006973684210526,2017010117,6.1,0.0,1.0,63.0,5.9,998.0,0.3,622.0,1.3,0.008,0.8,0.023,0.03,94.0,70.0
0.0,2017010118,6.1,0.0,1.2,65.0,6.1,997.8,0.0,667.0,1.2,0.013,1.4,0.007,0.052,97.0,74.0
0.0,2017010119,5.5,0.0,0.7,68.0,6.1,997.6,0.0,621.0,0.7,0.015,1.9,0.002,0.053,110.0,80.0
0.0,2017010120,3.9,0.0,0.4,78.0,6.3,997.6,0.0,476.0,0.4,0.011,1.5,0.002,0.052,120.0,90.0
0.0,2017010121,2.9,0.0,0.8,82.0,6.2,997.1,0.0,534.0,-0.1,0.012,1.8,0.002,0.048,118.0,85.0
0.0,2017010122,1.9,0.0,0.4,86.0,6.0,996.7,0.0,404.0,0.0,0.008,1.3,0.002,0.044,122.0,92.0
0.0,2017010123,0.9,0.0,0.3,89.0,5.8,996.1,0.0,318.0,-0.4,0.007,1.3,0.002,0.041,114.0,86.0
0.0,2017010124,0.5,0.0,0.3,94.0,6.0,995.5,0.0,232.0,-0.4,0.01,1.9,0.002,0.04,114.0,86.0
0.0,2017010201,-0.4,0.0,0.2,95.0,5.6,995.4,0.0,165.0,-0.3,0.01,2.0,0.002,0.038,112.0,84.0
0.0,2017010202,-0.2,0.0,0.1,94.0,5.7,995.6,0.0,188.0,-0.1,0.009,1.7,0.002,0.035,112.0,86.0
0.0,2017010203,0.0,0.0,0.1,94.0,5.8,995.3,0.0,201.0,0.0,0.009,1.6,0.002,0.034,104.0,80.0
0.0,2017010204,0.3,0.0,0.1,93.0,5.8,995.1,0.0,203.0,0.0,0.008,1.3,0.002,0.03,100.0,80.0
0.0,2017010205,-0.3,0.0,0.1,94.0,5.6,994.6,0.0,196.0,-0.2,0.006,1.1,0.002,0.026,102.0,76.0
0.0,2017010206,-0.6,0.0,0.0,95.0,5.6,994.0,0.0,148.0,-0.4,0.009,1.4,0.002,0.028,95.0,76.0
0.0,2017010207,-0.7,0.0,0.3,97.0,5.6,993.8,0.0,137.0,-0.2,0.008,1.2,0.002,0.027,94.0,71.0
0.000578947368421,2017010208,-0.6,0.0,0.7,96.0,5.6,993.8,0.0,152.0,-0.2,0.007,1.2,0.002,0.03,93.0,75.0
0.020828947368421,2017010209,-0.9,0.0,0.3,97.0,5.6,993.7,0.0,131.0,-0.2,0.006,1.1,0.002,0.03,98.0,79.0
0.0362894736842105,2017010210,-0.1,0.0,0.1,96.0,5.8,993.8,0.0,163.0,0.0,0.007,1.3,0.002,0.033,102.0,78.0
0.0269078947368421,2017010211,1.1,0.0,0.1,95.0,6.2,993.9,0.0,148.0,0.3,0.008,1.6,0.003,0.037,101.0,78.0
0.0777894736842105,2017010212,1.6,0.0,0.0,95.0,6.5,993.9,0.0,160.0,0.6,0.009,1.5,0.004,0.041,114.0,94.0
0.0894605263157894,2017010213,3.0,0.2,0.2,89.0,6.7,993.1,0.0,233.0,3.5,0.008,1.3,0.004,0.042,128.0,96.0
0.0944078947368421,2017010214,4.1,0.0,0.2,86.0,7.0,992.3,0.0,301.0,5.3,0.01,1.4,0.005,0.046,118.0,93.0
0.1901842105263158,2017010215,6.6,0.0,0.3,77.0,7.5,991.6,0.2,433.0,8.0,0.008,0.9,0.008,0.044,119.0,88.0
0.0624210526315789,2017010216,8.0,0.0,1.8,70.0,7.5,991.2,0.8,703.0,6.8,0.007,0.6,0.015,0.039,92.0,69.0
0.0080657894736842,2017010217,7.8,0.0,1.9,68.0,7.2,991.3,0.8,614.0,5.3,0.007,0.7,0.009,0.047,87.0,64.0
0.0,2017010218,7.4,0.0,1.5,70.0,7.2,991.7,0.0,574.0,3.4,0.008,1.0,0.004,0.056,91.0,70.0
0.0,2017010219,6.8,0.0,1.1,74.0,7.3,991.7,0.0,488.0,2.2,0.009,1.1,0.012,0.054,100.0,80.0
0.0,2017010220,5.6,0.0,1.9,80.0,7.3,991.8,0.0,396.0,1.5,0.009,1.1,0.016,0.049,136.0,102.0
0.0,2017010221,5.2,0.0,1.9,79.0,7.0,992.1,0.0,342.0,1.1,0.012,1.5,0.011,0.053,167.0,125.0
0.0,2017010222,5.3,0.0,1.2,76.0,6.8,992.1,0.0,290.0,0.5,0.019,2.5,0.002,0.063,181.0,132.0
0.0,2017010223,4.1,0.0,1.7,80.0,6.5,992.3,0.0,250.0,0.2,0.014,2.1,0.003,0.056,182.0,134.0
0.0,2017010224,3.7,0.0,1.2,82.0,6.5,992.5,0.0,266.0,0.2,0.018,2.9,0.002,0.051,184.0,138.0
0.0,2017010301,3.6,0.0,1.4,81.0,6.4,992.8,0.0,210.0,0.2,0.016,3.1,0.002,0.043,196.0,147.0
0.0,2017010302,2.6,0.0,1.9,87.0,6.4,992.7,0.0,172.0,0.3,0.011,2.4,0.004,0.036,202.0,147.0
0.0,2017010303,1.8,0.0,0.9,91.0,6.3,993.1,0.0,159.0,0.2,0.016,3.1,0.003,0.035,194.0,140.0
0.0,2017010304,1.1,0.0,0.0,91.0,6.0,993.5,0.0,150.0,0.0,0.013,2.6,0.004,0.03,197.0,134.0
0.0,2017010305,0.1,0.0,0.1,93.0,5.7,993.6,0.0,120.0,-0.1,0.009,2.1,0.002,0.028,186.0,121.0
0.0,2017010306,-0.8,0.0,0.4,96.0,5.6,994.1,0.0,90.0,-0.2,0.01,2.1,0.002,0.027,161.0,104.0
0.0,2017010307,-1.2,0.0,0.0,96.0,5.4,994.2,0.0,73.0,-0.4,0.008,2.0,0.002,0.025,134.0,90.0
0.0008157894736842,2017010308,-2.9,0.0,0.3,95.0,4.7,994.8,0.0,63.0,-0.5,0.004,1.2,0.002,0.027,107.0,84.0
0.0319078947368421,2017010309,-2.6,0.0,0.1,96.0,4.9,995.1,0.0,88.0,-0.5,0.003,1.2,0.002,0.03,95.0,72.0
0.1333815789473684,2017010310,-2.7,0.0,0.2,96.0,4.8,995.6,0.0,64.0,-0.2,0.003,1.4,0.003,0.032,104.0,82.0
0.3190789473684211,2017010311,-0.6,0.0,0.2,97.0,5.7,995.9,0.7,112.0,-0.1,0.003,1.3,0.004,0.035,119.0,92.0
0.3907236842105263,2017010312,3.3,0.0,0.2,79.0,6.1,995.4,1.0,213.0,0.6,0.003,1.1,0.008,0.031,126.0,96.0
0.3816710526315789,2017010313,3.8,0.0,0.9,64.0,5.2,994.6,1.0,313.0,3.5,0.006,0.9,0.017,0.029,145.0,99.0
0.3464868421052631,2017010314,6.3,0.0,1.3,51.0,4.9,993.5,1.0,398.0,7.6,0.005,0.6,0.025,0.025,125.0,98.0
0.2839342105263158,2017010315,6.5,0.0,0.7,42.0,4.1,993.1,1.0,561.0,8.7,0.005,0.5,0.027,0.023,84.0,62.0
0.1151315789473684,2017010316,7.4,0.0,1.2,36.0,3.7,992.6,1.0,910.0,6.8,0.005,0.5,0.022,0.031,65.0,45.0
0.0140263157894736,2017010317,7.3,0.0,2.2,33.0,3.4,992.7,1.0,1112.0,4.2,0.006,0.6,0.02,0.037,79.0,51.0
0.0,2017010318,6.2,0.0,2.0,35.0,3.3,992.8,0.7,1223.0,2.1,0.008,0.8,0.009,0.052,84.0,57.0
0.0,2017010319,5.3,0.0,0.8,43.0,3.8,992.8,0.0,1050.0,0.5,0.01,1.2,0.003,0.061,88.0,62.0
0.0,2017010320,3.9,0.0,1.3,51.0,4.1,993.2,0.0,1046.0,0.5,0.012,1.6,0.002,0.063,100.0,71.0
0.0,2017010321,2.6,0.0,1.5,58.0,4.3,993.3,0.0,956.0,0.3,0.011,1.5,0.002,0.056,112.0,81.0
0.0,2017010322,1.2,0.0,0.6,65.0,4.3,993.3,0.0,820.0,0.1,0.01,1.4,0.002,0.051,101.0,73.0
0.0,2017010323,0.3,0.0,0.5,70.0,4.4,993.4,0.0,695.0,0.0,0.014,2.1,0.002,0.051,96.0,70.0
0.0,2017010324,-0.2,0.0,0.0,74.0,4.5,993.3,0.0,519.0,-0.2,0.012,2.4,0.002,0.05,98.0,72.0
0.0,2017010401,-0.6,0.0,0.4,82.0,4.8,993.6,0.0,499.0,-0.4,0.016,2.8,0.002,0.042,112.0,84.0
