측정일시,발전률,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
2017010101,0.0,3.1,0.0,2.2,81.0,6.2,1020.5,0.0,-0.2,0.006,2.3,0.002,0.038,87.0,64.0
2017010102,0.0,2.9,0.0,2.5,83.0,6.2,1020.3,0.0,-0.2,0.005,2.2,0.002,0.034,83.0,66.0
2017010103,0.0,2.3,0.0,2.2,85.0,6.1,1020.2,0.0,-0.4,0.005,2.2,0.002,0.034,79.0,64.0
2017010104,0.0,1.9,0.0,2.1,86.0,6.0,1020.4,0.0,-0.5,0.005,2.4,0.001,0.034,78.0,61.0
2017010105,0.0,1.6,0.0,2.2,87.0,6.0,1020.2,0.0,-0.8,0.005,1.9,0.001,0.027,79.0,60.0
2017010106,0.0,1.6,0.0,2.4,88.0,6.1,1019.9,0.0,-0.5,0.005,1.9,0.001,0.028,68.0,53.0
2017010107,0.0,1.4,0.0,2.5,90.0,6.1,1019.7,0.0,-1.0,0.005,2.0,0.001,0.03,72.0,57.0
2017010108,0.0,1.5,0.0,1.8,90.0,6.1,1020.3,0.0,-0.7,0.005,1.9,0.001,0.028,69.0,58.0
2017010109,0.0126012024048096,1.6,0.0,2.0,90.0,6.2,1020.5,0.0,-0.7,0.005,2.0,0.002,0.03,69.0,53.0
2017010110,0.0722404809619238,2.1,0.0,2.0,89.0,6.3,1021.1,0.0,-0.3,0.005,1.6,0.002,0.026,75.0,57.0
2017010111,0.2405771543086172,3.2,0.0,1.3,84.0,6.4,1021.6,0.0,-0.1,0.006,1.6,0.003,0.027,75.0,56.0
2017010112,0.2724168336673346,5.3,0.0,1.9,77.0,6.8,1021.5,1.0,-0.1,0.007,1.3,0.005,0.024,73.0,61.0
2017010113,0.3954468937875751,6.8,0.0,2.8,72.0,7.1,1020.3,0.7,1.0,0.008,1.1,0.012,0.022,69.0,55.0
2017010114,0.221627254509018,7.3,0.0,3.0,70.0,7.1,1019.6,0.5,3.0,0.009,1.0,0.025,0.017,73.0,57.0
2017010115,0.3359038076152305,8.1,0.0,2.5,70.0,7.5,1018.9,0.5,4.2,0.009,1.0,0.028,0.016,73.0,53.0
2017010116,0.1026372745490982,8.1,0.0,2.4,74.0,8.0,1018.5,0.6,3.3,0.008,1.0,0.029,0.016,65.0,44.0
2017010117,0.0205851703406813,7.9,0.0,2.2,72.0,7.6,1018.3,0.4,2.3,0.008,1.0,0.027,0.017,63.0,41.0
2017010118,0.0,7.6,0.0,1.9,72.0,7.5,1017.9,0.0,1.5,0.007,1.0,0.015,0.025,57.0,42.0
2017010119,0.0,7.3,0.0,1.8,72.0,7.3,1017.3,0.0,1.2,0.007,1.2,0.008,0.031,68.0,47.0
2017010120,0.0,7.2,0.0,1.5,70.0,7.1,1017.2,0.0,0.9,0.007,1.8,0.002,0.04,64.0,47.0
2017010121,0.0,7.0,0.0,1.6,70.0,7.0,1016.8,0.0,0.8,0.006,1.7,0.002,0.038,73.0,54.0
2017010122,0.0,6.8,0.0,2.5,70.0,6.9,1016.5,0.0,1.1,0.006,1.8,0.002,0.039,75.0,59.0
2017010123,0.0,6.8,0.0,3.3,73.0,7.2,1016.1,0.0,1.7,0.006,1.6,0.002,0.037,77.0,62.0
2017010124,0.0,6.5,0.0,3.2,76.0,7.3,1015.7,0.0,2.0,0.006,1.4,0.002,0.033,81.0,59.0
2017010201,0.0,6.3,0.0,3.3,76.0,7.2,1015.7,0.0,2.2,0.006,1.3,0.001,0.03,84.0,64.0
2017010202,0.0,6.2,0.0,3.6,78.0,7.4,1015.1,0.0,2.5,0.005,1.2,0.001,0.029,83.0,60.0
2017010203,0.0,6.2,0.0,3.9,80.0,7.5,1014.5,0.0,2.7,0.005,1.2,0.001,0.028,89.0,68.0
2017010204,0.0,5.9,0.0,2.7,80.0,7.4,1015.0,0.0,2.7,0.005,1.2,0.002,0.028,84.0,67.0
2017010205,0.0,6.1,0.0,3.7,82.0,7.7,1014.3,0.0,3.0,0.005,1.1,0.002,0.026,78.0,64.0
2017010206,0.0,6.0,0.0,3.2,85.0,7.9,1013.6,0.0,3.2,0.005,1.1,0.002,0.027,81.0,59.0
2017010207,0.0,5.7,0.2,3.2,89.0,8.1,1013.3,0.0,3.5,0.005,1.1,0.001,0.029,77.0,56.0
2017010208,0.0,5.4,0.0,3.1,91.0,8.1,1013.2,0.0,3.4,0.005,1.1,0.001,0.031,68.0,52.0
2017010209,0.0016352705410821,5.5,0.0,3.6,92.0,8.2,1013.2,0.0,3.3,0.005,1.2,0.001,0.031,77.0,54.0
2017010210,0.0682965931863727,5.6,0.0,2.5,91.0,8.2,1013.4,0.0,3.9,0.005,1.2,0.002,0.03,80.0,53.0
2017010211,0.0791663326653306,6.2,0.0,1.9,90.0,8.5,1013.9,0.0,5.3,0.006,1.0,0.004,0.028,83.0,64.0
2017010212,0.1746853707414829,6.6,0.0,3.1,89.0,8.7,1014.2,0.2,6.6,0.006,1.2,0.02,0.024,77.0,54.0
2017010213,0.3885210420841684,7.7,0.0,3.1,69.0,7.2,1013.4,0.8,8.4,0.009,1.3,0.033,0.02,88.0,72.0
2017010214,0.2865571142284569,8.5,0.0,4.0,67.0,7.4,1013.1,1.0,9.5,0.008,1.3,0.037,0.02,112.0,89.0
2017010215,0.1983486973947895,8.3,0.0,3.0,73.0,8.0,1012.4,0.8,8.3,0.008,1.4,0.037,0.021,120.0,90.0
2017010216,0.1160080160320641,7.8,0.0,3.4,77.0,8.1,1012.7,0.2,7.2,0.007,1.4,0.037,0.021,137.0,102.0
2017010217,0.0312625250501002,7.6,0.0,3.8,79.0,8.2,1013.0,0.0,6.7,0.007,1.5,0.026,0.026,143.0,109.0
2017010218,0.0,7.1,0.0,2.4,83.0,8.4,1013.1,0.0,5.1,0.007,1.5,0.017,0.031,138.0,111.0
2017010219,0.0,6.3,0.0,3.1,80.0,7.6,1013.5,0.0,3.7,0.007,1.5,0.014,0.033,149.0,116.0
2017010220,0.0,5.3,0.0,4.0,85.0,7.5,1013.9,0.0,2.7,0.007,1.6,0.011,0.033,152.0,114.0
2017010221,0.0,5.1,0.0,3.6,82.0,7.2,1014.1,0.0,2.2,0.006,1.6,0.008,0.032,150.0,122.0
2017010222,0.0,4.3,0.0,4.7,86.0,7.1,1014.2,0.0,1.8,0.006,1.6,0.013,0.028,165.0,130.0
2017010223,0.0,3.4,0.0,4.6,88.0,6.8,1014.5,0.0,1.2,0.006,1.6,0.014,0.026,162.0,124.0
2017010224,0.0,3.0,0.0,4.2,91.0,6.9,1014.9,0.0,0.7,0.006,1.5,0.015,0.025,151.0,117.0
2017010301,0.0,2.4,0.0,3.0,91.0,6.6,1015.4,0.0,0.2,0.006,1.5,0.019,0.022,145.0,113.0
2017010302,0.0,1.9,0.0,3.6,88.0,6.2,1015.5,0.0,-0.2,0.007,1.4,0.028,0.015,144.0,106.0
2017010303,0.0,1.5,0.0,3.1,87.0,5.9,1015.7,0.0,0.1,0.007,1.4,0.026,0.016,124.0,92.0
2017010304,0.0,1.0,0.0,1.8,87.0,5.7,1015.9,0.0,0.1,0.007,1.4,0.016,0.022,112.0,84.0
2017010305,0.0,0.9,0.0,2.1,80.0,5.2,1016.4,0.0,0.1,0.007,1.5,0.007,0.026,107.0,86.0
2017010306,0.0,0.7,0.0,1.7,79.0,5.1,1016.2,0.0,0.0,0.006,1.8,0.002,0.03,100.0,76.0
2017010307,0.0,0.2,0.0,0.7,66.0,4.1,1016.0,0.0,0.0,0.007,1.9,0.002,0.035,101.0,72.0
2017010308,0.0,0.1,0.0,0.5,68.0,4.2,1016.1,0.0,0.0,0.007,2.2,0.002,0.043,94.0,70.0
2017010309,0.0463647294589178,-0.2,0.0,1.6,78.0,4.7,1016.6,0.0,-0.1,0.008,2.3,0.002,0.048,145.0,67.0
