,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,3.1,0.0,2.2,81.0,6.2,1020.5,0.0,-0.2,0.006,2.3,0.002,0.038,87.0,64.0
1,2.9,0.0,2.5,83.0,6.2,1020.3,0.0,-0.2,0.005,2.2,0.002,0.034,83.0,66.0
2,2.3,0.0,2.2,85.0,6.1,1020.2,0.0,-0.4,0.005,2.2,0.002,0.034,79.0,64.0
3,1.9,0.0,2.1,86.0,6.0,1020.4,0.0,-0.5,0.005,2.4,0.001,0.034,78.0,61.0
4,1.6,0.0,2.2,87.0,6.0,1020.2,0.0,-0.8,0.005,1.9,0.001,0.027,79.0,60.0
5,1.6,0.0,2.4,88.0,6.1,1019.9,0.0,-0.5,0.005,1.9,0.001,0.028,68.0,53.0
6,1.4,0.0,2.5,90.0,6.1,1019.7,0.0,-1.0,0.005,2.0,0.001,0.03,72.0,57.0
7,1.5,0.0,1.8,90.0,6.1,1020.3,0.0,-0.7,0.005,1.9,0.001,0.028,69.0,58.0
8,1.6,0.0,2.0,90.0,6.2,1020.5,0.0,-0.7,0.005,2.0,0.002,0.03,69.0,53.0
9,2.1,0.0,2.0,89.0,6.3,1021.1,0.0,-0.3,0.005,1.6,0.002,0.026,75.0,57.0
10,3.2,0.0,1.3,84.0,6.4,1021.6,0.0,-0.1,0.006,1.6,0.003,0.027,75.0,56.0
11,5.3,0.0,1.9,77.0,6.8,1021.5,1.0,-0.1,0.007,1.3,0.005,0.024,73.0,61.0
12,6.8,0.0,2.8,72.0,7.1,1020.3,0.7,1.0,0.008,1.1,0.012,0.022,69.0,55.0
13,7.3,0.0,3.0,70.0,7.1,1019.6,0.5,3.0,0.009,1.0,0.025,0.017,73.0,57.0
14,8.1,0.0,2.5,70.0,7.5,1018.9,0.5,4.2,0.009,1.0,0.028,0.016,73.0,53.0
15,8.1,0.0,2.4,74.0,8.0,1018.5,0.6,3.3,0.008,1.0,0.029,0.016,65.0,44.0
16,7.9,0.0,2.2,72.0,7.6,1018.3,0.4,2.3,0.008,1.0,0.027,0.017,63.0,41.0
17,7.6,0.0,1.9,72.0,7.5,1017.9,0.0,1.5,0.007,1.0,0.015,0.025,57.0,42.0
18,7.3,0.0,1.8,72.0,7.3,1017.3,0.0,1.2,0.007,1.2,0.008,0.031,68.0,47.0
19,7.2,0.0,1.5,70.0,7.1,1017.2,0.0,0.9,0.007,1.8,0.002,0.04,64.0,47.0
20,7.0,0.0,1.6,70.0,7.0,1016.8,0.0,0.8,0.006,1.7,0.002,0.038,73.0,54.0
21,6.8,0.0,2.5,70.0,6.9,1016.5,0.0,1.1,0.006,1.8,0.002,0.039,75.0,59.0
22,6.8,0.0,3.3,73.0,7.2,1016.1,0.0,1.7,0.006,1.6,0.002,0.037,77.0,62.0
