측정일시,발전률,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
2017010101,0.0,2.5,0.0,2.2,68.0,5.0,1002.9,0.0,-1.4,0.0023,0.4,0.008,0.0056,46.0,18.0
2017010102,0.0,2.7,0.0,2.6,67.0,5.0,1003.0,0.0,-1.5,0.002,0.4,0.007,0.0065,46.0,18.0
2017010103,0.0,3.3,0.0,4.2,60.0,4.6,1003.0,0.0,-1.0,0.0026,0.4,0.004,0.0112,50.0,18.0
2017010104,0.0,-2.2,0.0,1.5,82.0,4.3,1003.3,0.0,-2.5,0.0023,0.4,0.004,0.0109,50.0,18.0
2017010105,0.0,-2.3,0.0,1.3,86.0,4.4,1003.1,0.0,-2.6,0.0022,0.4,0.005,0.0072,44.0,18.0
2017010106,0.0,-2.5,0.0,0.9,86.0,4.4,1003.3,0.0,-2.7,0.0022,0.4,0.005,0.0073,48.0,18.0
2017010107,0.0,-3.2,0.0,1.0,88.0,4.2,1002.8,0.0,-3.5,0.0019,0.4,0.004,0.0055,50.0,18.0
2017010108,0.0,-3.9,0.0,0.8,89.0,4.1,1002.9,0.0,-4.4,0.0022,0.4,0.003,0.0062,48.0,18.0
2017010109,0.0933499999999999,-4.3,0.0,0.9,90.0,4.0,1003.4,0.0,-4.7,0.0023,0.4,0.003,0.0051,40.0,18.0
2017010110,0.31885,-2.3,0.0,1.8,88.0,4.5,1003.9,0.6,-2.1,0.0023,0.5,0.006,0.0055,48.0,18.0
2017010111,0.48375,0.0,0.0,1.3,80.0,4.9,1004.2,1.0,0.2,0.0024,0.4,0.011,0.0053,62.0,18.0
2017010112,0.5363,5.1,0.0,6.7,57.0,5.0,1004.0,1.0,3.9,0.0028,0.4,0.018,0.005,52.0,18.0
2017010113,0.5889500000000001,6.0,0.0,6.1,53.0,5.0,1003.4,1.0,6.8,0.0027,0.4,0.023,0.0051,56.0,18.0
2017010114,0.5370499999999999,6.1,0.0,6.3,53.0,5.0,1002.5,1.0,8.6,0.0035,0.4,0.04,0.0049,64.0,18.0
2017010115,0.46205,6.2,0.0,6.4,54.0,5.1,1001.6,1.0,8.0,0.0037,0.4,0.048,0.0044,74.0,18.0
2017010116,0.2926,6.2,0.0,5.5,53.0,5.0,1001.1,1.0,6.6,0.0043,0.4,0.05,0.0048,65.0,18.0
2017010117,0.0853,5.7,0.0,5.8,56.0,5.1,1001.2,1.0,3.2,0.004,0.4,0.048,0.0049,75.0,18.0
2017010118,0.00125,5.1,0.0,4.8,58.0,5.1,1001.0,0.3,1.0,0.0031,0.4,0.023,0.0168,70.0,18.0
2017010119,0.0,4.3,0.0,3.1,61.0,5.1,1000.8,0.0,-0.6,0.0025,0.5,0.015,0.0154,80.0,18.0
2017010120,0.0,4.3,0.0,4.4,61.0,5.1,1000.6,0.0,-0.1,0.0023,0.5,0.02,0.0092,80.0,18.0
2017010121,0.0,4.4,0.0,4.6,61.0,5.1,999.8,0.0,-0.1,0.0025,0.5,0.018,0.0096,75.0,18.0
2017010122,0.0,1.5,0.0,2.2,71.0,4.9,999.6,0.0,-0.9,0.002,0.4,0.018,0.0069,78.0,18.0
2017010123,0.0,-0.3,0.0,0.9,78.0,4.7,999.1,0.0,-1.7,0.0022,0.5,0.016,0.0052,69.0,18.0
2017010124,0.0,-1.4,0.0,1.6,83.0,4.6,998.6,0.0,-2.2,0.0023,0.5,0.01,0.0107,68.0,18.0
2017010201,0.0,-1.6,0.0,1.6,84.0,4.6,998.5,0.0,-2.4,0.002,0.5,0.013,0.0051,76.0,18.0
2017010202,0.0,-2.1,0.0,0.8,83.0,4.3,998.1,0.0,-2.9,0.0021,0.5,0.008,0.0074,68.0,18.0
2017010203,0.0,-2.0,0.0,1.9,86.0,4.5,998.1,0.0,-3.1,0.0022,0.5,0.006,0.009,72.0,18.0
2017010204,0.0,-2.2,0.0,1.9,86.0,4.5,997.4,0.0,-2.5,0.002,0.5,0.009,0.006,72.0,18.0
2017010205,0.0,-1.8,0.0,1.1,85.0,4.6,997.5,0.0,-2.7,0.0024,0.5,0.006,0.0089,72.0,18.0
2017010206,0.0,-2.7,0.0,1.3,88.0,4.4,997.0,0.0,-3.3,0.0025,0.5,0.008,0.0059,74.0,18.0
