,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,3.4,0.0,2.0,67.0,5.2,1020.4,0.0,0.2,0.004,0.4,0.011,0.029,52.0,36.0
1,3.5,0.0,3.6,67.0,5.3,1020.3,0.0,0.5,0.004,0.4,0.012,0.026,47.0,35.0
2,3.6,0.0,4.0,67.0,5.3,1020.3,0.0,0.4,0.005,0.4,0.012,0.025,48.0,37.0
3,3.0,0.0,1.5,69.0,5.2,1020.8,0.0,-0.5,0.004,0.3,0.02,0.018,60.0,50.0
4,2.8,0.0,0.4,67.0,5.0,1020.7,0.0,-0.8,0.004,0.3,0.02,0.019,47.0,34.0
5,2.7,0.0,3.3,68.0,5.0,1019.6,0.0,-0.4,0.004,0.4,0.012,0.026,48.0,42.0
6,2.4,0.0,1.5,67.0,4.9,1019.2,0.0,-1.0,0.004,0.3,0.013,0.029,60.0,44.0
7,2.5,0.0,0.8,66.0,4.8,1020.2,0.0,-1.4,0.005,0.4,0.012,0.033,53.0,39.0
8,2.5,0.0,1.5,67.0,4.9,1020.7,0.2,-0.5,0.005,0.4,0.022,0.025,57.0,44.0
9,5.1,0.0,3.2,59.0,5.2,1021.0,1.0,3.4,0.005,0.4,0.023,0.024,55.0,39.0
10,6.6,0.0,2.7,54.0,5.3,1021.5,1.0,8.1,0.005,0.3,0.031,0.019,54.0,41.0
11,7.7,0.0,2.9,53.0,5.6,1021.5,1.0,16.6,0.005,0.3,0.037,0.014,55.0,41.0
12,8.8,0.0,4.5,51.0,5.8,1020.3,1.0,20.3,0.005,0.3,0.043,0.013,55.0,40.0
13,10.6,0.0,1.9,43.0,5.5,1019.3,1.0,21.3,0.006,0.3,0.043,0.015,57.0,40.0
14,12.2,0.0,1.9,38.0,5.4,1018.4,1.0,20.9,0.006,0.3,0.042,0.016,54.0,41.0
15,11.7,0.0,3.8,47.0,6.4,1018.2,1.0,17.1,0.005,0.3,0.046,0.014,51.0,35.0
16,10.6,0.0,3.9,46.0,5.9,1017.9,1.0,11.9,0.007,0.3,0.041,0.02,45.0,34.0
17,9.2,0.0,3.0,55.0,6.4,1017.5,1.0,7.7,0.008,0.4,0.021,0.04,50.0,34.0
18,7.7,0.0,2.6,62.0,6.5,1017.6,0.0,4.8,0.006,0.4,0.018,0.039,53.0,37.0
19,7.1,0.0,0.8,57.0,5.8,1017.4,0.0,3.7,0.005,0.8,0.005,0.058,66.0,48.0
20,7.0,0.0,3.3,51.0,5.1,1016.9,0.0,3.4,0.006,0.6,0.005,0.055,75.0,56.0
21,6.6,0.0,1.9,53.0,5.2,1016.4,0.0,2.8,0.006,0.5,0.003,0.056,73.0,49.0
22,6.6,0.0,1.6,55.0,5.4,1016.0,0.0,2.6,0.006,0.5,0.007,0.052,73.0,52.0
23,7.1,0.0,2.9,52.0,5.2,1015.3,0.0,3.4,0.01,0.6,0.003,0.054,79.0,54.0
24,6.5,0.0,2.4,56.0,5.4,1015.6,0.0,3.0,0.008,0.5,0.003,0.049,73.0,53.0
25,5.9,0.0,1.6,61.0,5.7,1015.0,0.0,1.7,0.007,0.5,0.008,0.042,68.0,52.0
26,5.5,0.0,3.4,63.0,5.7,1014.3,0.0,1.3,0.005,0.5,0.009,0.039,66.0,48.0
27,6.3,0.0,3.3,59.0,5.6,1014.2,0.0,3.6,0.007,0.4,0.009,0.038,69.0,51.0
28,6.4,0.0,5.1,63.0,6.1,1013.9,0.0,4.0,0.006,0.4,0.015,0.03,69.0,57.0
29,6.2,0.0,2.7,60.0,5.7,1013.8,0.0,4.3,0.006,1.0,0.013,0.03,73.0,54.0
30,5.8,0.0,2.2,65.0,6.0,1013.5,0.0,4.0,0.009,1.2,0.008,0.037,84.0,61.0
31,5.6,0.0,1.4,64.0,5.8,1013.6,0.0,3.4,0.008,0.6,0.007,0.041,94.0,68.0
32,5.4,0.0,2.8,63.0,5.7,1014.1,0.0,2.9,0.008,0.5,0.007,0.045,102.0,70.0
33,7.4,0.0,1.0,56.0,5.8,1014.5,0.9,5.2,0.01,0.5,0.01,0.046,90.0,66.0
34,10.0,0.0,1.2,49.0,6.0,1014.6,1.0,13.7,0.017,0.5,0.012,0.045,107.0,66.0
