,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
0,-0.8,0.0,0.3,93.0,5.4,1000.1,0.0,-0.3,0.01,1.7,0.002,0.037,93.0,72.0
1,-1.1,0.0,0.1,93.0,5.3,1000.2,0.0,-0.5,0.009,1.7,0.002,0.035,90.0,75.0
2,-1.5,0.0,0.1,94.0,5.2,1000.5,0.0,-0.5,0.01,1.8,0.002,0.033,88.0,73.0
3,-2.0,0.0,0.0,94.0,5.0,1000.2,0.0,-0.6,0.008,1.3,0.002,0.031,93.0,75.0
4,-1.9,0.0,0.4,95.0,5.1,1000.0,0.0,-0.4,0.008,1.4,0.002,0.027,87.0,71.0
5,-1.9,0.0,0.1,95.0,5.1,1000.2,0.0,-0.4,0.01,1.6,0.002,0.028,86.0,70.0
6,-1.9,0.0,0.1,95.0,5.1,999.6,0.0,-0.5,0.009,1.5,0.002,0.025,90.0,72.0
7,-2.1,0.0,0.2,96.0,5.0,999.8,0.0,-0.8,0.007,1.3,0.002,0.027,86.0,65.0
8,-2.5,0.0,0.0,96.0,4.9,1000.5,0.0,-0.9,0.008,1.2,0.002,0.026,83.0,66.0
9,-2.0,0.0,0.1,95.0,5.0,1001.2,0.0,-0.6,0.006,1.0,0.003,0.023,86.0,68.0
10,-1.4,0.0,0.0,93.0,5.2,1001.7,0.0,-0.2,0.005,1.0,0.003,0.026,80.0,66.0
11,0.1,0.0,0.1,90.0,5.6,1001.7,0.0,-0.1,0.005,0.9,0.004,0.026,84.0,72.0
12,2.1,0.0,0.4,81.0,5.8,1000.7,0.5,0.8,0.006,1.0,0.006,0.027,90.0,71.0
13,4.8,0.0,0.5,72.0,6.2,999.6,0.2,2.0,0.006,0.7,0.01,0.027,91.0,76.0
14,6.7,0.0,1.0,61.0,6.0,998.6,0.9,2.0,0.006,0.6,0.02,0.022,88.0,68.0
15,6.3,0.0,0.5,61.0,5.8,997.9,0.5,1.4,0.007,0.6,0.027,0.021,87.0,68.0
16,6.1,0.0,1.0,63.0,5.9,998.0,0.3,1.3,0.008,0.8,0.023,0.03,94.0,70.0
17,6.1,0.0,1.2,65.0,6.1,997.8,0.0,1.2,0.013,1.4,0.007,0.052,97.0,74.0
18,5.5,0.0,0.7,68.0,6.1,997.6,0.0,0.7,0.015,1.9,0.002,0.053,110.0,80.0
19,3.9,0.0,0.4,78.0,6.3,997.6,0.0,0.4,0.011,1.5,0.002,0.052,120.0,90.0
20,2.9,0.0,0.8,82.0,6.2,997.1,0.0,-0.1,0.012,1.8,0.002,0.048,118.0,85.0
21,1.9,0.0,0.4,86.0,6.0,996.7,0.0,0.0,0.008,1.3,0.002,0.044,122.0,92.0
22,0.9,0.0,0.3,89.0,5.8,996.1,0.0,-0.4,0.007,1.3,0.002,0.041,114.0,86.0
23,0.5,0.0,0.3,94.0,6.0,995.5,0.0,-0.4,0.01,1.9,0.002,0.04,114.0,86.0
24,-0.4,0.0,0.2,95.0,5.6,995.4,0.0,-0.3,0.01,2.0,0.002,0.038,112.0,84.0
25,-0.2,0.0,0.1,94.0,5.7,995.6,0.0,-0.1,0.009,1.7,0.002,0.035,112.0,86.0
26,0.0,0.0,0.1,94.0,5.8,995.3,0.0,0.0,0.009,1.6,0.002,0.034,104.0,80.0
27,0.3,0.0,0.1,93.0,5.8,995.1,0.0,0.0,0.008,1.3,0.002,0.03,100.0,80.0
28,-0.3,0.0,0.1,94.0,5.6,994.6,0.0,-0.2,0.006,1.1,0.002,0.026,102.0,76.0
29,-0.6,0.0,0.0,95.0,5.6,994.0,0.0,-0.4,0.009,1.4,0.002,0.028,95.0,76.0
30,-0.7,0.0,0.3,97.0,5.6,993.8,0.0,-0.2,0.008,1.2,0.002,0.027,94.0,71.0
31,-0.6,0.0,0.7,96.0,5.6,993.8,0.0,-0.2,0.007,1.2,0.002,0.03,93.0,75.0
32,-0.9,0.0,0.3,97.0,5.6,993.7,0.0,-0.2,0.006,1.1,0.002,0.03,98.0,79.0
33,-0.1,0.0,0.1,96.0,5.8,993.8,0.0,0.0,0.007,1.3,0.002,0.033,102.0,78.0
34,1.1,0.0,0.1,95.0,6.2,993.9,0.0,0.3,0.008,1.6,0.003,0.037,101.0,78.0
35,1.6,0.0,0.0,95.0,6.5,993.9,0.0,0.6,0.009,1.5,0.004,0.041,114.0,94.0
36,3.0,0.2,0.2,89.0,6.7,993.1,0.0,3.5,0.008,1.3,0.004,0.042,128.0,96.0
37,4.1,0.0,0.2,86.0,7.0,992.3,0.0,5.3,0.01,1.4,0.005,0.046,118.0,93.0
38,6.6,0.0,0.3,77.0,7.5,991.6,0.2,8.0,0.008,0.9,0.008,0.044,119.0,88.0
39,8.0,0.0,1.8,70.0,7.5,991.2,0.8,6.8,0.007,0.6,0.015,0.039,92.0,69.0
40,7.8,0.0,1.9,68.0,7.2,991.3,0.8,5.3,0.007,0.7,0.009,0.047,87.0,64.0
41,7.4,0.0,1.5,70.0,7.2,991.7,0.0,3.4,0.008,1.0,0.004,0.056,91.0,70.0
42,6.8,0.0,1.1,74.0,7.3,991.7,0.0,2.2,0.009,1.1,0.012,0.054,100.0,80.0
43,5.6,0.0,1.9,80.0,7.3,991.8,0.0,1.5,0.009,1.1,0.016,0.049,136.0,102.0
44,5.2,0.0,1.9,79.0,7.0,992.1,0.0,1.1,0.012,1.5,0.011,0.053,167.0,125.0
45,5.3,0.0,1.2,76.0,6.8,992.1,0.0,0.5,0.019,2.5,0.002,0.063,181.0,132.0
46,4.1,0.0,1.7,80.0,6.5,992.3,0.0,0.2,0.014,2.1,0.003,0.056,182.0,134.0
47,3.7,0.0,1.2,82.0,6.5,992.5,0.0,0.2,0.018,2.9,0.002,0.051,184.0,138.0
48,3.6,0.0,1.4,81.0,6.4,992.8,0.0,0.2,0.016,3.1,0.002,0.043,196.0,147.0
49,2.6,0.0,1.9,87.0,6.4,992.7,0.0,0.3,0.011,2.4,0.004,0.036,202.0,147.0
50,1.8,0.0,0.9,91.0,6.3,993.1,0.0,0.2,0.016,3.1,0.003,0.035,194.0,140.0
51,1.1,0.0,0.0,91.0,6.0,993.5,0.0,0.0,0.013,2.6,0.004,0.03,197.0,134.0
52,0.1,0.0,0.1,93.0,5.7,993.6,0.0,-0.1,0.009,2.1,0.002,0.028,186.0,121.0
53,-0.8,0.0,0.4,96.0,5.6,994.1,0.0,-0.2,0.01,2.1,0.002,0.027,161.0,104.0
54,-1.2,0.0,0.0,96.0,5.4,994.2,0.0,-0.4,0.008,2.0,0.002,0.025,134.0,90.0
55,-2.9,0.0,0.3,95.0,4.7,994.8,0.0,-0.5,0.004,1.2,0.002,0.027,107.0,84.0
56,-2.6,0.0,0.1,96.0,4.9,995.1,0.0,-0.5,0.003,1.2,0.002,0.03,95.0,72.0
57,-2.7,0.0,0.2,96.0,4.8,995.6,0.0,-0.2,0.003,1.4,0.003,0.032,104.0,82.0
58,-0.6,0.0,0.2,97.0,5.7,995.9,0.7,-0.1,0.003,1.3,0.004,0.035,119.0,92.0
59,3.3,0.0,0.2,79.0,6.1,995.4,1.0,0.6,0.003,1.1,0.008,0.031,126.0,96.0
60,3.8,0.0,0.9,64.0,5.2,994.6,1.0,3.5,0.006,0.9,0.017,0.029,145.0,99.0
61,6.3,0.0,1.3,51.0,4.9,993.5,1.0,7.6,0.005,0.6,0.025,0.025,125.0,98.0
62,6.5,0.0,0.7,42.0,4.1,993.1,1.0,8.7,0.005,0.5,0.027,0.023,84.0,62.0
63,7.4,0.0,1.2,36.0,3.7,992.6,1.0,6.8,0.005,0.5,0.022,0.031,65.0,45.0
64,7.3,0.0,2.2,33.0,3.4,992.7,1.0,4.2,0.006,0.6,0.02,0.037,79.0,51.0
65,6.2,0.0,2.0,35.0,3.3,992.8,0.7,2.1,0.008,0.8,0.009,0.052,84.0,57.0
66,5.3,0.0,0.8,43.0,3.8,992.8,0.0,0.5,0.01,1.2,0.003,0.061,88.0,62.0
67,3.9,0.0,1.3,51.0,4.1,993.2,0.0,0.5,0.012,1.6,0.002,0.063,100.0,71.0
68,2.6,0.0,1.5,58.0,4.3,993.3,0.0,0.3,0.011,1.5,0.002,0.056,112.0,81.0
69,1.2,0.0,0.6,65.0,4.3,993.3,0.0,0.1,0.01,1.4,0.002,0.051,101.0,73.0
70,0.3,0.0,0.5,70.0,4.4,993.4,0.0,0.0,0.014,2.1,0.002,0.051,96.0,70.0
71,-0.2,0.0,0.0,74.0,4.5,993.3,0.0,-0.2,0.012,2.4,0.002,0.05,98.0,72.0
72,-0.6,0.0,0.4,82.0,4.8,993.6,0.0,-0.4,0.016,2.8,0.002,0.042,112.0,84.0
73,-1.4,0.0,0.0,84.0,4.6,993.5,0.0,-0.5,0.007,1.1,0.002,0.032,106.0,78.0
74,-1.7,0.0,0.1,89.0,4.8,993.4,0.0,-0.5,0.006,0.9,0.002,0.03,92.0,64.0
75,-1.5,0.0,0.5,90.0,4.9,994.1,0.0,-0.2,0.005,0.9,0.002,0.029,91.0,70.0
76,-1.3,0.0,0.4,87.0,4.9,993.6,0.0,-0.1,0.005,0.8,0.002,0.027,85.0,62.0
77,-0.8,0.0,0.1,87.0,5.0,993.7,0.0,0.0,0.01,1.4,0.002,0.029,78.0,64.0
78,-0.3,0.0,0.3,87.0,5.2,993.6,0.0,0.0,0.007,1.1,0.002,0.028,90.0,66.0
79,-0.2,0.0,0.1,87.0,5.2,993.8,0.0,-0.1,0.005,1.0,0.002,0.026,84.0,64.0
80,-0.6,0.0,0.2,90.0,5.3,994.3,0.0,-0.3,0.006,1.2,0.002,0.035,85.0,66.0
81,-0.4,0.0,0.2,89.0,5.3,994.9,0.0,-0.1,0.005,1.0,0.003,0.028,100.0,78.0
82,2.1,0.0,0.1,81.0,5.8,995.5,0.9,0.1,0.006,1.0,0.004,0.03,101.0,84.0
83,5.6,0.0,0.5,67.0,6.1,995.1,1.0,1.2,0.01,1.1,0.01,0.035,101.0,77.0
84,7.7,0.0,1.1,59.0,6.2,994.2,1.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0
85,8.4,0.0,1.3,47.0,5.2,992.9,1.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0
86,8.9,0.0,1.0,44.0,5.0,992.8,1.0,9.9,0.006,0.6,0.027,0.019,93.0,62.0
87,9.3,0.0,1.3,43.0,5.0,992.5,1.0,8.0,0.006,0.6,0.029,0.025,81.0,56.0
88,8.9,0.0,1.9,46.0,5.2,992.8,1.0,5.8,0.007,0.6,0.026,0.031,82.0,56.0
89,7.9,0.0,1.5,52.0,5.6,993.3,0.6,3.8,0.015,1.4,0.006,0.062,86.0,53.0
90,5.3,0.0,1.1,63.0,5.6,993.5,0.0,1.9,0.012,1.3,0.003,0.059,94.0,63.0
91,3.7,0.0,0.2,72.0,5.8,994.5,0.0,0.6,0.009,1.3,0.004,0.054,86.0,58.0
92,1.6,0.0,0.6,81.0,5.6,994.7,0.0,0.8,0.011,1.9,0.002,0.055,98.0,62.0
93,1.3,0.0,0.0,84.0,5.6,995.2,0.0,0.5,0.012,1.9,0.002,0.05,127.0,82.0
94,0.4,0.0,0.1,88.0,5.6,995.4,0.0,0.3,0.006,1.2,0.002,0.044,113.0,76.0
95,-0.4,0.0,0.3,91.0,5.4,995.7,0.0,0.1,0.005,1.2,0.002,0.038,99.0,71.0
96,-1.1,0.0,0.0,93.0,5.3,995.8,0.0,-0.1,0.005,1.1,0.002,0.034,97.0,70.0
97,-1.4,0.0,0.8,94.0,5.2,996.3,0.0,-0.2,0.007,1.7,0.002,0.035,98.0,65.0
98,-1.7,0.0,0.0,95.0,5.1,997.0,0.0,-0.3,0.008,1.8,0.002,0.033,102.0,74.0
99,-1.8,0.0,0.0,95.0,5.1,997.1,0.0,-0.4,0.006,1.3,0.002,0.027,99.0,72.0
100,-2.0,0.0,0.1,95.0,5.0,997.1,0.0,-0.5,0.005,1.1,0.002,0.024,95.0,67.0
101,-2.1,0.0,0.2,95.0,5.0,997.1,0.0,-0.4,0.006,1.4,0.002,0.027,90.0,64.0
102,-2.6,0.0,0.3,94.0,4.8,997.1,0.0,-0.5,0.008,1.5,0.002,0.026,94.0,65.0
103,-2.5,0.0,0.0,94.0,4.8,997.7,0.0,-0.6,0.01,1.9,0.002,0.034,91.0,64.0
104,-2.3,0.0,0.5,94.0,4.9,998.2,0.0,-0.6,0.01,2.1,0.002,0.041,104.0,77.0
105,-1.6,0.0,0.2,94.0,5.1,998.7,0.0,-0.2,0.009,1.6,0.004,0.037,130.0,97.0
106,0.5,0.0,0.2,88.0,5.6,998.9,0.6,0.0,0.009,1.3,0.005,0.039,123.0,92.0
107,4.3,0.0,0.7,75.0,6.2,998.7,0.3,1.2,0.01,1.3,0.006,0.043,134.0,95.0
108,8.1,0.0,0.6,57.0,6.1,998.1,0.3,4.8,0.009,1.1,0.008,0.042,94.0,70.0
109,8.8,0.0,2.4,54.0,6.1,997.7,0.0,6.8,0.008,0.8,0.012,0.036,86.0,56.0
110,8.7,0.0,2.1,52.0,5.8,997.7,0.0,7.5,0.006,0.5,0.021,0.023,60.0,34.0
111,8.6,0.0,2.0,52.0,5.8,997.8,0.0,7.2,0.005,0.4,0.027,0.015,25.0,10.0
112,8.0,0.0,1.7,54.0,5.8,998.5,0.0,5.8,0.005,0.4,0.027,0.015,9.0,7.0
113,6.9,0.0,2.1,60.0,6.0,998.7,0.0,4.3,0.004,0.4,0.024,0.019,9.0,4.0
114,6.1,0.0,4.4,62.0,5.8,999.1,0.0,3.1,0.005,0.5,0.015,0.03,13.0,2.0
115,5.6,0.0,1.3,63.0,5.7,999.9,0.0,2.6,0.004,0.4,0.021,0.02,16.0,5.0
116,5.5,0.0,1.4,64.0,5.8,1000.2,0.0,2.4,0.004,0.4,0.021,0.018,11.0,5.0
117,5.2,0.0,2.4,65.0,5.8,1000.3,0.0,2.1,0.005,0.5,0.015,0.025,8.0,0.0
118,4.9,0.0,2.1,67.0,5.8,1000.1,0.0,1.7,0.006,0.6,0.015,0.026,11.0,0.0
119,4.8,0.0,1.4,67.0,5.8,1000.5,0.0,1.6,0.006,0.6,0.017,0.022,14.0,8.0
120,4.4,0.0,1.4,69.0,5.8,1000.0,0.0,1.5,0.006,0.6,0.016,0.023,10.0,5.0
121,4.2,0.0,0.5,71.0,5.8,999.7,0.0,0.6,0.006,0.6,0.018,0.018,10.0,7.0
122,3.8,0.0,0.5,73.0,5.8,999.8,0.0,0.9,0.005,0.6,0.019,0.015,10.0,7.0
123,3.1,0.0,0.1,76.0,5.8,999.6,0.0,0.9,0.008,1.0,0.014,0.02,10.0,8.0
124,2.1,0.0,0.3,80.0,5.7,999.6,0.0,0.7,0.015,1.7,0.006,0.027,14.0,0.0
125,1.7,0.0,0.0,83.0,5.8,999.3,0.0,0.7,0.011,1.3,0.008,0.024,23.0,13.0
126,1.1,0.0,0.0,86.0,5.7,999.2,0.0,0.6,0.014,1.7,0.002,0.033,22.0,18.0
127,1.1,0.0,0.0,88.0,5.8,999.5,0.0,0.4,0.015,1.7,0.002,0.038,34.0,22.0
128,0.3,0.0,0.5,91.0,5.7,999.6,0.0,0.4,0.016,1.7,0.002,0.04,39.0,28.0
129,1.2,0.0,0.4,87.0,5.8,1000.0,0.5,0.8,0.011,1.2,0.004,0.04,43.0,28.0
130,3.8,0.0,0.6,74.0,5.9,1000.1,0.5,2.1,0.007,0.7,0.009,0.034,47.0,38.0
