태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
경상대,1,2017-01-01,0,0,0,0,0,0,0,0,74.16,192.96,393.84,511.2,538.56,520.56,444.24,298.08,105.12,4.32,0,0,0,0,0,0
경상대,1,2017-01-02,0,0,0,0,0,0,0,0,72,244.08,403.2,491.76,529.2,512.64,401.76,262.8,43.92,2.88,0,0,0,0,0,0
경상대,1,2017-01-03,0,0,0,0,0,0,0,0.72,87.12,275.04,421.2,509.04,542.16,520.56,446.4,300.96,108.72,5.04,0,0,0,0,0,0
경상대,1,2017-01-04,0,0,0,0,0,0,0,0,42.48,146.88,234.72,362.88,439.2,444.24,321.84,162,107.28,7.2,0,0,0,0,0,0
경상대,1,2017-01-05,0,0,0,0,0,0,0,0.72,38.16,195.12,293.76,294.48,259.2,202.32,126,79.92,14.4,0,0,0,0,0,0,0
경상대,1,2017-01-06,0,0,0,0,0,0,0,0.72,41.04,204.48,422.64,514.8,544.32,534.96,465.84,315.36,119.52,2.88,0,0,0,0,0,0
경상대,1,2017-01-07,0,0,0,0,0,0,0,0.72,43.2,157.68,218.88,329.76,266.4,198.72,224.64,82.8,28.8,0,0,0,0,0,0,0
경상대,1,2017-01-08,0,0,0,0,0,0,0,0,15.12,185.76,280.08,192.96,234.72,263.52,378,302.4,129.6,5.76,0,0,0,0,0,0
경상대,1,2017-01-09,0,0,0,0,0,0,0,0.72,57.6,189.36,270.72,303.84,523.44,545.76,486.72,340.56,134.64,7.92,0,0,0,0,0,0
경상대,1,2017-01-10,0,0,0,0,0,0,0,1.44,97.2,289.44,452.88,558,594,580.32,511.2,357.84,146.16,9.36,0,0,0,0,0,0
경상대,1,2017-01-11,0,0,0,0,0,0,0,0.72,96.48,311.04,477.36,500.4,384.48,586.8,512.64,360,145.44,10.8,0,0,0,0,0,0
경상대,1,2017-01-12,0,0,0,0,0,0,0,0.72,49.68,187.2,307.44,506.88,583.92,505.44,376.56,287.28,87.84,7.92,0,0,0,0,0,0
경상대,1,2017-01-13,0,0,0,0,0,0,0,0.72,90.72,270,419.04,503.28,458.64,191.52,388.8,240.48,140.4,7.92,0,0,0,0,0,0
경상대,1,2017-01-14,0,0,0,0,0,0,0,1.44,102.96,314.64,479.52,599.76,647.28,633.6,559.44,414.72,185.76,12.96,0,0,0,0,0,0
경상대,1,2017-01-15,0,0,0,0,0,0,0,1.44,106.56,317.52,488.88,583.92,619.92,603.36,539.28,398.16,182.16,13.68,0,0,0,0,0,0
경상대,1,2017-01-16,0,0,0,0,0,0,0,2.16,100.08,298.8,483.12,586.08,619.92,611.28,540.72,400.32,182.88,13.68,0,0,0,0,0,0
경상대,1,2017-01-17,0,0,0,0,0,0,0,2.88,84.96,236.16,343.44,418.32,390.24,271.44,231.12,160.56,73.44,9.36,0,0,0,0,0,0
경상대,1,2017-01-18,0,0,0,0,0,0,0,0.72,55.44,234.72,362.16,457.2,527.76,423.36,388.08,140.4,50.4,5.04,0,0,0,0,0,0
경상대,1,2017-01-19,0,0,0,0,0,0,0,1.44,46.8,178.56,295.92,401.76,447.12,452.88,456.48,316.08,140.4,12.96,0,0,0,0,0,0
