ÅÂ¾ç±¤¸í,È£±â,³â¿ùÀÏ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
±¤¾çÇ×,0,2015-01-01,0,0,0,0,0,0,0,0,124,430,648,679,734,736,677,423,119,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-02,0,0,0,0,0,0,0,0,122,400,432,682,767,571,207,349,113,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-03,0,0,0,0,0,0,0,0,124,416,652,785,880,862,689,412,99,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-04,0,0,0,0,0,0,0,0,65,326,544,722,801,765,616,364,112,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-05,0,0,0,0,0,0,0,0,83,313,466,463,646,542,549,218,76,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-06,0,0,0,0,0,0,0,0,83,394,682,886,963,920,743,464,144,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-07,0,0,0,0,0,0,0,0,176,306,572,749,693,938,767,486,239,4,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-08,0,0,0,0,0,0,0,0,164,464,700,884,958,909,740,461,149,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-09,0,0,0,0,0,0,0,0,130,396,617,727,842,828,601,382,117,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-10,0,0,0,0,0,0,0,0,151,459,711,886,956,904,740,461,155,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-11,0,0,0,0,0,0,0,0,74,319,544,718,855,826,722,459,158,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-12,0,0,0,0,0,0,0,0,126,425,677,857,941,900,729,455,162,2,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-13,0,0,0,0,0,0,0,0,137,450,617,711,799,747,477,274,97,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-14,0,0,0,0,0,0,0,0,0,18,137,157,149,133,88,9,5,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-15,0,0,0,0,0,0,0,0,117,419,439,551,430,592,707,437,166,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-16,0,0,0,0,0,0,0,0,112,380,565,572,360,311,364,146,16,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-17,0,0,0,0,0,0,0,0,151,464,718,896,974,938,781,513,200,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-18,0,0,0,0,0,0,0,0,167,452,677,898,976,936,598,445,157,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-19,0,0,0,0,0,0,0,0,90,349,608,797,884,873,743,490,209,4,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-20,0,0,0,0,0,0,0,0,158,410,641,830,752,850,689,392,137,16,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-21,0,0,0,0,0,0,0,0,32,284,189,338,173,160,79,7,0,0,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-22,0,0,0,0,0,0,0,0,45,353,299,605,484,617,144,311,247,16,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-23,0,0,0,0,0,0,0,0,94,405,653,826,882,920,770,497,218,9,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-24,0,0,0,0,0,0,0,0,119,454,709,875,954,936,781,511,211,9,0,0,0,0,0,0
±¤¾çÇ×,0,2015-01-25,0,0,0,0,0,0,0,0,29,97,113,149,175,151,218,229,50,0,0,0,0,0,0,0
