怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
巢力林家郴,1,2013-01-01,0,0,0,0,0,0,0,0,2.82,17.139,24.105,56.021,76.269,49.97,53.345,30.156,9.281,0.072,0,0,0,0,0,0
巢力林家郴,1,2013-01-02,0,0,0,0,0,0,0,0,6.942,43.558,82.464,103.146,110.257,96.373,88.563,43.293,11.595,0.121,0,0,0,0,0,0
巢力林家郴,1,2013-01-03,0,0,0,0,0,0,0,0,8.75,43.775,55.635,91.142,101.339,106.328,88.466,40.545,6.508,0.024,0,0,0,0,0,0
巢力林家郴,1,2013-01-04,0,0,0,0,0,0,0,0,15.162,57.515,92.564,111.077,118.333,113.753,96.71,67.663,23.768,0.482,0,0,0,0,0,0
巢力林家郴,1,2013-01-05,0,0,0,0,0,0,0,0,1.736,27.576,81.042,103.195,69.134,97.843,48.162,24.129,7.858,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-06,0,0,0,0,0,0,0,0,9.136,37.267,62.625,95.987,82.681,63.927,23.816,45.872,14.222,0.193,0,0,0,0,0,0
巢力林家郴,1,2013-01-07,0,0,0,0,0,0,0,0,0.434,1.736,45.438,49.368,49.826,21.261,20.321,11.98,4.459,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-08,0,0,0,0,0,0,0,0,5.255,41.799,77.523,100.181,109.293,106.111,91.142,63.421,22.153,0.554,0,0,0,0,0,0
巢力林家郴,1,2013-01-09,0,0,0,0,0,0,0,0,6.267,18.368,49.777,78.559,87.936,68.652,37.17,32.614,7.328,0.048,0,0,0,0,0,0
巢力林家郴,1,2013-01-10,0,0,0,0,0,0,0,0,2.893,52.477,91.745,104.786,119.827,112.668,100.278,72.991,29.36,1.302,0,0,0,0,0,0
巢力林家郴,1,2013-01-11,0,0,0,0,0,0,0,0,1.567,11.137,16.922,81.283,114.5,107.847,86.996,44.209,6.725,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-12,0,0,0,0,0,0,0,0,16.054,52.333,85.501,105.629,111.27,106.328,82.416,56.165,15.355,0.313,0,0,0,0,0,0
巢力林家郴,1,2013-01-13,0,0,0,0,0,0,0,0,2.218,7.232,10.052,11.209,9.088,7.28,9.015,4.532,0.193,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-14,0,0,0,0,0,0,0,0,14.174,51.754,84.513,104.906,110.908,104.496,82.994,48.476,13.089,0.964,0,0,0,0,0,0
巢力林家郴,1,2013-01-15,0,0,0,0,0,0,0,0,15.596,49.343,46.547,54.237,98.422,104.159,74.389,19.911,19.043,2.097,0,0,0,0,0,0
巢力林家郴,1,2013-01-16,0,0,0,0,0,0,0,0,13.017,50.284,69.037,21.333,20.393,29.433,18.874,10.582,4.869,0.868,0,0,0,0,0,0
巢力林家郴,1,2013-01-17,0,0,0,0,0,0,0,0,2.001,22.105,47.753,64.433,59.275,58.937,68.338,24.877,13.161,0.458,0,0,0,0,0,0
巢力林家郴,1,2013-01-18,0,0,0,0,0,0,0,0.072,19.019,63.493,96.108,115.561,123.178,121.298,106.352,77.643,16.898,0.096,0,0,0,0,0,0
巢力林家郴,1,2013-01-19,0,0,0,0,0,0,0,0,3.182,37.845,42.136,61.902,92.781,90.539,77.619,65.132,35.965,3.037,0,0,0,0,0,0
巢力林家郴,1,2013-01-20,0,0,0,0,0,0,0,0,3.905,20.61,58.07,106.473,104.376,37.387,5.737,15.114,0.458,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-21,0,0,0,0,0,0,0,0,0,0.651,0.458,3.23,0.241,0,4.122,7.135,0.723,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-22,0,0,0,0,0,0,0,0,0,0.868,3.254,5.303,3.302,16.729,19.308,8.196,0.169,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-23,0,0,0,0,0,0,0,0,0,0.193,5.231,12.366,31.168,32.253,10.462,4.628,0.94,0,0,0,0,0,0,0
巢力林家郴,1,2013-01-24,0,0,0,0,0,0,0,0,0.193,5.496,8.413,14.222,8.678,7.039,1.856,10.1,4.363,0.723,0,0,0,0,0,0
巢力林家郴,1,2013-01-25,0,0,0,0,0,0,0,0.096,16.825,50.284,86.249,88.515,88.804,61.758,80.367,67.88,24.25,2.555,0,0,0,0,0,0
巢力林家郴,1,2013-01-26,0,0,0,0,0,0,0,0,10.534,42.546,79.837,75.642,93.311,104.93,87.55,48.427,22.659,2.362,0,0,0,0,0,0
巢力林家郴,1,2013-01-27,0,0,0,0,0,0,0,0.193,15.018,39.798,81.934,88.756,116.187,47.053,60.022,31.361,12.294,1.35,0,0,0,0,0,0
巢力林家郴,1,2013-01-28,0,0,0,0,0,0,0,0.121,21.55,62.288,94.517,114.404,122.238,118.646,102.761,74.871,36.254,3.929,0,0,0,0,0,0
巢力林家郴,1,2013-01-29,0,0,0,0,0,0,0,0.024,13.716,33.121,52.381,36.857,34.446,34.061,36.519,42.257,19.525,1.639,0,0,0,0,0,0
巢力林家郴,1,2013-01-30,0,0,0,0,0,0,0,0.024,19.525,58.961,90.322,109.799,118.188,114.09,97.602,73.786,36.544,4.604,0,0,0,0,0,0
巢力林家郴,1,2013-01-31,0,0,0,0,0,0,0,0.072,11.209,38.4,42.57,76.269,55.683,67.953,34.278,13.957,0.699,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-01,0,0,0,0,0,0,0,0,0,0.747,2.145,1.278,1.012,0.579,0.241,0,0,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-02,0,0,0,0,0,0,0,0.121,19.887,65.06,99.651,118.694,127.469,123.323,106.039,81.307,42.739,6.002,0,0,0,0,0,0
巢力林家郴,1,2013-02-03,0,0,0,0,0,0,0,0.024,10.847,47.56,74.63,87.743,87.984,85.911,21.719,2.218,0.482,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-04,0,0,0,0,0,0,0,0,0.024,6.219,60.48,110.209,119.393,94.71,87.888,40.545,35.893,5.062,0,0,0,0,0,0
巢力林家郴,1,2013-02-05,0,0,0,0,0,0,0,0,0.193,3.254,4.942,2.603,3.664,9.859,5.207,0.145,0.072,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-06,0,0,0,0,0,0,0,0,0.169,4.676,6.412,11.257,10.703,20.514,14.945,7.256,4.869,1.253,0,0,0,0,0,0
巢力林家郴,1,2013-02-07,0,0,0,0,0,0,0,0,0.313,24.033,45.583,32.47,48.162,39.147,30.927,29.143,4.773,0.265,0,0,0,0,0,0
巢力林家郴,1,2013-02-08,0,0,0,0,0,0,0,0,1.302,26.612,74.919,113.198,116.26,120.117,64.12,39.484,17.983,4.652,0,0,0,0,0,0
巢力林家郴,1,2013-02-09,0,0,0,0,0,0,0,0.506,23.454,69.929,105.87,128.144,136.966,135.905,121.153,45.149,10.823,0.337,0,0,0,0,0,0
巢力林家郴,1,2013-02-10,0,0,0,0,0,0,0,0.313,24.949,69.471,102.206,118.887,125.54,123.708,112.861,88.225,49.922,9.112,0,0,0,0,0,0
巢力林家郴,1,2013-02-11,0,0,0,0,0,0,0,0.482,24.226,65.398,97.096,118.333,128.336,126.601,112.885,85.67,46.571,8.63,0,0,0,0,0,0
巢力林家郴,1,2013-02-12,0,0,0,0,0,0,0,0,0.289,1.422,10.606,20.273,5.062,37.869,58.262,69.158,33.699,8.967,0,0,0,0,0,0
巢力林家郴,1,2013-02-13,0,0,0,0,0,0,0,0.41,19.863,64.867,88.322,120.189,122.19,121.732,111.318,85.67,49.464,4.267,0,0,0,0,0,0
巢力林家郴,1,2013-02-14,0,0,0,0,0,0,0,0.651,12.004,26.709,33.579,20.972,25.335,7.135,6.316,13.065,3.785,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-15,0,0,0,0,0,0,0,0.795,24.563,0,0,0,110.691,90.467,72.147,67.133,44.305,12.004,0,0,0,0,0,0
巢力林家郴,1,2013-02-16,0,0,0,0,0,0,0,0,30.951,79.957,54.96,11.04,142.848,138.244,120.719,90.973,53.345,11.619,0,0,0,0,0,0
巢力林家郴,1,2013-02-17,0,0,0,0,0,0,0,0,0.024,0.434,3.905,1.35,4.58,2.435,0.627,0.337,0,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-18,0,0,0,0,0,0,0,0,0,4.122,20.393,8.389,7.931,3.977,0.024,1.253,1.904,0,0,0,0,0,0,0
巢力林家郴,1,2013-02-19,0,0,0,0,0,0,0,0,6.822,13.017,41.943,53.176,56.816,56.72,56.069,46.306,46.909,10.534,0,0,0,0,0,0
巢力林家郴,1,2013-02-20,0,0,0,0,0,0,0,1.326,33.41,79.981,116.139,138.557,142.028,135.568,121.539,95.963,56.503,12.535,0,0,0,0,0,0
巢力林家郴,1,2013-02-21,0,0,0,0,0,0,0,1.253,27.625,66.675,97.144,122.479,133.133,131.494,117.296,82.536,46.933,10.727,0,0,0,0,0,0
