태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
당진매립장,0,2015-01-01,0,0,0,0,0,0,0,0,20,131,187,295,347,232,145,156,70,0,0,0,0,0,0,0
당진매립장,0,2015-01-02,0,0,0,0,0,0,0,0,9,93,208,392,393,472,381,219,61,0,0,0,0,0,0,0
당진매립장,0,2015-01-03,0,0,0,0,0,0,0,0,20,120,275,429,481,358,240,214,50,0,0,0,0,0,0,0
당진매립장,0,2015-01-04,0,0,0,0,0,0,0,0,23,108,212,385,321,340,313,177,57,0,0,0,0,0,0,0
당진매립장,0,2015-01-05,0,0,0,0,0,0,0,0,9,116,278,291,273,304,184,128,18,0,0,0,0,0,0,0
당진매립장,0,2015-01-06,0,0,0,0,0,0,0,0,27,176,316,419,466,447,367,218,60,0,0,0,0,0,0,0
당진매립장,0,2015-01-07,0,0,0,0,0,0,0,0,30,174,316,410,450,433,352,200,58,0,0,0,0,0,0,0
당진매립장,0,2015-01-08,0,0,0,0,0,0,0,0,32,168,297,394,431,413,342,206,64,0,0,0,0,0,0,0
당진매립장,0,2015-01-09,0,0,0,0,0,0,0,0,0,50,98,208,163,319,217,153,69,0,0,0,0,0,0,0
당진매립장,0,2015-01-10,0,0,0,0,0,0,0,0,24,155,302,331,433,428,370,213,60,1,0,0,0,0,0,0
당진매립장,0,2015-01-11,0,0,0,0,0,0,0,0,19,154,271,400,450,421,340,209,73,0,0,0,0,0,0,0
당진매립장,0,2015-01-12,0,0,0,0,0,0,0,0,33,164,294,382,430,413,336,203,76,1,0,0,0,0,0,0
당진매립장,0,2015-01-13,0,0,0,0,0,0,0,0,15,160,271,349,381,308,236,178,59,0,0,0,0,0,0,0
당진매립장,0,2015-01-14,0,0,0,0,0,0,0,0,0,43,78,146,223,175,58,44,2,0,0,0,0,0,0,0
당진매립장,0,2015-01-15,0,0,0,0,0,0,0,0,24,89,198,308,407,391,324,194,72,2,0,0,0,0,0,0
당진매립장,0,2015-01-16,0,0,0,0,0,0,0,0,0,0,34,164,179,26,17,54,10,0,0,0,0,0,0,0
당진매립장,0,2015-01-17,0,0,0,0,0,0,0,0,22,138,256,338,374,360,302,192,68,1,0,0,0,0,0,0
당진매립장,0,2015-01-18,0,0,0,0,0,0,0,0,22,112,192,198,161,126,139,78,47,0,0,0,0,0,0,0
당진매립장,0,2015-01-19,0,0,0,0,0,0,0,0,19,112,207,292,316,149,96,176,34,2,0,0,0,0,0,0
당진매립장,0,2015-01-20,0,0,0,0,0,0,0,0,1,43,173,397,485,475,403,266,105,4,0,0,0,0,0,0
당진매립장,0,2015-01-21,0,0,0,0,0,0,0,0,21,150,182,220,306,173,78,19,0,0,0,0,0,0,0,0
당진매립장,0,2015-01-22,0,0,0,0,0,0,0,0,19,138,210,245,316,472,401,266,108,8,0,0,0,0,0,0
당진매립장,0,2015-01-23,0,0,0,0,0,0,0,0,11,123,344,424,520,511,330,256,79,4,0,0,0,0,0,0
당진매립장,0,2015-01-24,0,0,0,0,0,0,0,0,15,110,202,331,312,299,297,198,97,0,0,0,0,0,0,0
당진매립장,0,2015-01-25,0,0,0,0,0,0,0,0,0,34,91,88,74,49,34,34,2,0,0,0,0,0,0,0
당진매립장,0,2015-01-26,0,0,0,0,0,0,0,0,0,0,56,192,134,132,179,235,118,12,0,0,0,0,0,0
당진매립장,0,2015-01-27,0,0,0,0,0,0,0,0,45,222,406,534,590,584,501,341,138,9,0,0,0,0,0,0
당진매립장,0,2015-01-28,0,0,0,0,0,0,0,0,34,166,366,501,579,543,450,279,113,15,0,0,0,0,0,0
당진매립장,0,2015-01-29,0,0,0,0,0,0,0,0,5,64,176,198,186,227,199,131,64,0,0,0,0,0,0,0
당진매립장,0,2015-01-30,0,0,0,0,0,0,0,0,7,103,154,485,526,582,488,306,130,27,0,0,0,0,0,0
당진매립장,0,2015-01-31,0,0,0,0,0,0,0,0,47,235,419,541,597,582,502,348,152,16,0,0,0,0,0,0
당진매립장,0,2015-02-01,0,0,0,0,0,0,0,0,45,229,390,535,592,582,492,349,152,16,0,0,0,0,0,0
당진매립장,0,2015-02-02,0,0,0,0,0,0,0,0,31,157,222,445,525,568,492,341,146,19,0,0,0,0,0,0
당진매립장,0,2015-02-03,0,0,0,0,0,0,0,0,35,133,339,364,376,400,388,299,138,27,0,0,0,0,0,0
당진매립장,0,2015-02-04,0,0,0,0,0,0,0,0,34,172,290,353,268,288,231,212,112,21,0,0,0,0,0,0
당진매립장,0,2015-02-05,0,0,0,0,0,0,0,0,37,191,350,478,547,542,460,326,147,24,0,0,0,0,0,0
당진매립장,0,2015-02-06,0,0,0,0,0,0,0,0,33,195,366,399,517,584,512,373,169,17,0,0,0,0,0,0
당진매립장,0,2015-02-07,0,0,0,0,0,0,0,0,4,62,228,378,480,363,201,236,135,7,0,0,0,0,0,0
당진매립장,0,2015-02-08,0,0,0,0,0,0,0,0,24,129,235,483,635,588,550,402,192,34,0,0,0,0,0,0
당진매립장,0,2015-02-09,0,0,0,0,0,0,0,0,60,274,452,570,607,573,229,172,108,12,0,0,0,0,0,0
당진매립장,0,2015-02-10,0,0,0,0,0,0,0,0,50,158,273,352,412,406,346,236,124,22,0,0,0,0,0,0
당진매립장,0,2015-02-11,0,0,0,0,0,0,0,0,33,139,213,318,355,344,353,328,132,38,0,0,0,0,0,0
당진매립장,0,2015-02-12,0,0,0,0,0,0,0,0,76,280,471,599,658,648,557,403,199,36,0,0,0,0,0,0
당진매립장,0,2015-02-13,0,0,0,0,0,0,0,0,81,282,473,597,656,644,564,425,202,39,0,0,0,0,0,0
당진매립장,0,2015-02-14,0,0,0,0,0,0,0,0,56,244,324,132,286,509,443,315,175,39,0,0,0,0,0,0
당진매립장,0,2015-02-15,0,0,0,0,0,0,0,0,70,161,222,325,314,313,205,138,62,0,0,0,0,0,0,0
당진매립장,0,2015-02-16,0,0,0,0,0,0,0,0,0,26,60,64,55,54,25,24,0,0,0,0,0,0,0,0
당진매립장,0,2015-02-17,0,0,0,0,0,0,0,0,2,91,81,321,195,106,147,162,120,24,0,0,0,0,0,0
당진매립장,0,2015-02-18,0,0,0,0,0,0,0,0,5,69,90,168,217,288,253,217,107,1,0,0,0,0,0,0
당진매립장,0,2015-02-19,0,0,0,0,0,0,0,0,69,204,364,420,503,519,455,333,186,46,0,0,0,0,0,0
당진매립장,0,2015-02-20,0,0,0,0,0,0,0,0,63,240,309,399,510,315,346,322,153,26,0,0,0,0,0,0
당진매립장,0,2015-02-21,0,0,0,0,0,0,0,0,18,68,89,111,78,85,93,102,48,0,0,0,0,0,0,0
당진매립장,0,2015-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
당진매립장,0,2015-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,400,231,63,0,0,0,0,0,0
당진매립장,0,2015-02-24,0,0,0,0,0,0,0,1,93,337,340,598,680,665,594,457,250,64,0,0,0,0,0,0
당진매립장,0,2015-02-25,0,0,0,0,0,0,0,0,103,265,435,531,645,592,443,269,218,27,0,0,0,0,0,0
당진매립장,0,2015-02-26,0,0,0,0,0,0,0,0,79,265,437,654,658,676,643,496,270,76,0,0,0,0,0,0
당진매립장,0,2015-02-27,0,0,0,0,0,0,0,10,143,367,543,673,709,694,592,458,221,71,0,0,0,0,0,0
당진매립장,0,2015-02-28,0,0,0,0,0,0,0,6,63,154,179,338,315,368,271,276,115,20,0,0,0,0,0,0
당진매립장,0,2015-03-01,0,0,0,0,0,0,0,0,36,162,359,277,449,649,629,439,234,83,0,0,0,0,0,0
당진매립장,0,2015-03-02,0,0,0,0,0,0,0,8,148,331,507,643,690,673,599,468,267,76,0,0,0,0,0,0
당진매립장,0,2015-03-03,0,0,0,0,0,0,0,0,50,188,237,333,315,214,117,67,20,2,0,0,0,0,0,0
당진매립장,0,2015-03-04,0,0,0,0,0,0,0,18,161,403,588,701,730,665,378,276,202,94,0,0,0,0,0,0
당진매립장,0,2015-03-05,0,0,0,0,0,0,0,16,172,404,520,542,517,624,619,500,273,99,0,0,0,0,0,0
당진매립장,0,2015-03-06,0,0,0,0,0,0,0,13,159,377,471,569,600,583,509,383,226,77,1,0,0,0,0,0
당진매립장,0,2015-03-07,0,0,0,0,0,0,0,0,115,404,511,591,641,624,580,505,291,94,1,0,0,0,0,0
당진매립장,0,2015-03-08,0,0,0,0,0,0,0,14,142,329,480,611,653,639,524,366,167,66,0,0,0,0,0,0
당진매립장,0,2015-03-09,0,0,0,0,0,0,0,3,133,363,557,676,741,740,679,467,356,113,0,0,0,0,0,0
당진매립장,0,2015-03-10,0,0,0,0,0,0,0,23,192,442,625,741,792,774,687,564,305,111,2,0,0,0,0,0
당진매립장,0,2015-03-11,0,0,0,0,0,0,0,28,186,401,542,488,430,616,516,354,305,108,2,0,0,0,0,0
당진매립장,0,2015-03-12,0,0,0,0,0,0,0,28,202,431,598,696,748,732,654,518,309,100,1,0,0,0,0,0
당진매립장,0,2015-03-13,0,0,0,0,0,0,0,28,160,331,550,672,730,747,672,509,320,112,2,0,0,0,0,0
당진매립장,0,2015-03-14,0,0,0,0,0,0,0,27,204,425,590,702,725,700,615,346,204,68,1,0,0,0,0,0
당진매립장,0,2015-03-15,0,0,0,0,0,0,0,29,174,386,562,653,648,579,514,411,262,98,4,0,0,0,0,0
당진매립장,0,2015-03-16,0,0,0,0,0,0,0,27,160,249,333,525,581,570,500,368,217,88,3,0,0,0,0,0
당진매립장,0,2015-03-17,0,0,0,0,0,0,0,27,134,204,312,369,292,388,209,101,46,24,0,0,0,0,0,0
당진매립장,0,2015-03-18,0,0,0,0,0,0,0,0,16,93,182,140,93,68,57,53,65,8,0,0,0,0,0,0
당진매립장,0,2015-03-19,0,0,0,0,0,0,0,35,165,344,513,611,652,646,683,535,335,124,5,0,0,0,0,0
당진매립장,0,2015-03-20,0,0,0,0,0,0,0,25,114,384,584,690,728,730,668,531,282,131,0,0,0,0,0,0
당진매립장,0,2015-03-21,0,0,0,0,0,0,0,51,217,398,540,636,698,668,588,447,287,117,7,0,0,0,0,0
당진매립장,0,2015-03-22,0,0,0,0,0,0,0,58,215,443,595,717,773,751,713,583,375,145,10,0,0,0,0,0
당진매립장,0,2015-03-23,0,0,0,0,0,0,0,65,265,511,681,777,827,819,736,592,393,149,9,0,0,0,0,0
당진매립장,0,2015-03-24,0,0,0,0,0,0,0,67,265,509,672,773,823,812,735,588,384,148,11,0,0,0,0,0
당진매립장,0,2015-03-25,0,0,0,0,0,0,0,37,273,466,577,657,693,678,590,503,335,128,9,0,0,0,0,0
당진매립장,0,2015-03-26,0,0,0,0,0,0,0,41,244,443,567,650,685,677,608,486,318,124,10,0,0,0,0,0
