태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
당진자재창고,0,2015-01-01,0,0,0,0,0,0,0,0,12,150,195,270,254,184,131,183,53,0,0,0,0,0,0,0
당진자재창고,0,2015-01-02,0,0,0,0,0,0,0,0,9,60,173,326,419,478,420,257,103,3,0,0,0,0,0,0
당진자재창고,0,2015-01-03,0,0,0,0,0,0,0,0,17,82,251,394,429,285,202,178,42,1,0,0,0,0,0,0
당진자재창고,0,2015-01-04,0,0,0,0,0,0,0,0,11,63,237,268,209,360,285,157,52,1,0,0,0,0,0,0
당진자재창고,0,2015-01-05,0,0,0,0,0,0,0,0,14,105,219,229,203,230,161,116,13,0,0,0,0,0,0,0
당진자재창고,0,2015-01-06,0,0,0,0,0,0,0,0,34,163,333,447,381,459,439,297,122,3,0,0,0,0,0,0
당진자재창고,0,2015-01-07,0,0,0,0,0,0,0,0,33,163,321,430,479,487,427,269,108,5,0,0,0,0,0,0
당진자재창고,0,2015-01-08,0,0,0,0,0,0,0,0,42,136,308,436,479,505,439,286,125,7,0,0,0,0,0,0
당진자재창고,0,2015-01-09,0,0,0,0,0,0,0,0,1,29,70,121,142,166,281,204,79,3,0,0,0,0,0,0
당진자재창고,0,2015-01-10,0,0,0,0,0,0,0,0,16,112,305,397,467,464,407,238,61,2,0,0,0,0,0,0
당진자재창고,0,2015-01-11,0,0,0,0,0,0,0,0,30,136,239,400,487,508,444,265,111,5,0,0,0,0,0,0
당진자재창고,0,2015-01-12,0,0,0,0,0,0,0,0,30,146,298,404,450,454,404,251,100,5,0,0,0,0,0,0
당진자재창고,0,2015-01-13,0,0,0,0,0,0,0,0,35,144,202,238,364,254,187,173,48,2,0,0,0,0,0,0
당진자재창고,0,2015-01-14,0,0,0,0,0,0,0,0,3,25,41,77,131,65,31,20,6,0,0,0,0,0,0,0
당진자재창고,0,2015-01-15,0,0,0,0,0,0,0,0,18,73,180,285,404,403,360,217,88,5,0,0,0,0,0,0
당진자재창고,0,2015-01-16,0,0,0,0,0,0,0,0,0,1,34,217,156,15,38,57,9,0,0,0,0,0,0,0
당진자재창고,0,2015-01-17,0,0,0,0,0,0,0,0,37,165,285,430,480,509,471,324,146,12,0,0,0,0,0,0
당진자재창고,0,2015-01-18,0,0,0,0,0,0,0,0,30,121,157,233,107,255,103,66,16,0,0,0,0,0,0,0
당진자재창고,0,2015-01-19,0,0,0,0,0,0,0,0,15,106,213,364,343,157,313,185,95,2,0,0,0,0,0,0
당진자재창고,0,2015-01-20,0,0,0,0,0,0,0,0,46,150,292,425,404,423,405,224,103,2,0,0,0,0,0,0
당진자재창고,0,2015-01-21,0,0,0,0,0,0,0,0,16,75,104,153,179,76,71,32,2,0,0,0,0,0,0,0
당진자재창고,0,2015-01-22,0,0,0,0,0,0,0,0,19,132,259,363,401,374,373,275,124,13,0,0,0,0,0,0
당진자재창고,0,2015-01-23,0,0,0,0,0,0,0,0,34,117,238,391,259,468,450,317,123,14,0,0,0,0,0,0
당진자재창고,0,2015-01-24,0,0,0,0,0,0,0,0,9,64,128,293,176,216,367,191,91,9,0,0,0,0,0,0
당진자재창고,0,2015-01-25,0,0,0,0,0,0,0,0,0,21,52,46,29,14,16,13,4,0,0,0,0,0,0,0
당진자재창고,0,2015-01-26,0,0,0,0,0,0,0,0,1,20,51,99,64,61,181,253,105,9,0,0,0,0,0,0
당진자재창고,0,2015-01-27,0,0,0,0,0,0,0,0,48,179,348,335,367,448,454,395,195,35,0,0,0,0,0,0
당진자재창고,0,2015-01-28,0,0,0,0,0,0,0,0,26,117,306,379,497,487,430,307,104,22,0,0,0,0,0,0
당진자재창고,0,2015-01-29,0,0,0,0,0,0,0,0,5,42,138,108,117,165,108,47,28,2,0,0,0,0,0,0
당진자재창고,0,2015-01-30,0,0,0,0,0,0,0,0,5,58,189,279,343,489,488,374,134,32,0,0,0,0,0,0
당진자재창고,0,2015-01-31,0,0,0,0,0,0,0,1,49,181,358,464,502,535,506,397,189,34,0,0,0,0,0,0
당진자재창고,0,2015-02-01,0,0,0,0,0,0,0,1,54,178,346,457,505,483,477,376,188,37,0,0,0,0,0,0
당진자재창고,0,2015-02-02,0,0,0,0,0,0,0,0,27,101,147,402,480,489,451,344,161,30,0,0,0,0,0,0
당진자재창고,0,2015-02-03,0,0,0,0,0,0,0,1,46,126,240,286,284,367,396,259,111,30,0,0,0,0,0,0
당진자재창고,0,2015-02-04,0,0,0,0,0,0,0,0,41,118,206,239,229,166,258,193,114,18,0,0,0,0,0,0
당진자재창고,0,2015-02-05,0,0,0,0,0,0,0,0,37,140,265,341,256,424,444,339,168,31,0,0,0,0,0,0
당진자재창고,0,2015-02-06,0,0,0,0,0,0,0,0,58,93,212,315,492,480,468,383,188,26,0,0,0,0,0,0
당진자재창고,0,2015-02-07,0,0,0,0,0,0,0,0,8,40,216,286,442,260,254,119,60,8,0,0,0,0,0,0
당진자재창고,0,2015-02-08,0,0,0,0,0,0,0,0,29,111,184,160,181,307,404,367,216,49,0,0,0,0,0,0
당진자재창고,0,2015-02-09,0,0,0,0,0,0,0,1,59,198,349,444,442,217,254,179,109,11,0,0,0,0,0,0
당진자재창고,0,2015-02-10,0,0,0,0,0,0,0,0,39,132,247,333,379,333,321,210,110,20,0,0,0,0,0,0
당진자재창고,0,2015-02-11,0,0,0,0,0,0,0,0,24,120,234,266,378,412,285,287,133,42,0,0,0,0,0,0
당진자재창고,0,2015-02-12,0,0,0,0,0,0,0,2,61,212,376,442,475,525,519,428,237,56,0,0,0,0,0,0
당진자재창고,0,2015-02-13,0,0,0,0,0,0,0,2,62,204,366,463,525,536,500,413,223,52,0,0,0,0,0,0
당진자재창고,0,2015-02-14,0,0,0,0,0,0,0,1,52,153,127,64,200,337,337,270,147,30,0,0,0,0,0,0
당진자재창고,0,2015-02-15,0,0,0,0,0,0,0,2,46,111,176,271,274,264,156,76,45,2,0,0,0,0,0,0
당진자재창고,0,2015-02-16,0,0,0,0,0,0,0,0,4,20,40,22,25,17,6,7,2,0,0,0,0,0,0,0
당진자재창고,0,2015-02-17,0,0,0,0,0,0,0,0,5,30,104,124,161,201,152,73,63,9,0,0,0,0,0,0
당진자재창고,0,2015-02-18,0,0,0,0,0,0,0,0,7,20,101,134,262,460,403,277,45,3,0,0,0,0,0,0
당진자재창고,0,2015-02-19,0,0,0,0,0,0,0,4,72,211,371,466,510,512,471,355,233,60,0,0,0,0,0,0
당진자재창고,0,2015-02-20,0,0,0,0,0,0,0,4,68,179,199,361,437,230,264,280,111,17,0,0,0,0,0,0
당진자재창고,0,2015-02-21,0,0,0,0,0,0,0,0,8,32,55,62,52,53,72,52,22,1,0,0,0,0,0,0
당진자재창고,0,2015-02-22,0,0,0,0,0,0,0,0,20,73,116,138,168,250,383,373,175,32,0,0,0,0,0,0
당진자재창고,0,2015-02-23,0,0,0,0,0,0,0,1,32,115,207,200,243,421,399,255,210,50,0,0,0,0,0,0
당진자재창고,0,2015-02-24,0,0,0,0,0,0,0,6,75,86,324,451,534,551,526,448,291,75,0,0,0,0,0,0
당진자재창고,0,2015-02-25,0,0,0,0,0,0,0,3,64,102,215,395,485,336,294,259,188,15,0,0,0,0,0,0
당진자재창고,0,2015-02-26,0,0,0,0,0,0,0,2,50,158,383,501,583,543,549,456,293,78,1,0,0,0,0,0
당진자재창고,0,2015-02-27,0,0,0,0,0,0,0,13,93,268,424,506,564,557,487,400,180,54,1,0,0,0,0,0
당진자재창고,0,2015-02-28,0,0,0,0,0,0,0,4,38,71,113,204,226,230,179,183,56,12,0,0,0,0,0,0
당진자재창고,0,2015-03-01,0,0,0,0,0,0,0,1,42,104,280,400,498,493,459,339,205,64,2,0,0,0,0,0
당진자재창고,0,2015-03-02,0,0,0,0,0,0,0,11,99,244,382,465,518,520,486,407,265,74,1,0,0,0,0,0
당진자재창고,0,2015-03-03,0,0,0,0,0,0,0,0,30,73,118,151,109,70,33,36,15,0,0,0,0,0,0,0
당진자재창고,0,2015-03-04,0,0,0,0,0,0,0,11,109,282,433,529,582,472,353,214,179,83,2,0,0,0,0,0
당진자재창고,0,2015-03-05,0,0,0,0,0,0,0,12,104,194,336,326,333,490,512,427,211,67,2,0,0,0,0,0
당진자재창고,0,2015-03-06,0,0,0,0,0,0,0,15,106,251,391,479,528,514,482,406,283,93,3,0,0,0,0,0
당진자재창고,0,2015-03-07,0,0,0,0,0,0,0,17,118,276,413,497,546,534,503,417,269,81,2,0,0,0,0,0
당진자재창고,0,2015-03-08,0,0,0,0,0,0,0,14,93,214,346,438,478,473,386,261,100,36,1,0,0,0,0,0
당진자재창고,0,2015-03-09,0,0,0,0,0,0,0,7,84,243,336,215,235,280,474,482,356,120,3,0,0,0,0,0
당진자재창고,0,2015-03-10,0,0,0,0,0,0,0,17,128,306,434,403,524,535,557,466,342,112,3,0,0,0,0,0
당진자재창고,0,2015-03-11,0,0,0,0,0,0,0,16,113,261,356,369,486,401,216,400,311,106,4,0,0,0,0,0
당진자재창고,0,2015-03-12,0,0,0,0,0,0,0,18,116,281,420,500,542,540,507,428,273,81,2,0,0,0,0,0
당진자재창고,0,2015-03-13,0,0,0,0,0,0,0,20,103,250,408,498,491,544,512,413,295,100,3,0,0,0,0,0
당진자재창고,0,2015-03-14,0,0,0,0,0,0,0,20,119,276,413,497,531,525,465,252,131,39,3,0,0,0,0,0
당진자재창고,0,2015-03-15,0,0,0,0,0,0,0,22,112,254,386,454,435,419,404,337,204,68,6,0,0,0,0,0
당진자재창고,0,2015-03-16,0,0,0,0,0,0,0,27,87,121,316,433,483,480,441,344,210,72,4,0,0,0,0,0
당진자재창고,0,2015-03-17,0,0,0,0,0,0,0,18,84,154,235,296,204,263,83,56,23,13,0,0,0,0,0,0
당진자재창고,0,2015-03-18,0,0,0,0,0,0,0,1,25,55,121,75,12,0,22,30,37,7,0,0,0,0,0,0
당진자재창고,0,2015-03-19,0,0,0,0,0,0,0,28,128,282,405,480,512,509,480,398,269,84,4,0,0,0,0,0
