태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
부산복합운동장,1,2013-01-01,0,0,0,0,0,0,0,0.36,19.944,54.144,132.84,197.1,158.508,198.18,147.708,65.196,14.652,0.108,0,0,0,0,0,0
부산복합운동장,1,2013-01-02,0,0,0,0,0,0,0,0.36,20.736,87.084,159.948,247.284,265.644,234.396,160.884,77.148,14.4,0.036,0,0,0,0,0,0
부산복합운동장,1,2013-01-03,0,0,0,0,0,0,0,0.18,21.168,80.748,149.508,213.876,271.584,266.004,177.912,63.288,14.832,0.216,0,0,0,0,0,0
부산복합운동장,1,2013-01-04,0,0,0,0,0,0,0,0.252,20.592,96.552,160.2,259.704,286.02,265.824,185.292,93.78,18.576,0.072,0,0,0,0,0,0
부산복합운동장,1,2013-01-05,0,0,0,0,0,0,0,0.18,22.464,110.628,200.844,277.92,297.612,268.632,130.392,79.488,20.052,0.144,0,0,0,0,0,0
부산복합운동장,1,2013-01-06,0,0,0,0,0,0,0,0.36,21.348,83.376,167.472,219.96,242.46,251.28,173.988,89.064,19.368,0.648,0,0,0,0,0,0
부산복합운동장,1,2013-01-07,0,0,0,0,0,0,0,0.18,26.28,107.676,190.368,261.684,278.316,259.056,183.672,93.924,18.972,0.396,0,0,0,0,0,0
부산복합운동장,1,2013-01-08,0,0,0,0,0,0,0,0.432,21.744,90,168.768,243.108,262.764,245.52,171.504,86.652,19.98,0.432,0,0,0,0,0,0
부산복합운동장,1,2013-01-09,0,0,0,0,0,0,0,0.504,20.412,85.608,159.732,262.404,284.652,259.38,188.064,98.964,22.968,0.288,0,0,0,0,0,0
부산복합운동장,1,2013-01-10,0,0,0,0,0,0,0,0.216,29.052,112.968,189.108,275.436,296.136,275.112,199.8,105.588,24.372,0.324,0,0,0,0,0,0
부산복합운동장,1,2013-01-11,0,0,0,0,0,0,0,0.108,27.9,109.872,194.4,265.716,285.732,266.508,184.86,93.528,21.816,0.504,0,0,0,0,0,0
부산복합운동장,1,2013-01-12,0,0,0,0,0,0,0,0.252,22.86,96.768,173.196,243.54,267.696,246.024,170.892,85.932,21.672,0.684,0,0,0,0,0,0
부산복합운동장,1,2013-01-13,0,0,0,0,0,0,0,0,7.164,36.504,60.768,61.272,35.172,21.384,18.072,8.964,0.936,0,0,0,0,0,0,0
부산복합운동장,1,2013-01-14,0,0,0,0,0,0,0,0.324,22.968,95.796,169.344,219.924,241.308,222.66,150.084,76.212,21.6,0.936,0,0,0,0,0,0
부산복합운동장,1,2013-01-15,0,0,0,0,0,0,0,0.504,25.524,84.06,134.172,175.644,181.332,205.416,135.756,78.444,26.784,1.188,0,0,0,0,0,0
부산복합운동장,1,2013-01-16,0,0,0,0,0,0,0,0.468,21.348,74.592,145.404,212.58,238.356,206.928,138.168,85.86,23.832,0.828,0,0,0,0,0,0
부산복합운동장,1,2013-01-17,0,0,0,0,0,0,0,0.36,24.084,85.068,159.192,98.46,63.432,164.916,138.708,57.204,23.184,1.944,0,0,0,0,0,0
부산복합운동장,1,2013-01-18,0,0,0,0,0,0,0,0.396,27.936,106.704,194.256,269.64,284.472,270.072,200.988,108.504,29.844,0.972,0,0,0,0,0,0
부산복합운동장,1,2013-01-19,0,0,0,0,0,0,0,0.252,28.764,109.296,192.06,263.556,278.784,250.128,165.6,89.532,22.464,1.26,0,0,0,0,0,0
부산복합운동장,1,2013-01-20,0,0,0,0,0,0,0,0.72,16.38,53.676,95.94,115.632,110.628,144.648,128.304,62.784,24.66,1.332,0,0,0,0,0,0
부산복합운동장,1,2013-01-21,0,0,0,0,0,0,0,0,0,3.096,3.384,2.412,6.3,8.136,3.384,0.756,0,0,0,0,0,0,0,0
부산복합운동장,1,2013-01-22,0,0,0,0,0,0,0,0,0.432,8.1,35.424,36.72,68.076,50.904,48.06,29.16,8.424,0.288,0,0,0,0,0,0
부산복합운동장,1,2013-01-23,0,0,0,0,0,0,0,0,0.396,16.74,49.14,91.728,113.976,77.04,59.724,28.404,9.648,0.036,0,0,0,0,0,0
부산복합운동장,1,2013-01-24,0,0,0,0,0,0,0,0.576,25.776,88.452,149.148,138.744,115.632,145.08,82.224,41.94,21.384,1.908,0,0,0,0,0,0
부산복합운동장,1,2013-01-25,0,0,0,0,0,0,0,0.468,31.572,114.156,199.656,273.456,288.684,274.176,205.956,119.448,39.06,1.944,0,0,0,0,0,0
부산복합운동장,1,2013-01-26,0,0,0,0,0,0,0,0.54,35.64,121.032,209.52,288.756,312.66,294.48,219.528,128.16,43.128,1.62,0,0,0,0,0,0
부산복합운동장,1,2013-01-27,0,0,0,0,0,0,0,0.576,35.856,118.368,197.712,281.988,220.356,153.684,206.892,121.356,44.1,2.592,0,0,0,0,0,0
부산복합운동장,1,2013-01-28,0,0,0,0,0,0,0,0.756,37.836,119.016,201.06,278.064,298.764,282.888,204.804,118.044,40.5,2.448,0,0,0,0,0,0
부산복합운동장,1,2013-01-29,0,0,0,0,0,0,0,1.296,30.744,91.728,160.74,222.228,248.76,218.88,149.112,69.012,26.784,2.376,0,0,0,0,0,0
부산복합운동장,1,2013-01-30,0,0,0,0,0,0,0,0.612,23.328,76.212,139.104,203.04,224.172,213.876,159.372,89.64,32.868,3.312,0,0,0,0,0,0
부산복합운동장,1,2013-01-31,0,0,0,0,0,0,0,0.324,16.38,35.46,55.8,117.504,69.948,113.652,132.552,65.16,24.516,2.844,0,0,0,0,0,0
부산복합운동장,1,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0.252,2.376,2.448,2.592,2.268,0.036,0,0,0,0,0,0,0
부산복합운동장,1,2013-02-02,0,0,0,0,0,0,0,1.152,26.424,84.6,178.272,254.736,281.268,255.492,193.5,112.788,43.164,3.78,0,0,0,0,0,0
부산복합운동장,1,2013-02-03,0,0,0,0,0,0,0,1.836,34.776,98.496,148.428,113.436,69.732,72.612,56.016,22.608,15.912,1.368,0,0,0,0,0,0
부산복합운동장,1,2013-02-04,0,0,0,0,0,0,0,0,0.648,17.964,90.828,147.456,246.204,258.372,194.58,122.364,46.872,4.14,0,0,0,0,0,0
부산복합운동장,1,2013-02-05,0,0,0,0,0,0,0,0.108,8.244,34.74,49.32,51.12,42.336,24.264,16.596,6.156,0.036,0,0,0,0,0,0,0
부산복합운동장,1,2013-02-06,0,0,0,0,0,0,0,0.18,14.112,34.236,129.96,239.472,273.924,266.256,201.42,116.892,46.044,3.924,0,0,0,0,0,0
부산복합운동장,1,2013-02-07,0,0,0,0,0,0,0,0.324,35.496,109.62,184.464,243.108,203.148,221.58,88.128,65.556,23.58,4.284,0,0,0,0,0,0
부산복합운동장,1,2013-02-08,0,0,0,0,0,0,0,1.8,35.748,113.328,198.18,248.832,263.016,275.292,208.584,106.488,46.224,5.184,0,0,0,0,0,0
부산복합운동장,1,2013-02-09,0,0,0,0,0,0,0,2.016,50.472,123.66,198.864,258.192,273.708,253.008,175.32,125.532,42.66,6.3,0,0,0,0,0,0
부산복합운동장,1,2013-02-10,0,0,0,0,0,0,0,2.196,42.588,116.46,190.116,266.508,283.968,261.324,190.512,111.096,46.692,7.02,0,0,0,0,0,0
