怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
伙么家郴,1,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伙么家郴,1,2018-01-18,0,0,0,0,0,0,0,0,42.48,109.44,139.68,202.32,230.4,243.36,306.72,179.28,50.4,2.16,0,0,0,0,0,0
伙么家郴,1,2018-01-19,0,0,0,0,0,0,0,1.44,89.28,338.4,565.2,568.8,615.6,642.96,519.12,318.24,99.36,8.64,0,0,0,0,0,0
伙么家郴,1,2018-01-20,0,0,0,0,0,0,0,1.44,100.08,297.36,404.64,534.24,431.28,539.28,427.68,272.88,102.96,6.48,0,0,0,0,0,0
伙么家郴,1,2018-01-21,0,0,0,0,0,0,0,0,87.12,347.76,533.52,633.6,684.72,619.2,513.36,316.8,99.36,5.04,0,0,0,0,0,0
伙么家郴,1,2018-01-22,0,0,0,0,0,0,0,0,18,98.64,183.6,292.32,335.52,270,243.36,159.84,69.12,6.48,0,0,0,0,0,0
伙么家郴,1,2018-01-23,0,0,0,0,0,0,0,0.72,105.84,499.68,732.24,840.24,854.64,806.4,683.28,493.2,177.84,12.96,0,0,0,0,0,0
伙么家郴,1,2018-01-24,0,0,0,0,0,0,0,2.16,110.88,504.72,734.4,847.44,866.88,812.88,691.92,489.6,182.16,15.12,0,0,0,0,0,0
伙么家郴,1,2018-01-25,0,0,0,0,0,0,0,3.6,120.96,489.6,669.6,735.84,810.72,753.12,636.48,411.84,157.68,10.08,0,0,0,0,0,0
伙么家郴,1,2018-01-26,0,0,0,0,0,0,0,4.32,123.84,504,730.08,845.28,865.44,818.64,706.32,511.2,205.2,19.44,0,0,0,0,0,0
伙么家郴,1,2018-01-27,0,0,0,0,0,0,0,3.6,115.92,479.52,673.92,770.4,797.76,750.96,642.96,460.08,177.84,17.28,0,0,0,0,0,0
伙么家郴,1,2018-01-28,0,0,0,0,0,0,0,0,25.2,143.28,545.04,676.08,683.28,709.2,580.32,387.36,149.76,12.24,0,0,0,0,0,0
伙么家郴,1,2018-01-29,0,0,0,0,0,0,0,4.32,122.4,479.52,682.56,807.84,833.04,792,679.68,485.28,191.52,20.16,0,0,0,0,0,0
伙么家郴,1,2018-01-30,0,0,0,0,0,0,0,3.6,123.84,514.08,721.44,807.12,825.12,779.76,660.96,470.16,177.12,16.56,0,0,0,0,0,0
伙么家郴,1,2018-01-31,0,0,0,0,0,0,0,1.44,60.48,162.72,253.44,428.4,320.4,206.64,128.88,79.92,37.44,4.32,0,0,0,0,0,0
伙么家郴,1,2018-02-01,0,0,0,0,0,0,0,3.6,128.88,501.12,685.44,798.48,836.64,786.24,668.16,487.44,205.2,23.04,0,0,0,0,0,0
伙么家郴,1,2018-02-02,0,0,0,0,0,0,0,5.76,63.36,398.88,657.36,772.56,806.4,743.04,568.08,437.04,149.76,10.08,0,0,0,0,0,0
伙么家郴,1,2018-02-03,0,0,0,0,0,0,0,5.04,118.8,437.04,652.32,793.44,865.44,818.64,700.56,517.68,223.92,25.92,0,0,0,0,0,0
伙么家郴,1,2018-02-04,0,0,0,0,0,0,0,9.36,162,236.88,444.24,408.24,542.16,750.96,421.2,447.84,199.44,28.8,0,0,0,0,0,0
伙么家郴,1,2018-02-05,0,0,0,0,0,0,0,5.04,156.96,545.76,748.08,857.52,891.36,840.24,714.96,528.48,236.16,31.68,0,0,0,0,0,0
伙么家郴,1,2018-02-06,0,0,0,0,0,0,0,6.48,158.4,532.8,715.68,831.6,860.4,818.64,714.24,522,235.44,32.4,0,0,0,0,0,0
伙么家郴,1,2018-02-07,0,0,0,0,0,0,0,8.64,161.28,519.84,707.04,824.4,753.84,777.6,681.12,496.8,226.8,32.4,0,0,0,0,0,0
伙么家郴,1,2018-02-08,0,0,0,0,0,0,0,8.64,108,372.24,563.76,690.48,740.88,702.72,600.48,420.48,188.64,28.8,0,0,0,0,0,0
伙么家郴,1,2018-02-09,0,0,0,0,0,0,0,11.52,88.56,149.04,168.48,411.84,743.76,742.32,624.96,436.32,190.08,25.2,0,0,0,0,0,0
伙么家郴,1,2018-02-10,0,0,0,0,0,0,0,0,0,17.28,36,76.32,82.8,97.92,478.08,262.08,133.2,19.44,0,0,0,0,0,0
伙么家郴,1,2018-02-11,0,0,0,0,0,0,0,12.96,184.32,544.32,751.68,866.88,900,842.4,715.68,531.36,248.4,26.64,0,0,0,0,0,0
伙么家郴,1,2018-02-12,0,0,0,0,0,0,0,12.96,186.48,509.04,695.52,831.6,857.52,825.12,723.6,526.32,252,38.88,0,0,0,0,0,0
伙么家郴,1,2018-02-13,0,0,0,0,0,0,0,14.4,192.96,519.12,707.04,821.52,848.88,793.44,686.16,510.48,249.84,39.6,0,0,0,0,0,0
伙么家郴,1,2018-02-14,0,0,0,0,0,0,0,13.68,151.92,412.56,600.48,687.6,740.16,702,603.36,434.88,159.84,31.68,0,0,0,0,0,0
伙么家郴,1,2018-02-15,0,0,0,0,0,0,0,8.64,164.16,466.56,643.68,786.24,799.92,762.48,591.84,424.8,212.4,41.76,0,0,0,0,0,0
伙么家郴,1,2018-02-16,0,0,0,0,0,0,0,17.28,141.12,411.84,645.12,771.12,766.8,650.88,674.64,480.24,204.48,41.76,0,0,0,0,0,0
