태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
신인천전망대,1,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신인천전망대,1,2018-01-09,0,0,0,0,0,0,0,0,45.6,231.6,578.4,850.8,932.4,897.6,639.6,430.8,308.4,22.8,0,0,0,0,0,0
신인천전망대,1,2018-01-10,0,0,0,0,0,0,0,0,13.2,104.4,246,645.6,925.2,878.4,739.2,638.4,345.6,28.8,0,0,0,0,0,0
신인천전망대,1,2018-01-11,0,0,0,0,0,0,0,1.2,61.2,367.2,586.8,908.4,841.2,907.2,759.6,674.4,334.8,13.2,0,0,0,0,0,0
신인천전망대,1,2018-01-12,0,0,0,0,0,0,0,1.2,51.6,391.2,759.6,994.8,1159.2,986.4,921.6,715.2,302.4,12,0,0,0,0,0,0
신인천전망대,1,2018-01-13,0,0,0,0,0,0,0,0,4.8,26.4,44.4,61.2,141.6,580.8,433.2,346.8,102,8.4,0,0,0,0,0,0
신인천전망대,1,2018-01-14,0,0,0,0,0,0,0,0,56.4,216,306,410.4,636,562.8,596.4,560.4,111.6,2.4,0,0,0,0,0,0
신인천전망대,1,2018-01-15,0,0,0,0,0,0,0,1.2,60,292.8,589.2,828,734.4,758.4,573.6,372,187.2,15.6,0,0,0,0,0,0
신인천전망대,1,2018-01-16,0,0,0,0,0,0,0,0,28.8,116.4,214.8,360,567.6,421.2,124.8,91.2,42,1.2,0,0,0,0,0,0
신인천전망대,1,2018-01-17,0,0,0,0,0,0,0,1.2,50.4,205.2,466.8,681.6,696,775.2,712.8,529.2,202.8,13.2,0,0,0,0,0,0
신인천전망대,1,2018-01-18,0,0,0,0,0,0,0,0,37.2,133.2,276,363.6,495.6,564,456,206.4,75.6,4.8,0,0,0,0,0,0
신인천전망대,1,2018-01-19,0,0,0,0,0,0,0,1.2,69.6,338.4,634.8,865.2,1005.6,1035.6,898.8,626.4,315.6,39.6,0,0,0,0,0,0
신인천전망대,1,2018-01-20,0,0,0,0,0,0,0,0,38.4,218.4,457.2,723.6,787.2,788.4,490.8,483.6,255.6,22.8,0,0,0,0,0,0
신인천전망대,1,2018-01-21,0,0,0,0,0,0,0,1.2,63.6,322.8,598.8,774,897.6,852,724.8,536.4,217.2,19.2,0,0,0,0,0,0
신인천전망대,1,2018-01-22,0,0,0,0,0,0,0,0,24,158.4,196.8,238.8,154.8,352.8,106.8,48,4.8,0,0,0,0,0,0,0
신인천전망대,1,2018-01-23,0,0,0,0,0,0,0,1.2,48,338.4,686.4,998.4,1102.8,958.8,757.2,691.2,448.8,62.4,0,0,0,0,0,0
신인천전망대,1,2018-01-24,0,0,0,0,0,0,0,2.4,70.8,447.6,831.6,1096.8,1200,1048.8,879.6,722.4,498,81.6,0,0,0,0,0,0
