태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
연성정수장,0,2017-01-01,0,0,0,0,0,0,0,0,22.8,116.4,295.2,358.8,579.6,453.6,304.8,230.4,31.2,0,0,0,0,0,0,0
연성정수장,0,2017-01-02,0,0,0,0,0,0,0,0,8.4,160.8,181.2,273.6,580.8,478.8,265.2,72,30,0,0,0,0,0,0,0
연성정수장,0,2017-01-03,0,0,0,0,0,0,0,0,34.8,193.2,321.6,800.4,883.2,696,660,463.2,147.6,4.8,0,0,0,0,0,0
연성정수장,0,2017-01-04,0,0,0,0,0,0,0,0,32.4,193.2,346.8,775.2,937.2,906,726,457.2,136.8,3.6,0,0,0,0,0,0
연성정수장,0,2017-01-05,0,0,0,0,0,0,0,0,24,157.2,196.8,238.8,307.2,267.6,196.8,110.4,63.6,2.4,0,0,0,0,0,0
연성정수장,0,2017-01-06,0,0,0,0,0,0,0,0,32.4,189.6,306,670.8,825.6,853.2,570,380.4,106.8,7.2,0,0,0,0,0,0
연성정수장,0,2017-01-07,0,0,0,0,0,0,0,0,58.8,187.2,350.4,688.8,819.6,655.2,526.8,252,98.4,2.4,0,0,0,0,0,0
연성정수장,0,2017-01-08,0,0,0,0,0,0,0,0,31.2,181.2,320.4,595.2,289.2,289.2,176.4,156,68.4,3.6,0,0,0,0,0,0
연성정수장,0,2017-01-09,0,0,0,0,0,0,0,0,28.8,80.4,303.6,630,661.2,920.4,739.2,450,157.2,9.6,0,0,0,0,0,0
연성정수장,0,2017-01-10,0,0,0,0,0,0,0,0,27.6,188.4,291.6,470.4,668.4,916.8,741.6,534,178.8,7.2,0,0,0,0,0,0
연성정수장,0,2017-01-11,0,0,0,0,0,0,0,0,34.8,206.4,330,898.8,822,488.4,601.2,399.6,175.2,8.4,0,0,0,0,0,0
연성정수장,0,2017-01-12,0,0,0,0,0,0,0,0,4.8,117.6,331.2,878.4,962.4,622.8,733.2,516,200.4,8.4,0,0,0,0,0,0
연성정수장,0,2017-01-13,0,0,0,0,0,0,0,0,40.8,192,165.6,115.2,944.4,912,823.2,438,189.6,10.8,0,0,0,0,0,0
연성정수장,0,2017-01-14,0,0,0,0,0,0,0,0,25.2,205.2,363.6,1146,1197.6,1107.6,901.2,578.4,210,10.8,0,0,0,0,0,0
연성정수장,0,2017-01-15,0,0,0,0,0,0,0,0,26.4,196.8,362.4,1108.8,1142.4,1069.2,876,576,217.2,10.8,0,0,0,0,0,0
연성정수장,0,2017-01-16,0,0,0,0,0,0,0,0,25.2,195.6,357.6,1076.4,1098,1002,804,522,195.6,13.2,0,0,0,0,0,0
연성정수장,0,2017-01-17,0,0,0,0,0,0,0,0,51.6,163.2,361.2,783.6,727.2,642,457.2,460.8,163.2,18,0,0,0,0,0,0
연성정수장,0,2017-01-18,0,0,0,0,0,0,0,0,44.4,177.6,358.8,541.2,303.6,201.6,188.4,142.8,129.6,15.6,0,0,0,0,0,0
연성정수장,0,2017-01-19,0,0,0,0,0,0,0,0,42,259.2,434.4,745.2,637.2,783.6,622.8,445.2,140.4,18,0,0,0,0,0,0
연성정수장,0,2017-01-20,0,0,0,0,0,0,0,0,0,0,1.2,9.6,31.2,56.4,55.2,34.8,9.6,0,0,0,0,0,0,0
연성정수장,0,2017-01-21,0,0,0,0,0,0,0,0,0,19.2,42,75.6,235.2,291.6,157.2,37.2,2.4,0,0,0,0,0,0,0
연성정수장,0,2017-01-22,0,0,0,0,0,0,0,0,0,14.4,66,196.8,424.8,590.4,570,382.8,156,14.4,0,0,0,0,0,0
연성정수장,0,2017-01-23,0,0,0,0,0,0,0,0,24,140.4,344.4,854.4,970.8,958.8,822,550.8,224.4,20.4,0,0,0,0,0,0
연성정수장,0,2017-01-24,0,0,0,0,0,0,0,0,34.8,187.2,452.4,1063.2,1096.8,1046.4,870,588,246,22.8,0,0,0,0,0,0
연성정수장,0,2017-01-25,0,0,0,0,0,0,0,0,39.6,204,496.8,1074,1098,968.4,802.8,558,240,25.2,0,0,0,0,0,0
연성정수장,0,2017-01-26,0,0,0,0,0,0,0,0,62.4,232.8,457.2,828,698.4,612,324,122.4,52.8,3.6,0,0,0,0,0,0
연성정수장,0,2017-01-27,0,0,0,0,0,0,0,0,44.4,223.2,602.4,1142.4,1185.6,1105.2,919.2,637.2,279.6,27.6,0,0,0,0,0,0
연성정수장,0,2017-01-28,0,0,0,0,0,0,0,0,57.6,217.2,589.2,1010.4,896.4,885.6,656.4,345.6,164.4,20.4,0,0,0,0,0,0
연성정수장,0,2017-01-29,0,0,0,0,0,0,0,0,1.2,24,63.6,94.8,204,139.2,63.6,34.8,4.8,0,0,0,0,0,0,0
연성정수장,0,2017-01-30,0,0,0,0,0,0,0,0,1.2,24,78,147.6,225.6,319.2,415.2,342,150,15.6,0,0,0,0,0,0
연성정수장,0,2017-01-31,0,0,0,0,0,0,0,0,13.2,127.2,394.8,861.6,973.2,727.2,873.6,606,258,43.2,0,0,0,0,0,0
연성정수장,0,2017-02-01,0,0,0,0,0,0,0,0,55.2,234,717.6,1202.4,1214.4,1128,955.2,657.6,306,37.2,0,0,0,0,0,0
연성정수장,0,2017-02-02,0,0,0,0,0,0,0,0,55.2,230.4,751.2,1192.8,1212,1135.2,942,674.4,373.2,84,0,0,0,0,0,0
연성정수장,0,2017-02-03,0,0,0,0,0,0,0,0,72,249.6,627.6,914.4,829.2,938.4,788.4,514.8,237.6,42,0,0,0,0,0,0
연성정수장,0,2017-02-04,0,0,0,0,0,0,0,0,52.8,202.8,194.4,194.4,183.6,189.6,118.8,84,26.4,0,0,0,0,0,0,0
연성정수장,0,2017-02-05,0,0,0,0,0,0,0,0,18,55.2,110.4,103.2,84,126,96,68.4,26.4,3.6,0,0,0,0,0,0
연성정수장,0,2017-02-06,0,0,0,0,0,0,0,0,73.2,255.6,818.4,1179.6,1206,1126.8,950.4,660,307.2,46.8,0,0,0,0,0,0
연성정수장,0,2017-02-07,0,0,0,0,0,0,0,0,0,6,259.2,474,619.2,517.2,582,292.8,216,63.6,0,0,0,0,0,0
연성정수장,0,2017-02-08,0,0,0,0,0,0,0,0,75.6,241.2,480,345.6,408,363.6,295.2,240,148.8,32.4,0,0,0,0,0,0
연성정수장,0,2017-02-09,0,0,0,0,0,0,0,0,82.8,268.8,914.4,1233.6,1276.8,1005.6,951.6,549.6,237.6,75.6,0,0,0,0,0,0
연성정수장,0,2017-02-10,0,0,0,0,0,0,0,0,85.2,272.4,987.6,1250.4,1290,1132.8,987.6,669.6,316.8,57.6,0,0,0,0,0,0
연성정수장,0,2017-02-11,0,0,0,0,0,0,0,0,87.6,273.6,987.6,1233.6,1254,1128,896.4,708,376.8,62.4,0,0,0,0,0,0
연성정수장,0,2017-02-12,0,0,0,0,0,0,0,0,88.8,264,988.8,1200,1240.8,1182,998.4,723.6,350.4,54,0,0,0,0,0,0
연성정수장,0,2017-02-13,0,0,0,0,0,0,0,0,96,284.4,397.2,966,594,304.8,235.2,120,64.8,8.4,0,0,0,0,0,0
연성정수장,0,2017-02-14,0,0,0,0,0,0,0,1.2,99.6,283.2,969.6,1160.4,1189.2,1090.8,955.2,687.6,336,60,1.2,0,0,0,0,0
연성정수장,0,2017-02-15,0,0,0,0,0,0,0,2.4,105.6,307.2,841.2,1016.4,916.8,852,679.2,450,230.4,58.8,0,0,0,0,0,0
연성정수장,0,2017-02-16,0,0,0,0,0,0,0,1.2,104.4,309.6,537.6,351.6,204,256.8,262.8,350.4,66,7.2,0,0,0,0,0,0
연성정수장,0,2017-02-17,0,0,0,0,0,0,0,0,66,343.2,1122,1285.2,1227.6,1180.8,1035.6,729.6,364.8,63.6,1.2,0,0,0,0,0
연성정수장,0,2017-02-18,0,0,0,0,0,0,0,1.2,118.8,375.6,1126.8,1224,1255.2,1177.2,970.8,703.2,340.8,70.8,1.2,0,0,0,0,0
연성정수장,0,2017-02-19,0,0,0,0,0,0,0,1.2,70.8,226.8,481.2,1117.2,601.2,166.8,63.6,66,16.8,1.2,0,0,0,0,0,0
연성정수장,0,2017-02-20,0,0,0,0,0,0,0,1.2,99.6,420,1138.8,1270.8,1293.6,1196.4,984,656.4,320.4,80.4,1.2,0,0,0,0,0
연성정수장,0,2017-02-21,0,0,0,0,0,0,0,8.4,159.6,452.4,1104,1222.8,1233.6,1077.6,912,681.6,339.6,72,2.4,0,0,0,0,0
연성정수장,0,2017-02-22,0,0,0,0,0,0,0,0,3.6,58.8,67.2,85.2,139.2,102,56.4,27.6,20.4,4.8,0,0,0,0,0,0
연성정수장,0,2017-02-23,0,0,0,0,0,0,0,7.2,130.8,535.2,1104,1122,1203.6,1003.2,756,432,226.8,49.2,2.4,0,0,0,0,0
연성정수장,0,2017-02-24,0,0,0,0,0,0,0,4.8,151.2,549.6,1152,1131.6,840,810,600,321.6,165.6,80.4,4.8,0,0,0,0,0
연성정수장,0,2017-02-25,0,0,0,0,0,0,0,7.2,152.4,561.6,1064.4,1168.8,1258.8,1135.2,997.2,733.2,379.2,76.8,3.6,0,0,0,0,0
연성정수장,0,2017-02-26,0,0,0,0,0,0,0,9.6,158.4,571.2,1074,1202.4,1222.8,1150.8,943.2,710.4,358.8,81.6,3.6,0,0,0,0,0
연성정수장,0,2017-02-27,0,0,0,0,0,0,0,8.4,150,625.2,1132.8,1221.6,1234.8,1114.8,970.8,724.8,375.6,80.4,2.4,0,0,0,0,0
연성정수장,0,2017-02-28,0,0,0,0,0,0,0,14.4,162,619.2,1054.8,1144.8,1159.2,1068,892.8,592.8,274.8,93.6,3.6,0,0,0,0,0
연성정수장,0,2017-03-01,0,0,0,0,0,0,0,4.8,84,242.4,488.4,609.6,724.8,406.8,247.2,94.8,39.6,4.8,0,0,0,0,0,0
연성정수장,0,2017-03-02,0,0,0,0,0,0,0,0,106.8,668.4,1113.6,1266,1286.4,1213.2,1045.2,762,399.6,92.4,3.6,0,0,0,0,0
연성정수장,0,2017-03-03,0,0,0,0,0,0,0,22.8,175.2,664.8,1030.8,1129.2,1178.4,1110,934.8,686.4,357.6,94.8,6,0,0,0,0,0
연성정수장,0,2017-03-04,0,0,0,0,0,0,0,20.4,186,696,1026,1130.4,1149.6,1096.8,950.4,697.2,375.6,91.2,6,0,0,0,0,0
연성정수장,0,2017-03-05,0,0,0,0,0,0,0,14.4,126,270,476.4,735.6,1035.6,913.2,758.4,528,238.8,36,0,0,0,0,0,0
연성정수장,0,2017-03-06,0,0,0,0,0,0,0,24,196.8,866.4,1221.6,1344,1352.4,1266,1071.6,786,423.6,90,9.6,0,0,0,0,0
연성정수장,0,2017-03-07,0,0,0,0,0,0,0,26.4,201.6,884.4,1209.6,1327.2,1335.6,1258.8,1082.4,786,415.2,92.4,6,0,0,0,0,0
연성정수장,0,2017-03-08,0,0,0,0,0,0,0,28.8,202.8,812.4,1148.4,1225.2,1304.4,1040.4,865.2,679.2,351.6,120,10.8,0,0,0,0,0
연성정수장,0,2017-03-09,0,0,0,0,0,0,0,32.4,210,831.6,1111.2,1208.4,1195.2,1118.4,1020,751.2,402,93.6,7.2,0,0,0,0,0
연성정수장,0,2017-03-10,0,0,0,0,0,0,0,36,219.6,912,1149.6,1237.2,1268.4,1171.2,1002,746.4,403.2,96,8.4,0,0,0,0,0
연성정수장,0,2017-03-11,0,0,0,0,0,0,0,37.2,228,826.8,1095.6,1178.4,1168.8,1088.4,936,702,378,104.4,10.8,0,0,0,0,0
연성정수장,0,2017-03-12,0,0,0,0,0,0,0,25.2,144,420,290.4,685.2,705.6,630,697.2,513.6,237.6,104.4,8.4,0,0,0,0,0
