태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
영암에프원b,0,2017-01-01,0,0,0,0,0,0,0,0,547.2,3484.8,3350.4,7929.6,8697.6,8236.8,7344,5155.2,2131.2,134.4,0,0,0,0,0,0
영암에프원b,0,2017-01-02,0,0,0,0,0,0,0,0,345.6,1948.8,6211.2,7334.4,8332.8,7286.4,6355.2,4512,1584,76.8,0,0,0,0,0,0
영암에프원b,0,2017-01-03,0,0,0,0,0,0,0,0,960,3465.6,6288,8371.2,9148.8,8784,7411.2,5356.8,2332.8,163.2,0,0,0,0,0,0
영암에프원b,0,2017-01-04,0,0,0,0,0,0,0,9.6,777.6,2438.4,3830.4,5155.2,6854.4,7190.4,4752,3427.2,1440,67.2,0,0,0,0,0,0
영암에프원b,0,2017-01-05,0,0,0,0,0,0,0,0,432,1017.6,1152,1478.4,1507.2,1545.6,1027.2,969.6,460.8,38.4,0,0,0,0,0,0
영암에프원b,0,2017-01-06,0,0,0,0,0,0,0,0,403.2,3177.6,3619.2,3552,5347.2,5779.2,4329.6,5424,2073.6,192,0,0,0,0,0,0
영암에프원b,0,2017-01-07,0,0,0,0,0,0,0,0,422.4,1478.4,2563.2,2524.8,4483.2,2467.2,1459.2,710.4,374.4,9.6,0,0,0,0,0,0
영암에프원b,0,2017-01-08,0,0,0,0,0,0,0,0,537.6,1900.8,2860.8,4176,7344,8956.8,7968,3283.2,1795.2,192,0,0,0,0,0,0
영암에프원b,0,2017-01-09,0,0,0,0,0,0,0,0,9.6,777.6,2976,4464,4377.6,7689.6,8304,5164.8,1718.4,192,0,0,0,0,0,0
영암에프원b,0,2017-01-10,0,0,0,0,0,0,0,0,268.8,854.4,3187.2,2323.2,3408,8870.4,5232,4022.4,1152,96,0,0,0,0,0,0
영암에프원b,0,2017-01-11,0,0,0,0,0,0,0,0,624,4512,7785.6,9225.6,9945.6,9676.8,8505.6,6316.8,2908.8,268.8,0,0,0,0,0,0
영암에프원b,0,2017-01-12,0,0,0,0,0,0,0,0,633.6,2217.6,1737.6,1747.2,3561.6,3331.2,3513.6,1814.4,355.2,28.8,0,0,0,0,0,0
영암에프원b,0,2017-01-13,0,0,0,0,0,0,0,0,259.2,2601.6,5116.8,6912,4713.6,3964.8,4099.2,1881.6,624,19.2,0,0,0,0,0,0
영암에프원b,0,2017-01-14,0,0,0,0,0,0,0,0,105.6,720,3139.2,4454.4,5433.6,5904,7478.4,5404.8,2784,230.4,0,0,0,0,0,0
영암에프원b,0,2017-01-15,0,0,0,0,0,0,0,9.6,1574.4,5126.4,8073.6,9552,10512,10214.4,9177.6,6960,3302.4,403.2,0,0,0,0,0,0
영암에프원b,0,2017-01-16,0,0,0,0,0,0,0,0,921.6,3302.4,7612.8,9292.8,10272,10137.6,9100.8,6816,3408,451.2,0,0,0,0,0,0
영암에프원b,0,2017-01-17,0,0,0,0,0,0,0,19.2,1296,3878.4,5049.6,5692.8,5952,7315.2,6134.4,4396.8,3052.8,364.8,0,0,0,0,0,0
영암에프원b,0,2017-01-18,0,0,0,0,0,0,0,0,825.6,2160,5683.2,7632,7776,6633.6,4032,2716.8,1372.8,268.8,0,0,0,0,0,0
영암에프원b,0,2017-01-19,0,0,0,0,0,0,0,0,681.6,2515.2,5385.6,7132.8,7190.4,7593.6,8064,5251.2,2870.4,364.8,0,0,0,0,0,0
영암에프원b,0,2017-01-20,0,0,0,0,0,0,0,0,0,115.2,700.8,1516.8,3504,4099.2,4320,4204.8,2304,201.6,0,0,0,0,0,0
영암에프원b,0,2017-01-21,0,0,0,0,0,0,0,0,403.2,844.8,3590.4,5769.6,2035.2,2044.8,2889.6,2755.2,1353.6,144,0,0,0,0,0,0
영암에프원b,0,2017-01-22,0,0,0,0,0,0,0,0,1113.6,4080,2841.6,4243.2,6259.2,5836.8,6883.2,4310.4,1555.2,192,0,0,0,0,0,0
영암에프원b,0,2017-01-23,0,0,0,0,0,0,0,0,211.2,345.6,1804.8,5971.2,5241.6,4550.4,3100.8,2169.6,1814.4,249.6,0,0,0,0,0,0
영암에프원b,0,2017-01-24,0,0,0,0,0,0,0,0,364.8,3427.2,5836.8,8860.8,9888,10224,5452.8,5884.8,2217.6,220.8,0,0,0,0,0,0
영암에프원b,0,2017-01-25,0,0,0,0,0,0,0,19.2,1267.2,4051.2,6048,6950.4,9100.8,10214.4,9129.6,7084.8,3984,691.2,0,0,0,0,0,0
영암에프원b,0,2017-01-26,0,0,0,0,0,0,0,38.4,1833.6,5270.4,6537.6,9283.2,9744,8764.8,7910.4,6393.6,3446.4,499.2,0,0,0,0,0,0
영암에프원b,0,2017-01-27,0,0,0,0,0,0,0,9.6,624,1756.8,5174.4,9811.2,10915.2,10809.6,9926.4,7161.6,3936,652.8,0,0,0,0,0,0
영암에프원b,0,2017-01-28,0,0,0,0,0,0,0,38.4,2198.4,5740.8,8188.8,9638.4,10080,9552,8304,7171.2,2803.2,364.8,0,0,0,0,0,0
영암에프원b,0,2017-01-29,0,0,0,0,0,0,0,0,76.8,67.2,710.4,758.4,902.4,1689.6,1123.2,777.6,393.6,105.6,0,0,0,0,0,0
영암에프원b,0,2017-01-30,0,0,0,0,0,0,0,0,441.6,2764.8,5241.6,3532.8,5712,5356.8,4291.2,4915.2,1257.6,326.4,0,0,0,0,0,0
영암에프원b,0,2017-01-31,0,0,0,0,0,0,0,48,1910.4,5347.2,8217.6,10012.8,10896,10675.2,9696,7929.6,3609.6,595.2,0,0,0,0,0,0
영암에프원b,0,2017-02-01,0,0,0,0,0,0,0,19.2,844.8,4512,7584,6000,3782.4,6633.6,9024,7680,4512,816,0,0,0,0,0,0
영암에프원b,0,2017-02-02,0,0,0,0,0,0,0,57.6,2150.4,5952,8755.2,10425.6,11212.8,11049.6,9993.6,8044.8,4972.8,1200,0,0,0,0,0,0
영암에프원b,0,2017-02-03,0,0,0,0,0,0,0,38.4,1200,4464,6566.4,6230.4,7152,6864,4953.6,2544,1046.4,297.6,0,0,0,0,0,0
영암에프원b,0,2017-02-04,0,0,0,0,0,0,0,9.6,1008,3052.8,3849.6,4022.4,2976,2188.8,1632,700.8,288,28.8,0,0,0,0,0,0
영암에프원b,0,2017-02-05,0,0,0,0,0,0,0,0,19.2,249.6,672,892.8,633.6,1718.4,2755.2,3235.2,1497.6,220.8,0,0,0,0,0,0
영암에프원b,0,2017-02-06,0,0,0,0,0,0,0,38.4,1401.6,4291.2,8601.6,9907.2,6499.2,9868.8,8860.8,7084.8,4550.4,1017.6,0,0,0,0,0,0
영암에프원b,0,2017-02-07,0,0,0,0,0,0,0,19.2,873.6,3504,7852.8,9456,9782.4,9974.4,8851.2,6566.4,2880,1584,9.6,0,0,0,0,0
영암에프원b,0,2017-02-08,0,0,0,0,0,0,0,19.2,652.8,1814.4,2678.4,3264,3081.6,3206.4,3849.6,2323.2,1200,201.6,0,0,0,0,0,0
영암에프원b,0,2017-02-09,0,0,0,0,0,0,0,0,336,2659.2,4752,5568,6528,8092.8,5472,4656,2121.6,307.2,0,0,0,0,0,0
영암에프원b,0,2017-02-10,0,0,0,0,0,0,0,0,28.8,0,28.8,9.6,76.8,240,508.8,720,288,9.6,0,0,0,0,0,0
영암에프원b,0,2017-02-11,0,0,0,0,0,0,0,0,0,163.2,1152,1334.4,2275.2,3091.2,5049.6,5836.8,3494.4,585.6,0,0,0,0,0,0
영암에프원b,0,2017-02-12,0,0,0,0,0,0,0,105.6,2409.6,5577.6,8332.8,8294.4,9436.8,9628.8,8140.8,5990.4,4444.8,1132.8,9.6,0,0,0,0,0
영암에프원b,0,2017-02-13,0,0,0,0,0,0,0,124.8,2246.4,5299.2,7574.4,8976,9513.6,9158.4,7968,5779.2,3139.2,883.2,19.2,0,0,0,0,0
영암에프원b,0,2017-02-14,0,0,0,0,0,0,0,144,2524.8,5808,8380.8,10041.6,10800,10684.8,9465.6,7420.8,4713.6,1334.4,28.8,0,0,0,0,0
영암에프원b,0,2017-02-15,0,0,0,0,0,0,0,182.4,2793.6,5942.4,8476.8,9840,10329.6,10214.4,8995.2,6835.2,4272,1267.2,19.2,0,0,0,0,0
영암에프원b,0,2017-02-16,0,0,0,0,0,0,0,249.6,1632,4992,7017.6,6777.6,4483.2,5184,2803.2,1440,451.2,96,0,0,0,0,0,0
영암에프원b,0,2017-02-17,0,0,0,0,0,0,0,0,691.2,1756.8,5788.8,7756.8,10070.4,10579.2,9763.2,8160,5376,1852.8,28.8,0,0,0,0,0
영암에프원b,0,2017-02-18,0,0,0,0,0,0,0,86.4,1747.2,4473.6,7776,10156.8,11472,11068.8,9705.6,7603.2,4617.6,1584,28.8,0,0,0,0,0
영암에프원b,0,2017-02-19,0,0,0,0,0,0,0,211.2,2217.6,5884.8,8352,8131.2,8793.6,7056,8208,3676.8,460.8,316.8,0,0,0,0,0,0
영암에프원b,0,2017-02-20,0,0,0,0,0,0,0,0,48,796.8,2697.6,6240,10819.2,11558.4,10339.2,7507.2,4339.2,1296,9.6,0,0,0,0,0
영암에프원b,0,2017-02-21,0,0,0,0,0,0,0,278.4,2976,6528,9043.2,10329.6,10780.8,10464,9465.6,7161.6,4790.4,1718.4,57.6,0,0,0,0,0
영암에프원b,0,2017-02-22,0,0,0,0,0,0,0,9.6,105.6,393.6,441.6,374.4,470.4,537.6,230.4,38.4,441.6,48,0,0,0,0,0,0
영암에프원b,0,2017-02-23,0,0,0,0,0,0,0,9.6,1104,5001.6,7449.6,8755.2,10185.6,10185.6,8899.2,6211.2,2016,969.6,28.8,0,0,0,0,0
영암에프원b,0,2017-02-24,0,0,0,0,0,0,0,201.6,2380.8,6595.2,9369.6,11020.8,11760,11558.4,10502.4,8563.2,5635.2,2160,67.2,0,0,0,0,0
영암에프원b,0,2017-02-25,0,0,0,0,0,0,0,182.4,1987.2,4204.8,6931.2,8793.6,10108.8,10838.4,10003.2,7449.6,3340.8,1075.2,48,0,0,0,0,0
영암에프원b,0,2017-02-26,0,0,0,0,0,0,0,163.2,1526.4,3014.4,5721.6,7401.6,8428.8,9110.4,8380.8,7084.8,4425.6,1708.8,67.2,0,0,0,0,0
영암에프원b,0,2017-02-27,0,0,0,0,0,0,0,432,2937.6,5942.4,8332.8,9955.2,11040,10896,10089.6,8515.2,5884.8,2380.8,48,0,0,0,0,0
영암에프원b,0,2017-02-28,0,0,0,0,0,0,0,499.2,3446.4,6528,8899.2,9888,10214.4,10368,9235.2,7353.6,5001.6,1680,67.2,0,0,0,0,0
영암에프원b,0,2017-03-01,0,0,0,0,0,0,0,288,2448,5164.8,7824,8793.6,9312,7833.6,7036.8,1593.6,844.8,182.4,28.8,0,0,0,0,0
영암에프원b,0,2017-03-02,0,0,0,0,0,0,0,38.4,700.8,3926.4,7104,9744,10483.2,11788.8,7852.8,4723.2,4684.8,1651.2,96,0,0,0,0,0
영암에프원b,0,2017-03-03,0,0,0,0,0,0,0,700.8,3763.2,6912,9292.8,9868.8,10713.6,10252.8,8774.4,7152,3945.6,1488,76.8,0,0,0,0,0
영암에프원b,0,2017-03-04,0,0,0,0,0,0,0,451.2,3542.4,5817.6,8947.2,10406.4,11164.8,11059.2,10137.6,8352,5577.6,2150.4,124.8,0,0,0,0,0
영암에프원b,0,2017-03-05,0,0,0,0,0,0,0,192,1228.8,2371.2,3878.4,4627.2,7555.2,9955.2,9667.2,8006.4,5299.2,1872,86.4,0,0,0,0,0
영암에프원b,0,2017-03-06,0,0,0,0,0,0,0,528,3734.4,7104,9782.4,11424,12182.4,12019.2,10944,8889.6,6019.2,2544,153.6,0,0,0,0,0
영암에프원b,0,2017-03-07,0,0,0,0,0,0,0,0,278.4,2121.6,4243.2,7920,7449.6,5856,5452.8,3686.4,3456,1084.8,57.6,0,0,0,0,0
영암에프원b,0,2017-03-08,0,0,0,0,0,0,0,201.6,2035.2,4368,9100.8,8371.2,11414.4,11817.6,9792,5980.8,2150.4,1440,67.2,0,0,0,0,0
영암에프원b,0,2017-03-09,0,0,0,0,0,0,0,835.2,3849.6,6940.8,9216,10588.8,11174.4,10819.2,9638.4,7862.4,5193.6,2092.8,153.6,0,0,0,0,0
영암에프원b,0,2017-03-10,0,0,0,0,0,0,0,816,3926.4,7180.8,9532.8,10502.4,11443.2,11337.6,10320,8505.6,5798.4,2534.4,192,0,0,0,0,0
영암에프원b,0,2017-03-11,0,0,0,0,0,0,0,700.8,3916.8,6364.8,6988.8,8342.4,10982.4,10819.2,9936,8169.6,5280,2092.8,144,0,0,0,0,0
영암에프원b,0,2017-03-12,0,0,0,0,0,0,0,854.4,3475.2,6624,8726.4,9926.4,10540.8,10396.8,9456,6182.4,3312,1065.6,86.4,0,0,0,0,0
영암에프원b,0,2017-03-13,0,0,0,0,0,0,0,585.6,3264,6220.8,8716.8,9888,9158.4,9369.6,6441.6,3868.8,2198.4,787.2,67.2,0,0,0,0,0
영암에프원b,0,2017-03-14,0,0,0,0,0,0,0,988.8,4137.6,7296,9782.4,11308.8,12009.6,11856,10857.6,8649.6,5827.2,2544,240,0,0,0,0,0
영암에프원b,0,2017-03-15,0,0,0,0,0,0,0,1056,4012.8,7065.6,9465.6,10857.6,11577.6,11520,10550.4,8582.4,5788.8,2486.4,230.4,0,0,0,0,0
영암에프원b,0,2017-03-16,0,0,0,0,0,0,0,979.2,2582.4,5212.8,6019.2,8419.2,9628.8,10012.8,9091.2,6998.4,3628.8,1401.6,172.8,0,0,0,0,0
영암에프원b,0,2017-03-17,0,0,0,0,0,0,0,1046.4,3964.8,6816,9216,10627.2,11184,10857.6,9916.8,8064,5251.2,2140.8,249.6,0,0,0,0,0
영암에프원b,0,2017-03-18,0,0,0,0,0,0,0,432,585.6,2179.2,2812.8,4512,7872,7238.4,9033.6,7324.8,4905.6,2092.8,240,0,0,0,0,0
영암에프원b,0,2017-03-19,0,0,0,0,0,0,0,1046.4,3456,6672,8640,10272,10742.4,10310.4,8620.8,5932.8,3292.8,1315.2,144,0,0,0,0,0
영암에프원b,0,2017-03-20,0,0,0,0,0,0,0,288,960,1708.8,1171.2,1824,1372.8,1228.8,960,604.8,316.8,124.8,19.2,0,0,0,0,0
영암에프원b,0,2017-03-21,0,0,0,0,0,0,9.6,960,3561.6,6537.6,9129.6,11280,12057.6,11798.4,10771.2,8793.6,5817.6,2572.8,297.6,0,0,0,0,0
영암에프원b,0,2017-03-22,0,0,0,0,0,0,0,576,1622.4,3072,5030.4,5308.8,8649.6,8918.4,8169.6,4972.8,2342.4,940.8,67.2,0,0,0,0,0
영암에프원b,0,2017-03-23,0,0,0,0,0,0,0,422.4,1411.2,2908.8,4204.8,5001.6,5721.6,9552,9206.4,7084.8,4953.6,2006.4,278.4,0,0,0,0,0
영암에프원b,0,2017-03-24,0,0,0,0,0,0,0,720,2352,5395.2,6201.6,6172.8,4560,4531.2,5424,4934.4,3024,1075.2,105.6,0,0,0,0,0
영암에프원b,0,2017-03-25,0,0,0,0,0,0,0,0,182.4,681.6,1075.2,1622.4,2832,2928,5500.8,7948.8,4780.8,2035.2,96,0,0,0,0,0
영암에프원b,0,2017-03-26,0,0,0,0,0,0,38.4,816,1641.6,3427.2,5942.4,8640,6048,7353.6,7718.4,5347.2,2908.8,1737.6,297.6,0,0,0,0,0
영암에프원b,0,2017-03-27,0,0,0,0,0,0,38.4,739.2,1526.4,3955.2,8668.8,10627.2,11155.2,9417.6,9686.4,7968,5510.4,2534.4,403.2,0,0,0,0,0
영암에프원b,0,2017-03-28,0,0,0,0,0,0,0,422.4,1305.6,2716.8,8073.6,9552,7680,6528,3993.6,2544,969.6,1238.4,76.8,0,0,0,0,0
영암에프원b,0,2017-03-29,0,0,0,0,0,0,0,480,1065.6,2505.6,2985.6,2505.6,4022.4,3504,3321.6,2707.2,1968,624,48,0,0,0,0,0
영암에프원b,0,2017-03-30,0,0,0,0,0,0,134.4,1267.2,4118.4,7564.8,9878.4,11097.6,11596.8,11184,10176,8428.8,5587.2,2534.4,307.2,0,0,0,0,0
영암에프원b,0,2017-03-31,0,0,0,0,0,0,0,460.8,1430.4,2832,5443.2,7209.6,8064,9292.8,9264,6777.6,4800,2256,307.2,0,0,0,0,0
영암에프원b,0,2017-04-01,0,0,0,0,0,0,19.2,374.4,1142.4,1852.8,5481.6,8620.8,10924.8,11212.8,10262.4,8371.2,5731.2,2630.4,393.6,0,0,0,0,0
영암에프원b,0,2017-04-02,0,0,0,0,0,0,144,1843.2,4684.8,7516.8,9676.8,11040,11404.8,11164.8,10281.6,8486.4,5836.8,2716.8,403.2,0,0,0,0,0
영암에프원b,0,2017-04-03,0,0,0,0,0,0,76.8,969.6,3216,7612.8,9580.8,10636.8,11347.2,11184,10022.4,7929.6,5232,2284.8,384,0,0,0,0,0
영암에프원b,0,2017-04-04,0,0,0,0,0,0,105.6,1593.6,4137.6,6844.8,8476.8,9571.2,9993.6,9676.8,8918.4,6192,4540.8,1353.6,268.8,0,0,0,0,0
영암에프원b,0,2017-04-05,0,0,0,0,0,0,0,201.6,758.4,864,1363.2,892.8,1209.6,1113.6,1209.6,422.4,105.6,86.4,0,0,0,0,0,0
영암에프원b,0,2017-04-06,0,0,0,0,0,0,0,134.4,336,364.8,364.8,403.2,595.2,1027.2,1555.2,1574.4,1603.2,739.2,144,0,0,0,0,0
영암에프원b,0,2017-04-07,0,0,0,0,0,0,19.2,470.4,1209.6,2496,8438.4,9696,10108.8,9590.4,8467.2,6268.8,4166.4,2044.8,556.8,0,0,0,0,0
영암에프원b,0,2017-04-08,0,0,0,0,0,0,153.6,1718.4,4435.2,7516.8,9619.2,10790.4,11548.8,11462.4,9744,8697.6,5894.4,2592,576,0,0,0,0,0
영암에프원b,0,2017-04-09,0,0,0,0,0,0,19.2,768,1795.2,4598.4,7132.8,9715.2,10406.4,10166.4,8784,6700.8,3110.4,691.2,115.2,0,0,0,0,0
영암에프원b,0,2017-04-10,0,0,0,0,0,0,86.4,1113.6,3782.4,7420.8,9369.6,10166.4,10262.4,6854.4,5404.8,4147.2,4080,1180.8,86.4,0,0,0,0,0
영암에프원b,0,2017-04-11,0,0,0,0,0,0,0,172.8,1593.6,6672,9628.8,10512,11289.6,11280,10224,8313.6,5827.2,2726.4,451.2,0,0,0,0,0
영암에프원b,0,2017-04-12,0,0,0,0,0,0,163.2,1286.4,4646.4,7641.6,8697.6,11030.4,11145.6,11337.6,10128,8467.2,5913.6,3043.2,556.8,0,0,0,0,0
영암에프원b,0,2017-04-13,0,0,0,0,0,0,259.2,2064,4617.6,7036.8,8668.8,9676.8,10358.4,9907.2,9043.2,7276.8,5059.2,2476.8,499.2,0,0,0,0,0
영암에프원b,0,2017-04-14,0,0,0,0,0,0,259.2,2227.2,5260.8,6384,5011.2,7276.8,854.4,4051.2,5740.8,4291.2,5222.4,2284.8,364.8,0,0,0,0,0
영암에프원b,0,2017-04-15,0,0,0,0,0,0,76.8,1497.6,4800,7171.2,8371.2,10185.6,10425.6,10166.4,9004.8,7651.2,5184,2428.8,566.4,0,0,0,0,0
영암에프원b,0,2017-04-16,0,0,0,0,0,0,57.6,700.8,2409.6,6902.4,9523.2,10272,10771.2,10675.2,9168,7948.8,4588.8,2160,460.8,0,0,0,0,0
영암에프원b,0,2017-04-17,0,0,0,0,0,0,0,0,384,748.8,288,163.2,249.6,86.4,124.8,345.6,1833.6,1104,201.6,0,0,0,0,0
영암에프원b,0,2017-04-18,0,0,0,0,0,0,86.4,1785.6,4272,6192,4752,9542.4,10185.6,7728,4003.2,3456,3043.2,2217.6,595.2,0,0,0,0,0
영암에프원b,0,2017-04-19,0,0,0,0,0,0,326.4,2140.8,4454.4,6892.8,9657.6,10790.4,11366.4,11164.8,10137.6,8294.4,5779.2,2880,614.4,0,0,0,0,0
영암에프원b,0,2017-04-20,0,0,0,0,0,0,86.4,384,3648,3628.8,2044.8,1747.2,1689.6,844.8,883.2,576,432,67.2,0,0,0,0,0,0
영암에프원b,0,2017-04-21,0,0,0,0,0,0,307.2,2016,3734.4,7180.8,9964.8,10809.6,11126.4,9600,7689.6,6297.6,5222.4,2256,499.2,0,0,0,0,0
영암에프원b,0,2017-04-22,0,0,0,0,0,0,307.2,1824,4905.6,7603.2,9504,10752,11337.6,11155.2,10176,8352,6096,3062.4,614.4,0,0,0,0,0
영암에프원b,0,2017-04-23,0,0,0,0,0,0,211.2,1219.2,3168,7718.4,9475.2,10416,10867.2,10752,9705.6,8227.2,5942.4,3033.6,624,0,0,0,0,0
영암에프원b,0,2017-04-24,0,0,0,0,0,0,393.6,2630.4,5683.2,8150.4,9907.2,10982.4,11337.6,11116.8,10147.2,8400,5673.6,2755.2,816,28.8,0,0,0,0
영암에프원b,0,2017-04-25,0,0,0,0,0,0,451.2,2198.4,4099.2,6009.6,6652.8,7574.4,7056,4972.8,4454.4,3619.2,2409.6,1123.2,144,0,0,0,0,0
영암에프원b,0,2017-04-26,0,0,0,0,0,0,67.2,182.4,710.4,1075.2,2851.2,5980.8,9360,10723.2,9888,8438.4,6028.8,3110.4,787.2,9.6,0,0,0,0
영암에프원b,0,2017-04-27,0,0,0,0,0,0,326.4,1497.6,2707.2,7267.2,9446.4,10646.4,11712,11481.6,10195.2,8390.4,6211.2,3139.2,652.8,9.6,0,0,0,0
영암에프원b,0,2017-04-28,0,0,0,0,0,0,470.4,2601.6,5395.2,7814.4,9504,10502.4,10809.6,10617.6,9590.4,7948.8,5692.8,2812.8,662.4,9.6,0,0,0,0
영암에프원b,0,2017-04-29,0,0,0,0,0,0,499.2,2515.2,5337.6,7699.2,9321.6,10262.4,10521.6,10262.4,9379.2,7718.4,5376,2668.8,672,9.6,0,0,0,0
영암에프원b,0,2017-04-30,0,0,0,0,0,0,470.4,2208,4742.4,6950.4,8390.4,9369.6,9734.4,9542.4,8582.4,7161.6,5097.6,2496,643.2,9.6,0,0,0,0
영암에프원b,0,2017-05-01,0,0,0,0,0,0,576,1708.8,4425.6,6988.8,8937.6,9849.6,10243.2,9619.2,8697.6,7104,4608,2496,652.8,9.6,0,0,0,0
영암에프원b,0,2017-05-02,0,0,0,0,0,0,326.4,1728,3571.2,6009.6,8668.8,9552,9062.4,10003.2,8064,6604.8,4156.8,2544,681.6,28.8,0,0,0,0
영암에프원b,0,2017-05-03,0,0,0,0,0,0,566.4,2457.6,4963.2,7238.4,8889.6,9926.4,10358.4,9993.6,8880,7478.4,5136,2620.8,700.8,19.2,0,0,0,0
영암에프원b,0,2017-05-04,0,0,0,0,0,0,537.6,2534.4,4857.6,7516.8,7872,8755.2,10896,9120,8419.2,4252.8,2112,528,86.4,0,0,0,0,0
영암에프원b,0,2017-05-05,0,0,0,0,0,0,76.8,499.2,1008,1795.2,3619.2,3196.8,2409.6,2035.2,1497.6,796.8,547.2,249.6,48,0,0,0,0,0
영암에프원b,0,2017-05-06,0,0,0,0,0,0,537.6,1603.2,4963.2,7027.2,9897.6,8736,8467.2,10137.6,7977.6,6288,4444.8,2736,518.4,9.6,0,0,0,0
영암에프원b,0,2017-05-07,0,0,0,0,0,0,652.8,2688,5299.2,7430.4,9091.2,10108.8,10483.2,10022.4,9120,7459.2,5193.6,2716.8,768,28.8,0,0,0,0
영암에프원b,0,2017-05-08,0,0,0,0,0,0,537.6,1891.2,5222.4,7564.8,9177.6,8486.4,4617.6,3705.6,3523.2,1987.2,1238.4,585.6,124.8,0,0,0,0,0
영암에프원b,0,2017-05-09,0,0,0,0,0,0,48,316.8,556.8,710.4,940.8,1324.8,1660.8,1036.8,624,1036.8,643.2,480,115.2,0,0,0,0,0
영암에프원b,0,2017-05-10,0,0,0,0,0,0,0,240,240,787.2,3955.2,5577.6,9033.6,10396.8,9744,7814.4,5366.4,2764.8,816,38.4,0,0,0,0
영암에프원b,0,2017-05-11,0,0,0,0,0,0,595.2,2313.6,4867.2,7084.8,8659.2,9043.2,10012.8,9945.6,8563.2,6038.4,3926.4,2054.4,739.2,19.2,0,0,0,0
영암에프원b,0,2017-05-12,0,0,0,0,0,0,28.8,220.8,614.4,883.2,1315.2,2140.8,2044.8,1910.4,2256,2371.2,1267.2,441.6,163.2,19.2,0,0,0,0
영암에프원b,0,2017-05-13,0,0,0,0,0,9.6,710.4,2553.6,4992,7180.8,8774.4,9696,10281.6,10022.4,8188.8,7632,4147.2,2582.4,86.4,9.6,0,0,0,0
영암에프원b,0,2017-05-14,0,0,0,0,0,9.6,806.4,2544,5692.8,8131.2,9907.2,10867.2,11270.4,10761.6,9619.2,7699.2,5731.2,3235.2,825.6,48,0,0,0,0
영암에프원b,0,2017-05-15,0,0,0,0,0,9.6,768,1939.2,3436.8,6297.6,8851.2,9148.8,9321.6,7363.2,7795.2,6710.4,4636.8,2832,1084.8,144,0,0,0,0
영암에프원b,0,2017-05-16,0,0,0,0,0,9.6,681.6,1824,4473.6,7497.6,9206.4,10118.4,9811.2,9340.8,7276.8,5712,4569.6,1660.8,816,48,0,0,0,0
영암에프원b,0,2017-05-17,0,0,0,0,0,19.2,700.8,1756.8,5126.4,7804.8,9456,10281.6,10809.6,10675.2,9792,8188.8,5932.8,3158.4,777.6,48,0,0,0,0
영암에프원b,0,2017-05-18,0,0,0,0,0,19.2,710.4,2793.6,5414.4,7516.8,8947.2,10032,10310.4,10051.2,9292.8,7708.8,5520,2985.6,825.6,57.6,0,0,0,0
영암에프원b,0,2017-05-19,0,0,0,0,0,19.2,700.8,2793.6,5395.2,7612.8,8985.6,10099.2,10531.2,10358.4,9456,7929.6,5798.4,2745.6,1027.2,105.6,0,0,0,0
