태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
영월본부,1,2013-01-01,0,0,0,0,0,0,0,0,0,0.014,0.207,0.571,0.093,0.194,0.096,0.075,0.001,0,0,0,0,0,0,0
영월본부,1,2013-01-02,0,0,0,0,0,0,0,0,3.55,16.033,22.064,27.128,28.247,31.365,27.501,13.514,0.952,0.013,0,0,0,0,0,0
영월본부,1,2013-01-03,0,0,0,0,0,0,0,0.007,4.516,19.089,26.41,31.507,34.412,35.752,32.505,17.322,1.196,0.026,0,0,0,0,0,0
영월본부,1,2013-01-04,0,0,0,0,0,0,0,0,2.276,6.868,14.434,28.789,38.347,37.061,31.973,17.05,1.481,0.048,0,0,0,0,0,0
영월본부,1,2013-01-05,0,0,0,0,0,0,0,0,1.383,5.036,11.446,31.269,35.357,34.388,27.917,13.855,2.664,0.056,0,0,0,0,0,0
영월본부,1,2013-01-06,0,0,0,0,0,0,0,0.004,2.217,9.571,18.658,26.56,31.373,30.81,25.202,14.563,2.143,0.078,0,0,0,0,0,0
영월본부,1,2013-01-07,0,0,0,0,0,0,0,0,0.585,3.48,11.747,27.239,34.343,33.943,28.158,15.357,2.299,0.107,0,0,0,0,0,0
영월본부,1,2013-01-08,0,0,0,0,0,0,0,0,0.945,3.998,20.117,29.534,34.206,30.812,26.632,15.679,2.182,0.075,0,0,0,0,0,0
영월본부,1,2013-01-09,0,0,0,0,0,0,0,0,4.795,18.45,27.597,33.752,36.618,35.635,32.673,19.77,1.219,0.048,0,0,0,0,0,0
영월본부,1,2013-01-10,0,0,0,0,0,0,0,0.003,1.537,17.019,30.418,36.466,37.809,36.497,32.425,20.008,1.234,0.064,0,0,0,0,0,0
영월본부,1,2013-01-11,0,0,0,0,0,0,0,0,1.285,6.622,15.256,30.802,36.555,34.335,27.079,15.424,2.453,0.114,0,0,0,0,0,0
영월본부,1,2013-01-12,0,0,0,0,0,0,0,0,0.04,0.926,2.677,4.354,7.841,7.388,9.925,6.24,1.641,0.011,0,0,0,0,0,0
영월본부,1,2013-01-13,0,0,0,0,0,0,0,0,1.072,6.285,13.141,17.541,16.326,13.812,9.638,3.849,2.018,0.063,0,0,0,0,0,0
영월본부,1,2013-01-14,0,0,0,0,0,0,0,0,0.447,2.103,14.186,26.823,25.394,23.929,22.717,14.011,3.212,0.15,0,0,0,0,0,0
영월본부,1,2013-01-15,0,0,0,0,0,0,0,0,1.554,5.456,18.398,26.79,27.153,28.542,23.697,11.735,4.291,0.353,0,0,0,0,0,0
영월본부,1,2013-01-16,0,0,0,0,0,0,0,0,0.959,3.401,8.625,17.893,22.724,13.851,6.506,8.163,2.034,0.018,0,0,0,0,0,0
영월본부,1,2013-01-17,0,0,0,0,0,0,0,0,1.013,3.739,6.602,12.205,9.641,10.105,10.221,6.515,2.708,0.004,0,0,0,0,0,0
영월본부,1,2013-01-18,0,0,0,0,0,0,0,0,0.741,6.903,21.943,29.008,31.503,31.41,26.937,18.25,2.743,0.256,0,0,0,0,0,0
영월본부,1,2013-01-19,0,0,0,0,0,0,0,0,1.379,5.086,10.851,17.196,17.989,12.796,17.195,16.66,3.968,0.293,0,0,0,0,0,0
영월본부,1,2013-01-20,0,0,0,0,0,0,0,0,1.747,7.313,16.452,15.336,18.67,19.089,16.762,10.449,3.846,0.325,0,0,0,0,0,0
영월본부,1,2013-01-21,0,0,0,0,0,0,0,0,0.118,0.878,0.948,1.813,1.776,2.905,3.035,0.827,0.291,0,0,0,0,0,0,0
영월본부,1,2013-01-22,0,0,0,0,0,0,0,0,0.54,3.342,7.428,8.262,6.429,5.574,4.853,3.059,1.478,0.056,0,0,0,0,0,0
영월본부,1,2013-01-23,0,0,0,0,0,0,0,0,0.872,2.273,3.406,5.852,6.283,3.43,2.072,0.604,0.327,0,0,0,0,0,0,0
영월본부,1,2013-01-24,0,0,0,0,0,0,0,0,0.094,3.361,6.851,6.206,4.149,4.189,4.16,4.832,1.166,0.001,0,0,0,0,0,0
영월본부,1,2013-01-25,0,0,0,0,0,0,0,0.017,5.642,21.357,30.782,37.077,39.949,39.148,35.273,27.604,1.686,0.217,0,0,0,0,0,0
영월본부,1,2013-01-26,0,0,0,0,0,0,0,0.037,5.958,21.534,30.145,36.096,38.892,37.73,33.694,25.655,2.244,0.314,0,0,0,0,0,0
영월본부,1,2013-01-27,0,0,0,0,0,0,0,0.04,5.125,18.967,28.43,32.396,32.269,26.126,16.54,10.297,3.199,0.49,0,0,0,0,0,0
영월본부,1,2013-01-28,0,0,0,0,0,0,0,0.033,3.085,11.611,28.721,34.68,36.005,32.123,30.85,20.749,4.01,0.2,0,0,0,0,0,0
영월본부,1,2013-01-29,0,0,0,0,0,0,0,0.002,1.358,4.805,8.567,7.691,8.698,4.46,2.851,1.337,0.267,0,0,0,0,0,0,0
영월본부,1,2013-01-30,0,0,0,0,0,0,0,0,0.384,2.984,8.34,10.666,15.794,19.359,18.456,13.967,4.973,0.447,0,0,0,0,0,0
영월본부,1,2013-01-31,0,0,0,0,0,0,0,0,0.689,2.874,9.542,26.531,29.634,27.733,24.628,16.086,5.326,0.694,0,0,0,0,0,0
영월본부,1,2013-02-01,0,0,0,0,0,0,0,0,0.017,0.613,1.419,1.529,1.347,1.128,0.732,0.058,0.279,0.016,0,0,0,0,0,0
