태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
예천,1,2017-01-01,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,186.7 ,637.7 ,967.5 ,1072.6 ,1177.9 ,1074.1 ,924.1 ,585.2 ,170.6 ,2.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-02,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,135.5 ,205.6 ,51.1 ,221.9 ,387.0 ,520.0 ,900.0 ,632.2 ,194.8 ,1.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-03,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,195.3 ,665.3 ,1019.9 ,1217.2 ,1286.3 ,1236.4 ,1067.2 ,733.3 ,273.8 ,6.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-04,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,65.3 ,459.7 ,959.9 ,1130.6 ,1244.2 ,1219.9 ,1008.5 ,693.7 ,249.1 ,1.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-05,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,69.8 ,199.4 ,565.6 ,633.4 ,454.9 ,258.7 ,175.9 ,115.4 ,86.9 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-06,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15.7 ,144.4 ,250.9 ,284.0 ,339.3 ,373.3 ,613.8 ,757.4 ,313.9 ,10.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-07,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,66.8 ,463.7 ,786.4 ,995.4 ,959.0 ,1117.3 ,788.2 ,340.2 ,99.5 ,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-08,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,14.9 ,231.1 ,356.4 ,620.1 ,1035.5 ,822.4 ,290.2 ,561.4 ,83.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-09,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.3 ,70.6 ,281.3 ,911.7 ,1190.5 ,1231.2 ,1054.8 ,688.5 ,266.9 ,13.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-10,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,207.0 ,712.3 ,1049.2 ,1243.6 ,1341.9 ,1118.9 ,621.2 ,563.4 ,196.6 ,6.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-11,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,229.0 ,726.7 ,1082.7 ,1287.2 ,1367.1 ,1310.0 ,1151.5 ,826.4 ,320.8 ,5.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-12,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.3 ,20.9 ,151.9 ,965.0 ,1005.5 ,630.9 ,360.0 ,265.0 ,13.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-13,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,194.8 ,526.1 ,470.2 ,213.3 ,292.7 ,398.5 ,513.5 ,823.7 ,259.7 ,9.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-14,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,246.1 ,763.4 ,1123.2 ,1354.3 ,1435.1 ,1383.5 ,1217.5 ,896.0 ,416.3 ,27.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-15,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,255.1 ,765.4 ,1101.1 ,1315.6 ,1397.2 ,1354.3 ,1202.6 ,904.0 ,435.8 ,31.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-16,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,235.3 ,719.1 ,1064.9 ,1256.9 ,1339.7 ,1290.1 ,1136.5 ,846.4 ,407.3 ,30.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-17,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,149.9 ,462.6 ,643.7 ,936.5 ,1028.7 ,1062.2 ,995.6 ,619.6 ,150.5 ,16.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-18,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,105.3 ,459.2 ,841.1 ,973.4 ,1024.4 ,1018.4 ,510.1 ,247.1 ,89.8 ,10.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-19,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,231.1 ,445.0 ,967.3 ,1137.8 ,1187.6 ,1203.1 ,1058.0 ,757.1 ,285.3 ,34.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-20,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,54.4 ,467.6 ,608.8 ,850.0 ,327.2 ,418.9 ,499.9 ,175.7 ,8.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-21,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,220.9 ,493.4 ,930.8 ,1312.4 ,1124.5 ,1076.2 ,850.9 ,682.7 ,414.9 ,25.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-22,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,177.8 ,634.5 ,993.1 ,1241.1 ,1369.6 ,1389.4 ,1233.4 ,931.0 ,466.9 ,42.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-23,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,229.3 ,715.3 ,1094.2 ,1324.3 ,1417.0 ,1361.3 ,1201.5 ,921.6 ,461.5 ,49.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-24,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,285.1 ,772.6 ,1127.2 ,1345.0 ,1441.1 ,1409.2 ,1245.4 ,952.0 ,498.1 ,60.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-25,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,289.4 ,789.1 ,1146.4 ,1347.1 ,1424.5 ,1381.3 ,1230.5 ,949.0 ,516.8 ,63.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-26,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.7 ,269.1 ,752.4 ,1050.5 ,1249.9 ,1251.4 ,1252.3 ,1115.5 ,823.3 ,221.9 ,35.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-27,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.7 ,179.6 ,854.3 ,1350.0 ,1431.9 ,1396.1 ,1219.5 ,940.0 ,513.0 ,74.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
예천,1,2017-01-28,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.1 ,164.5 ,630.7 ,1057.5 ,1259.3 ,1281.2 ,1240.2 ,1170.5 ,826.7 ,250.2 ,30.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
