태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
인천수산정수장,1,2013-01-01,0,0,0,0,0,0,0,0,0,8.352,52.224,115.008,469.824,665.856,645.792,410.496,75.744,1.344,0,0,0,0,0,0
인천수산정수장,1,2013-01-02,0,0,0,0,0,0,0,0,40.8,265.248,566.016,826.944,888.48,784.032,733.824,511.488,131.52,3.264,0,0,0,0,0,0
인천수산정수장,1,2013-01-03,0,0,0,0,0,0,0,0,82.848,447.456,709.536,852.576,900,869.856,751.008,530.016,141.984,2.88,0,0,0,0,0,0
인천수산정수장,1,2013-01-04,0,0,0,0,0,0,0,0,84.576,446.112,691.488,818.976,867.072,857.664,738.24,507.744,137.952,2.976,0,0,0,0,0,0
인천수산정수장,1,2013-01-05,0,0,0,0,0,0,0,0,44.64,323.424,494.88,688.608,765.792,745.44,605.184,333.792,55.872,0,0,0,0,0,0,0
인천수산정수장,1,2013-01-06,0,0,0,0,0,0,0,0,34.08,254.304,561.216,728.448,779.904,779.136,710.688,478.176,133.824,5.28,0,0,0,0,0,0
인천수산정수장,1,2013-01-07,0,0,0,0,0,0,0,0,22.848,168.672,536.736,587.52,699.36,642.336,304.32,213.792,71.136,0.96,0,0,0,0,0,0
인천수산정수장,1,2013-01-08,0,0,0,0,0,0,0,0,55.296,217.632,526.176,685.44,700.992,761.088,593.376,374.304,104.928,4.896,0,0,0,0,0,0
인천수산정수장,1,2013-01-09,0,0,0,0,0,0,0,0,75.36,422.208,655.104,844.224,903.072,878.496,780.384,548.256,158.304,5.856,0,0,0,0,0,0
인천수산정수장,1,2013-01-10,0,0,0,0,0,0,0,0,75.36,402.72,690.432,837.312,888.576,824.352,747.552,492.576,140.544,7.488,0,0,0,0,0,0
인천수산정수장,1,2013-01-11,0,0,0,0,0,0,0,0,40.128,280.704,564,699.552,705.12,615.072,525.312,227.04,51.072,0,0,0,0,0,0,0
인천수산정수장,1,2013-01-12,0,0,0,0,0,0,0,0,0,14.304,123.552,360.576,458.016,290.88,253.632,151.68,77.664,4.704,0,0,0,0,0,0
인천수산정수장,1,2013-01-13,0,0,0,0,0,0,0,0,18.336,116.544,229.152,307.776,368.736,309.888,294.336,171.36,68.064,3.168,0,0,0,0,0,0
인천수산정수장,1,2013-01-14,0,0,0,0,0,0,0,0,43.776,194.016,100.32,190.56,175.488,609.888,612,416.064,124.896,7.104,0,0,0,0,0,0
인천수산정수장,1,2013-01-15,0,0,0,0,0,0,0,0,49.344,223.2,286.656,454.368,544.224,322.368,207.552,197.184,64.224,3.552,0,0,0,0,0,0
인천수산정수장,1,2013-01-16,0,0,0,0,0,0,0,0,4.128,13.344,25.056,54.816,275.616,397.344,180.672,354.624,144.576,12.288,0,0,0,0,0,0
인천수산정수장,1,2013-01-17,0,0,0,0,0,0,0,0,46.848,215.136,442.944,589.632,569.76,495.744,514.656,351.36,126.144,9.792,0,0,0,0,0,0
인천수산정수장,1,2013-01-18,0,0,0,0,0,0,0,0,93.024,454.368,700.992,780.672,860.544,840.192,707.808,518.496,196.224,12.672,0,0,0,0,0,0
인천수산정수장,1,2013-01-19,0,0,0,0,0,0,0,0,31.968,167.136,422.208,604.8,643.104,590.592,468.768,343.392,118.848,12.768,0,0,0,0,0,0
인천수산정수장,1,2013-01-20,0,0,0,0,0,0,0,0,25.728,135.84,229.92,322.176,320.928,431.904,220.896,115.968,49.44,0.384,0,0,0,0,0,0
인천수산정수장,1,2013-01-21,0,0,0,0,0,0,0,0,0,15.456,26.304,34.176,47.136,32.928,22.464,25.248,5.376,0,0,0,0,0,0,0
인천수산정수장,1,2013-01-22,0,0,0,0,0,0,0,0,2.88,72.384,151.104,189.408,241.44,131.52,66.624,63.648,15.552,0,0,0,0,0,0,0
인천수산정수장,1,2013-01-23,0,0,0,0,0,0,0,0,0,0.096,16.416,6.048,25.92,36.864,51.36,46.272,62.496,6.72,0,0,0,0,0,0
인천수산정수장,1,2013-01-24,0,0,0,0,0,0,0,0,0,50.976,133.248,114.432,379.392,325.632,247.008,380.64,153.024,21.696,0,0,0,0,0,0
인천수산정수장,1,2013-01-25,0,0,0,0,0,0,0,0,93.216,487.488,726.912,883.488,953.472,924.864,822.048,657.312,278.4,24.864,0,0,0,0,0,0
인천수산정수장,1,2013-01-26,0,0,0,0,0,0,0,0,122.88,512.928,708,874.272,934.56,907.872,816,633.024,284.352,27.072,0,0,0,0,0,0
인천수산정수장,1,2013-01-27,0,0,0,0,0,0,0,0.096,103.968,432.768,598.176,799.2,768.48,858.912,768.576,609.696,280.992,26.496,0,0,0,0,0,0
인천수산정수장,1,2013-01-28,0,0,0,0,0,0,0,0.096,99.264,429.792,644.928,470.4,205.632,219.552,119.808,41.088,15.744,0.192,0,0,0,0,0,0
인천수산정수장,1,2013-01-29,0,0,0,0,0,0,0,0,4.128,71.904,51.264,63.36,71.808,82.656,109.728,48.384,7.104,0,0,0,0,0,0,0
인천수산정수장,1,2013-01-30,0,0,0,0,0,0,0,0,10.176,32.448,82.56,229.92,271.2,131.232,133.248,187.296,74.304,5.664,0,0,0,0,0,0
인천수산정수장,1,2013-01-31,0,0,0,0,0,0,0,0,54.528,229.344,402.624,561.024,622.464,591.072,559.68,262.464,109.824,18.624,0,0,0,0,0,0
인천수산정수장,1,2013-02-01,0,0,0,0,0,0,0,0,0,0,4.704,7.2,5.088,19.392,31.488,36.672,0,0,0,0,0,0,0,0
인천수산정수장,1,2013-02-02,0,0,0,0,0,0,0,1.824,83.52,215.52,618.336,818.4,900,902.016,838.272,688.416,387.552,48.288,0,0,0,0,0,0
인천수산정수장,1,2013-02-03,0,0,0,0,0,0,0,0,34.656,68.448,104.736,163.2,109.248,36.192,14.592,0,0,0,0,0,0,0,0,0
인천수산정수장,1,2013-02-04,0,0,0,0,0,0,0,0,0,40.896,439.68,575.616,416.064,616.992,801.12,634.56,315.264,40.608,0,0,0,0,0,0
인천수산정수장,1,2013-02-05,0,0,0,0,0,0,0,0,14.592,52.704,89.088,96.192,149.376,173.472,77.952,71.232,24.576,0,0,0,0,0,0,0
인천수산정수장,1,2013-02-06,0,0,0,0,0,0,0,0,3.072,34.848,75.936,202.752,506.304,687.648,661.152,515.616,181.44,20.064,0,0,0,0,0,0
인천수산정수장,1,2013-02-07,0,0,0,0,0,0,0,9.6,202.656,550.272,775.68,941.664,984.48,973.92,902.784,699.168,381.984,60.48,0,0,0,0,0,0
인천수산정수장,1,2013-02-08,0,0,0,0,0,0,0,2.112,194.976,544.128,767.52,894.528,939.072,896.064,793.152,593.088,367.008,42.144,0,0,0,0,0,0
인천수산정수장,1,2013-02-09,0,0,0,0,0,0,0,4.032,163.008,485.376,691.968,754.656,770.016,789.6,786.336,599.712,329.952,51.264,0,0,0,0,0,0
인천수산정수장,1,2013-02-10,0,0,0,0,0,0,0,0,23.328,107.52,564.096,754.368,831.264,788.256,681.024,491.52,269.952,43.68,0,0,0,0,0,0
인천수산정수장,1,2013-02-11,0,0,0,0,0,0,0,5.856,221.28,540.768,759.072,891.456,952.416,922.176,767.616,648.672,334.752,80.928,0,0,0,0,0,0
인천수산정수장,1,2013-02-12,0,0,0,0,0,0,0,0.096,55.584,181.344,246.72,212.928,245.184,203.424,305.184,204.96,157.536,48.288,0,0,0,0,0,0
인천수산정수장,1,2013-02-13,0,0,0,0,0,0,0,5.952,188.832,478.176,679.392,808.512,835.392,867.072,786.048,620.448,347.52,71.136,0,0,0,0,0,0
인천수산정수장,1,2013-02-14,0,0,0,0,0,0,0,5.76,120.48,397.632,619.104,655.296,780.48,647.232,387.36,365.664,193.632,39.264,0,0,0,0,0,0
인천수산정수장,1,2013-02-15,0,0,0,0,0,0,0,3.552,206.208,524.736,767.232,910.464,973.344,968.256,882.72,728.16,473.856,113.376,0,0,0,0,0,0
인천수산정수장,1,2013-02-16,0,0,0,0,0,0,0,11.04,230.88,509.856,698.784,854.496,906.816,885.408,803.712,627.552,360.96,75.072,0,0,0,0,0,0
인천수산정수장,1,2013-02-17,0,0,0,0,0,0,0,0.096,81.888,234.528,458.88,662.112,479.424,232.128,115.968,78.048,61.152,11.904,0,0,0,0,0,0
인천수산정수장,1,2013-02-18,0,0,0,0,0,0,0,0.48,74.88,245.088,502.08,729.888,529.152,368.928,541.152,364.032,154.368,36.96,0,0,0,0,0,0
인천수산정수장,1,2013-02-19,0,0,0,0,0,0,0,0.384,158.016,403.776,728.064,885.792,964.8,949.44,865.344,698.112,449.088,133.92,0.096,0,0,0,0,0
인천수산정수장,1,2013-02-20,0,0,0,0,0,0,0,18.912,263.712,553.344,744.96,854.4,912.288,916.128,806.016,603.264,312.96,58.752,0,0,0,0,0,0
인천수산정수장,1,2013-02-21,0,0,0,0,0,0,0,8.64,189.216,241.824,461.184,701.088,879.168,906.144,828.768,654.048,427.68,107.136,0.48,0,0,0,0,0
인천수산정수장,1,2013-02-22,0,0,0,0,0,0,0,0,70.656,312.768,538.08,697.536,772.8,718.368,706.272,587.232,427.968,132.672,0.768,0,0,0,0,0
인천수산정수장,1,2013-02-23,0,0,0,0,0,0,0,21.12,241.92,526.752,744.384,867.648,896.544,876.384,814.656,631.008,265.536,114.528,0.672,0,0,0,0,0
인천수산정수장,1,2013-02-24,0,0,0,0,0,0,0,18.624,220.8,484.128,636.096,794.688,894.816,569.76,441.024,268.32,219.072,48.192,0,0,0,0,0,0
인천수산정수장,1,2013-02-25,0,0,0,0,0,0,0,3.072,58.944,127.2,227.232,411.168,600.768,675.264,602.784,439.488,235.488,52.8,0,0,0,0,0,0
인천수산정수장,1,2013-02-26,0,0,0,0,0,0,0,0.192,25.92,23.808,46.656,124.224,266.4,178.944,106.56,38.88,14.976,0.096,0,0,0,0,0,0
인천수산정수장,1,2013-02-27,0,0,0,0,0,0,0,11.808,73.344,77.856,139.968,473.28,765.12,786.912,575.328,442.368,282.144,82.272,0.48,0,0,0,0,0
인천수산정수장,1,2013-02-28,0,0,0,0,0,0,0,8.928,151.872,378.528,569.952,626.688,570.432,434.784,400.416,439.488,130.944,22.848,0,0,0,0,0,0
인천수산정수장,1,2013-03-01,0,0,0,0,0,0,0,11.136,124.416,469.92,759.072,859.392,900.768,936,840.384,644.832,412.896,132.48,2.4,0,0,0,0,0
인천수산정수장,1,2013-03-02,0,0,0,0,0,0,0,36.768,268.32,532.896,704.256,749.952,709.92,691.776,812.448,388.512,241.536,126.048,2.4,0,0,0,0,0
인천수산정수장,1,2013-03-03,0,0,0,0,0,0,0,38.304,278.208,543.936,763.776,883.104,919.296,800.544,841.824,662.88,429.312,121.632,1.92,0,0,0,0,0
인천수산정수장,1,2013-03-04,0,0,0,0,0,0,0,18.144,69.984,135.936,148.704,439.2,713.472,845.184,676.608,593.088,371.136,103.584,2.496,0,0,0,0,0
인천수산정수장,1,2013-03-05,0,0,0,0,0,0,0,34.752,237.312,479.136,692.352,826.752,890.016,888.288,824.928,680.64,461.376,169.536,4.224,0,0,0,0,0
인천수산정수장,1,2013-03-06,0,0,0,0,0,0,0,14.592,126.912,318.24,491.904,624.768,650.016,604.704,502.752,376.128,139.392,50.304,2.592,0,0,0,0,0
인천수산정수장,1,2013-03-07,0,0,0,0,0,0,0,0,11.808,43.872,40.224,123.456,165.504,192.864,177.6,133.056,131.136,25.056,0,0,0,0,0,0
인천수산정수장,1,2013-03-08,0,0,0,0,0,0,0,6.72,67.296,110.592,344.736,467.616,571.392,650.4,645.216,517.92,335.328,105.024,0.576,0,0,0,0,0
인천수산정수장,1,2013-03-09,0,0,0,0,0,0,0,38.208,235.008,464.928,610.656,708.576,685.344,643.584,557.952,429.504,252.672,76.416,1.824,0,0,0,0,0
