태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
하동보건소,1,2013-01-01,0,0,0,0,0,0,0,0,0.54,5.036,6.832,17.304,14.276,17.96,12.46,4.22,1.888,0.024,0,0,0,0,0,0
하동보건소,1,2013-01-02,0,0,0,0,0,0,0,0,1.528,8.4,16.928,23.764,27.856,29.336,25.696,18.116,6.624,0.096,0,0,0,0,0,0
하동보건소,1,2013-01-03,0,0,0,0,0,0,0,0,1.664,5.852,17.024,26.108,31.344,32.096,26.504,9.568,2.872,0.096,0,0,0,0,0,0
하동보건소,1,2013-01-04,0,0,0,0,0,0,0,0,1.44,9.424,18.876,25.46,29.36,26.56,23.532,18.024,9.572,0.036,0,0,0,0,0,0
하동보건소,1,2013-01-05,0,0,0,0,0,0,0,0,1.34,9.16,18.756,25.416,29.276,26.988,24.088,17.16,10.268,0.056,0,0,0,0,0,0
하동보건소,1,2013-01-06,0,0,0,0,0,0,0,0,1.752,9.356,16.12,21.504,26.492,27.536,22.804,15.76,6.296,0.148,0,0,0,0,0,0
하동보건소,1,2013-01-07,0,0,0,0,0,0,0,0,1.56,8.62,17.372,22.24,27.836,28.888,26.272,19.012,7.9,0.188,0,0,0,0,0,0
하동보건소,1,2013-01-08,0,0,0,0,0,0,0,0,1.432,7.96,16.476,22.944,26.636,27.3,24.288,17.64,7.96,0.176,0,0,0,0,0,0
하동보건소,1,2013-01-09,0,0,0,0,0,0,0,0,2.6,7.916,16.652,25.312,29.836,31.532,28.996,22.56,11.792,0.088,0,0,0,0,0,0
하동보건소,1,2013-01-10,0,0,0,0,0,0,0,0,1.812,9.044,17.84,25.052,29.876,30.76,28.544,22.556,12.56,0.06,0,0,0,0,0,0
하동보건소,1,2013-01-11,0,0,0,0,0,0,0,0,1.468,8.84,18.268,24.952,28.82,29.888,26.372,18.844,6.972,0.184,0,0,0,0,0,0
하동보건소,1,2013-01-12,0,0,0,0,0,0,0,0,1.848,8.26,16.184,21.732,25.592,27.372,24.144,17.24,8.744,0.28,0,0,0,0,0,0
하동보건소,1,2013-01-13,0,0,0,0,0,0,0,0,1.004,4.628,5.488,5.948,4.368,2.68,2.432,1.132,0.08,0,0,0,0,0,0,0
하동보건소,1,2013-01-14,0,0,0,0,0,0,0,0,1.452,8.048,15.988,22.328,24.856,26.816,23.424,15.864,5.772,0.308,0,0,0,0,0,0
하동보건소,1,2013-01-15,0,0,0,0,0,0,0,0,1.804,5.844,13.096,18.568,23.776,22.748,19.52,14.368,6.604,0.444,0,0,0,0,0,0
하동보건소,1,2013-01-16,0,0,0,0,0,0,0,0,2.012,8.076,15.272,19.84,18.908,19.44,14.38,6.892,2.32,0.1,0,0,0,0,0,0
하동보건소,1,2013-01-17,0,0,0,0,0,0,0,0,1.548,7.808,16.712,23.696,27.904,28.148,24.008,16.992,7.08,0.452,0,0,0,0,0,0
하동보건소,1,2013-01-18,0,0,0,0,0,0,0,0,1.772,9.132,17.96,25.352,29.452,29.776,29.144,23.784,14.188,0.892,0,0,0,0,0,0
하동보건소,1,2013-01-19,0,0,0,0,0,0,0,0,1.856,8.884,16.144,23.232,23.064,16.928,21.86,15.788,8.156,0.592,0,0,0,0,0,0
하동보건소,1,2013-01-20,0,0,0,0,0,0,0,0,1.836,5.584,11.864,20.18,19.688,21.152,19.116,9.148,3.144,0.392,0,0,0,0,0,0
하동보건소,1,2013-01-21,0,0,0,0,0,0,0,0,0,0,0.056,0.088,0.232,0.156,0.06,0.308,0,0,0,0,0,0,0,0
하동보건소,1,2013-01-22,0,0,0,0,0,0,0,0,0.772,5.928,7.172,20.856,4.792,4.084,3.884,3.08,0.772,0,0,0,0,0,0,0
하동보건소,1,2013-01-23,0,0,0,0,0,0,0,0,0,0.404,2.028,1.968,1.908,5.752,7.264,1.152,0,0,0,0,0,0,0,0
하동보건소,1,2013-01-24,0,0,0,0,0,0,0,0,1.768,7.06,9.784,12.472,4.8,10.316,8.308,2.576,2.028,0.22,0,0,0,0,0,0
하동보건소,1,2013-01-25,0,0,0,0,0,0,0,0,1.572,8.936,18.836,26.56,31.176,32.916,30.324,23.96,13.784,1.932,0,0,0,0,0,0
하동보건소,1,2013-01-26,0,0,0,0,0,0,0,0,1.524,9.176,19.476,27.504,32.616,34.528,32.852,26.728,16.932,3.196,0,0,0,0,0,0
하동보건소,1,2013-01-27,0,0,0,0,0,0,0,0.016,1.568,7.952,17.036,20.668,16.808,18.072,15.88,10.168,11.5,1.4,0,0,0,0,0,0
하동보건소,1,2013-01-28,0,0,0,0,0,0,0,0,2.024,9.504,18.904,25.856,29.816,31.516,30.42,24.884,15.184,2.876,0,0,0,0,0,0
하동보건소,1,2013-01-29,0,0,0,0,0,0,0,0,2.248,8.316,15.644,21.96,24.104,15.172,12.98,6.884,5.192,0.896,0,0,0,0,0,0
하동보건소,1,2013-01-30,0,0,0,0,0,0,0,0.02,2.14,7.828,15.468,22.324,27.036,28.444,26.116,20.196,8.628,1.088,0,0,0,0,0,0
하동보건소,1,2013-01-31,0,0,0,0,0,0,0,0,1.404,3.576,11.152,13.1,12,16.328,13.096,14.028,3.16,0.456,0,0,0,0,0,0
하동보건소,1,2013-02-01,0,0,0,0,0,0,0,0,0,0,0.076,0.144,0.092,0.092,0.804,1.428,1.5,0.048,0,0,0,0,0,0
하동보건소,1,2013-02-02,0,0,0,0,0,0,0,0.056,1.772,9.024,18.052,24.368,28.724,31.332,27.94,21.944,13.02,3.236,0,0,0,0,0,0
하동보건소,1,2013-02-03,0,0,0,0,0,0,0,0.076,2.712,7.764,6.748,7.984,9.636,7.788,5.244,4.56,1.712,0,0,0,0,0,0,0
하동보건소,1,2013-02-04,0,0,0,0,0,0,0,0,0.028,3.752,10.952,21.4,26.916,31.46,29.768,25.596,14.752,3.864,0,0,0,0,0,0
하동보건소,1,2013-02-05,0,0,0,0,0,0,0,0,1.512,3.836,3.892,3.244,3.86,2.748,0.964,0.592,0,0,0,0,0,0,0,0
하동보건소,1,2013-02-06,0,0,0,0,0,0,0,0.016,1.756,5.3,15.04,13.284,21.956,32.528,31.324,26.512,15.272,3.752,0,0,0,0,0,0
하동보건소,1,2013-02-07,0,0,0,0,0,0,0,0.028,2.172,9.968,19.984,27.408,32.308,17.872,20.8,13.34,5.276,0.724,0,0,0,0,0,0
하동보건소,1,2013-02-08,0,0,0,0,0,0,0,0.02,1.908,9.024,19.516,27.076,30.408,31.264,30.048,27.052,9.264,1.356,0,0,0,0,0,0
하동보건소,1,2013-02-09,0,0,0,0,0,0,0,0.032,2.136,8.468,18.292,21.996,29.508,27.516,19.168,23.836,16.568,4.852,0,0,0,0,0,0
하동보건소,1,2013-02-10,0,0,0,0,0,0,0,0.052,2.364,9.476,18.356,25.26,29.224,30.816,29.3,23.084,13.632,2.812,0,0,0,0,0,0
하동보건소,1,2013-02-11,0,0,0,0,0,0,0,0.092,2.38,9.564,18.792,25.58,29.592,31.444,29.304,22.584,12.588,2.936,0,0,0,0,0,0
하동보건소,1,2013-02-12,0,0,0,0,0,0,0,0,0.34,1.464,2.456,1.748,2.428,2.032,2.636,2.392,4.012,2.144,0,0,0,0,0,0
하동보건소,1,2013-02-13,0,0,0,0,0,0,0,0.136,3.196,10.416,19.336,26.82,31.396,31.088,26.068,24.812,15.184,3.476,0,0,0,0,0,0
하동보건소,1,2013-02-14,0,0,0,0,0,0,0,0.12,2.328,9.64,18.564,20.044,18.572,21.852,22.116,14.696,5.32,0.536,0,0,0,0,0,0
하동보건소,1,2013-02-15,0,0,0,0,0,0,0,0.092,2.696,9.244,15.208,20.364,29.748,30.896,31.376,24.872,14.712,6.552,0,0,0,0,0,0
하동보건소,1,2013-02-16,0,0,0,0,0,0,0,0.064,2.056,10.864,20.872,27.956,32.288,33.908,32.568,28.06,16.812,5.032,0,0,0,0,0,0
하동보건소,1,2013-02-17,0,0,0,0,0,0,0,0.04,0.932,3.88,4.004,3.56,3.084,1.416,0.724,0.788,0.2,0,0,0,0,0,0,0
하동보건소,1,2013-02-18,0,0,0,0,0,0,0,0,0,0,0.024,0.84,2.656,3.88,5,5.512,2.32,0.16,0,0,0,0,0,0
하동보건소,1,2013-02-19,0,0,0,0,0,0,0,0.024,1.704,6.768,12.172,17.716,25.18,29.272,32.628,28.604,19.428,8.196,0,0,0,0,0,0
하동보건소,1,2013-02-20,0,0,0,0,0,0,0,0.116,2.348,11.192,21.344,29.072,32.948,34.268,33.4,29.32,20.436,7.6,0,0,0,0,0,0
하동보건소,1,2013-02-21,0,0,0,0,0,0,0,0.364,3.196,10.368,19.036,27.888,33.04,35.328,33.504,29.116,16.736,3.2,0,0,0,0,0,0
하동보건소,1,2013-02-22,0,0,0,0,0,0,0,0.108,3.204,9.432,16.824,23.94,28.464,21.456,25.592,21.08,9.448,1.332,0,0,0,0,0,0
하동보건소,1,2013-02-23,0,0,0,0,0,0,0,0.176,2.568,11.428,21.464,28.636,34.1,36.868,35.76,31.332,21.484,8.756,0,0,0,0,0,0
하동보건소,1,2013-02-24,0,0,0,0,0,0,0,0.212,2.864,10.904,20.132,27.484,31.504,33.02,27.884,22.48,12.268,1.712,0,0,0,0,0,0
하동보건소,1,2013-02-25,0,0,0,0,0,0,0,0.304,2.968,10.936,19.46,24.504,29.368,30.752,25.372,23.476,12.5,2.692,0,0,0,0,0,0
하동보건소,1,2013-02-26,0,0,0,0,0,0,0,0,0.38,0.9,1.796,2.816,4.712,6.34,3.244,3.292,3.212,0.38,0,0,0,0,0,0
하동보건소,1,2013-02-27,0,0,0,0,0,0,0,0.492,3.768,11.096,19.78,26.444,30.236,30.6,29.328,22.056,16.524,5.284,0,0,0,0,0,0
하동보건소,1,2013-02-28,0,0,0,0,0,0,0,0.468,3.432,10.756,18.96,25.572,30.14,32.444,30.776,24.592,12.336,1.816,0,0,0,0,0,0
하동보건소,1,2013-03-01,0,0,0,0,0,0,0,0,0.208,4.528,10.628,12.008,14.816,30.584,22.648,14.468,15.94,4.856,0.096,0,0,0,0,0
하동보건소,1,2013-03-02,0,0,0,0,0,0,0,0.556,3.648,11.872,21.212,28.488,32.752,34.596,32.66,26.948,18.732,6.768,0.044,0,0,0,0,0
하동보건소,1,2013-03-03,0,0,0,0,0,0,0,0.504,3.416,12.408,22.236,29.444,34.048,35.98,35.4,31.076,22.712,11.092,0.032,0,0,0,0,0
하동보건소,1,2013-03-04,0,0,0,0,0,0,0,0.504,3.792,10.856,18.004,23.816,27.7,29.852,28.056,20.116,8.012,2.808,0.02,0,0,0,0,0
하동보건소,1,2013-03-05,0,0,0,0,0,0,0,0.444,3.48,12.244,21.628,27.696,31.568,33.54,33.612,29.316,20.468,9.112,0.096,0,0,0,0,0
하동보건소,1,2013-03-06,0,0,0,0,0,0,0,0.708,4.012,10.892,18.276,24.616,29.372,31.532,30.392,24.832,16.06,5.052,0.1,0,0,0,0,0
하동보건소,1,2013-03-07,0,0,0,0,0,0,0,0.568,3.704,6.732,6.488,2.008,1.16,21.74,25.324,9.964,6.428,3.892,0.076,0,0,0,0,0
하동보건소,1,2013-03-08,0,0,0,0,0,0,0,0.784,4.812,8.48,14.924,22.408,25.396,26.996,24.308,18.724,10.464,3.28,0.08,0,0,0,0,0
하동보건소,1,2013-03-09,0,0,0,0,0,0,0,0.652,3.86,11.64,18.92,24.46,26.66,27.092,25.12,20.292,12.452,4.112,0.104,0,0,0,0,0
하동보건소,1,2013-03-10,0,0,0,0,0,0,0,0.476,3.748,10.104,20.336,28.152,32.124,34.228,34.104,30.368,22.552,10.764,0.292,0,0,0,0,0
하동보건소,1,2013-03-11,0,0,0,0,0,0,0,0.568,3.8,13.22,21.604,28.548,32.764,33.54,33.2,28.828,20.104,8.236,0.236,0,0,0,0,0
하동보건소,1,2013-03-12,0,0,0,0,0,0,0,1.08,4.648,11.708,19.548,25.548,29.324,29.548,27.216,21.276,11.336,2.616,0.032,0,0,0,0,0
하동보건소,1,2013-03-13,0,0,0,0,0,0,0,0,0.296,8.532,14.6,23.568,20.204,9.296,12.192,16.316,10.44,2.768,0.172,0,0,0,0,0
하동보건소,1,2013-03-14,0,0,0,0,0,0,0,0.424,2.824,6.668,14.94,25.176,22.232,17.672,16.652,14.02,10.968,6.716,0.208,0,0,0,0,0
하동보건소,1,2013-03-15,0,0,0,0,0,0,0,0.848,4.584,13.044,22.008,28.788,33.068,35.144,33.86,28.084,16.048,4.572,0.416,0,0,0,0,0
하동보건소,1,2013-03-16,0,0,0,0,0,0,0,1.132,5.044,11.896,20.548,26.276,29.6,31.208,28.816,27.808,20.216,8.512,0.356,0,0,0,0,0
하동보건소,1,2013-03-17,0,0,0,0,0,0,0,1.452,5.248,10.752,18.072,19.5,19.42,11.336,7.348,10.116,4.3,0.124,0,0,0,0,0,0
하동보건소,1,2013-03-18,0,0,0,0,0,0,0,0.296,4.908,12.448,20.18,20.548,21.948,26.184,33.052,29.5,21.684,7.964,0.344,0,0,0,0,0
하동보건소,1,2013-03-19,0,0,0,0,0,0,0,1.432,5.308,11.156,18.276,24.144,27.808,27.208,22.692,16.472,7.376,2.184,0.044,0,0,0,0,0
하동보건소,1,2013-03-20,0,0,0,0,0,0,0,1.184,4.836,13.276,7.956,5.612,2.776,7.844,28.904,28.908,23.072,10.764,0.708,0,0,0,0,0
하동보건소,1,2013-03-21,0,0,0,0,0,0,0,0.828,4.568,14.192,23.16,29.816,34.136,35.084,33.996,29.276,21.656,10.688,0.716,0,0,0,0,0
하동보건소,1,2013-03-22,0,0,0,0,0,0,0,1.732,5.86,12.808,14.068,7.9,17.972,9.932,23.516,26.404,12.904,7.24,0.472,0,0,0,0,0
하동보건소,1,2013-03-23,0,0,0,0,0,0,0,1.5,5.948,13.748,22.04,28.9,32.308,33.972,32.128,26.36,18.512,6.616,0.412,0,0,0,0,0
