태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
하동본부,2,2013-01-01,0,0,0,0,0,0,0,0,72.36,261,490.14,341.82,696.96,473.76,212.76,223.38,79.92,0,0,0,0,0,0,0
하동본부,2,2013-01-02,0,0,0,0,0,0,0,0,92.16,335.7,660.42,785.7,825.48,771.48,611.1,376.2,135.9,3.24,0,0,0,0,0,0
하동본부,2,2013-01-03,0,0,0,0,0,0,0,0,117.72,337.5,638.1,812.88,903.42,807.3,527.04,260.82,67.68,2.16,0,0,0,0,0,0
하동본부,2,2013-01-04,0,0,0,0,0,0,0,0.9,116.82,380.88,666.72,811.98,770.04,694.08,528.84,309.24,111.96,3.42,0,0,0,0,0,0
하동본부,2,2013-01-05,0,0,0,0,0,0,0,0,90.9,344.88,656.46,816.3,855.54,708.3,583.02,276.84,140.76,5.22,0,0,0,0,0,0
하동본부,2,2013-01-06,0,0,0,0,0,0,0,0,94.86,233.46,549,720.36,771.3,665.1,509.4,315.9,113.4,3.6,0,0,0,0,0,0
하동본부,2,2013-01-07,0,0,0,0,0,0,0,0.54,110.52,341.28,625.32,648,762.48,705.24,546.66,332.28,125.64,2.16,0,0,0,0,0,0
하동본부,2,2013-01-08,0,0,0,0,0,0,0,0,94.86,314.46,578.7,727.92,770.04,701.82,543.96,336.78,120.78,3.06,0,0,0,0,0,0
하동본부,2,2013-01-09,0,0,0,0,0,0,0,0,90.36,331.92,584.64,760.32,831.24,767.7,619.02,399.42,159.48,7.38,0,0,0,0,0,0
하동본부,2,2013-01-10,0,0,0,0,0,0,0,1.08,121.32,380.34,640.8,812.16,849.06,765,613.08,402.84,160.74,7.74,0,0,0,0,0,0
하동본부,2,2013-01-11,0,0,0,0,0,0,0,0.72,114.12,360,637.38,805.68,843.66,754.74,556.02,358.56,113.58,6.3,0,0,0,0,0,0
하동본부,2,2013-01-12,0,0,0,0,0,0,0,0,86.94,294.3,548.1,702.9,766.98,703.26,518.94,313.56,123.12,4.86,0,0,0,0,0,0
하동본부,2,2013-01-13,0,0,0,0,0,0,0,0,20.34,160.38,205.38,227.16,120.96,95.04,82.44,30.06,0,0,0,0,0,0,0,0
하동본부,2,2013-01-14,0,0,0,0,0,0,0,0,94.86,303.84,547.02,677.34,716.76,639,530.82,316.98,117.18,4.68,0,0,0,0,0,0
하동본부,2,2013-01-15,0,0,0,0,0,0,0,1.08,86.22,268.02,479.52,599.04,662.04,599.58,468.9,307.08,102.6,4.5,0,0,0,0,0,0
하동본부,2,2013-01-16,0,0,0,0,0,0,0,0,71.46,274.32,486.54,486.54,523.44,389.7,424.62,189.36,65.88,1.62,0,0,0,0,0,0
하동본부,2,2013-01-17,0,0,0,0,0,0,0,0,72.36,293.58,496.26,684.18,725.76,635.94,490.32,340.38,136.26,6.48,0,0,0,0,0,0
하동본부,2,2013-01-18,0,0,0,0,0,0,0,1.08,100.44,326.7,579.42,716.04,777.6,711,579.24,382.68,156.06,10.26,0,0,0,0,0,0
하동본부,2,2013-01-19,0,0,0,0,0,0,0,0.54,99.72,322.2,518.22,660.96,678.6,585.36,503.46,275.76,137.52,7.02,0,0,0,0,0,0
하동본부,2,2013-01-20,0,0,0,0,0,0,0,0,61.02,203.58,392.4,676.26,470.16,533.88,382.32,222.84,75.78,3.78,0,0,0,0,0,0
하동본부,2,2013-01-21,0,0,0,0,0,0,0,0,0,4.86,18,25.02,27.54,11.52,5.76,5.22,0,0,0,0,0,0,0,0
하동본부,2,2013-01-22,0,0,0,0,0,0,0,0,18.36,129.96,189.54,716.76,676.62,300.6,81.36,45.54,2.52,0,0,0,0,0,0,0
하동본부,2,2013-01-23,0,0,0,0,0,0,0,0,0,7.2,27.9,64.62,36.18,136.44,126.9,48.96,0,0,0,0,0,0,0,0
하동본부,2,2013-01-24,0,0,0,0,0,0,0,0.72,101.34,256.14,213.66,270.36,328.14,164.7,213.66,152.46,56.88,2.52,0,0,0,0,0,0
하동본부,2,2013-01-25,0,0,0,0,0,0,0,0.72,93.42,332.64,640.08,801.36,847.26,806.76,653.58,438.84,206.82,23.94,0,0,0,0,0,0
하동본부,2,2013-01-26,0,0,0,0,0,0,0,0.54,90,331.38,653.22,819.18,878.94,837.54,687.6,471.42,230.4,33.84,0,0,0,0,0,0
하동본부,2,2013-01-27,0,0,0,0,0,0,0,2.7,105.12,326.88,502.74,604.26,565.92,632.16,578.88,377.82,149.04,23.4,0,0,0,0,0,0
하동본부,2,2013-01-28,0,0,0,0,0,0,0,5.4,128.34,362.34,585,761.22,806.58,755.82,622.08,440.46,214.38,30.6,0,0,0,0,0,0
하동본부,2,2013-01-29,0,0,0,0,0,0,0,1.62,122.94,307.08,478.8,629.64,481.86,431.46,442.26,278.46,145.62,18.72,0,0,0,0,0,0
하동본부,2,2013-01-30,0,0,0,0,0,0,0,1.44,98.46,299.7,482.22,661.14,725.22,698.22,569.52,376.56,158.76,17.64,0,0,0,0,0,0
하동본부,2,2013-01-31,0,0,0,0,0,0,0,0.54,59.58,137.7,295.92,465.84,432.54,434.16,468.36,370.8,120.78,7.2,0,0,0,0,0,0
하동본부,2,2013-02-01,0,0,0,0,0,0,0,0,0,0,8.1,25.02,28.8,24.48,16.74,4.14,5.58,0,0,0,0,0,0,0
하동본부,2,2013-02-02,0,0,0,0,0,0,0,2.34,129.42,388.8,595.44,765.72,831.42,774.72,572.58,493.02,229.14,37.98,0,0,0,0,0,0
하동본부,2,2013-02-03,0,0,0,0,0,0,0,8.1,155.16,331.92,283.68,327.24,407.34,320.94,264.78,223.92,68.4,0,0,0,0,0,0,0
하동본부,2,2013-02-04,0,0,0,0,0,0,0,0,2.34,88.92,289.98,722.16,806.04,602.64,641.7,559.62,339.12,55.26,0,0,0,0,0,0
하동본부,2,2013-02-05,0,0,0,0,0,0,0,0,78.84,197.82,178.74,168.84,134.28,131.4,46.44,21.6,1.26,0,0,0,0,0,0,0
하동본부,2,2013-02-06,0,0,0,0,0,0,0,7.38,67.86,203.4,268.2,288.54,419.94,733.86,796.5,608.58,303.84,59.22,0,0,0,0,0,0
하동본부,2,2013-02-07,0,0,0,0,0,0,0,3.24,162,517.86,879.3,920.88,1006.2,765.72,459.18,356.94,153.54,19.98,0,0,0,0,0,0
하동본부,2,2013-02-08,0,0,0,0,0,0,0,4.68,111.24,472.32,818.82,983.52,984.78,1098.9,766.98,559.98,247.5,48.42,0,0,0,0,0,0
하동본부,2,2013-02-09,0,0,0,0,0,0,0,15.48,213.66,535.86,732.96,771.84,991.44,880.74,801.72,545.58,338.4,71.46,0,0,0,0,0,0
하동본부,2,2013-02-10,0,0,0,0,0,0,0,11.16,212.4,538.92,787.32,984.6,1034.64,1002.96,842.94,571.86,296.64,60.66,0,0,0,0,0,0
하동본부,2,2013-02-11,0,0,0,0,0,0,0,13.32,203.4,524.34,772.92,979.2,1073.7,1005.3,854.64,583.2,309.78,61.74,0,0,0,0,0,0
하동본부,2,2013-02-12,0,0,0,0,0,0,0,0.9,24.66,57.78,82.26,51.66,77.22,95.4,155.7,78.12,88.2,49.14,0,0,0,0,0,0
하동본부,2,2013-02-13,0,0,0,0,0,0,0,28.8,272.7,622.98,842.76,1031.94,1064.16,892.44,737.46,610.02,320.76,76.5,0,0,0,0,0,0
하동본부,2,2013-02-14,0,0,0,0,0,0,0,8.46,224.28,538.56,760.86,810.36,724.5,765.36,835.92,473.4,193.68,24.12,0,0,0,0,0,0
하동본부,2,2013-02-15,0,0,0,0,0,0,0,12.6,211.14,502.38,703.62,942.3,1062.36,1030.86,955.08,635.94,322.74,92.16,0,0,0,0,0,0
하동본부,2,2013-02-16,0,0,0,0,0,0,0,31.32,297.72,660.42,910.98,1151.46,1224.9,1145.52,991.62,698.04,333,69.84,0,0,0,0,0,0
하동본부,2,2013-02-17,0,0,0,0,0,0,0,3.42,45.72,162.72,155.88,134.28,110.52,61.56,30.24,54.18,11.52,0,0,0,0,0,0,0
하동본부,2,2013-02-18,0,0,0,0,0,0,0,0,0,0,3.96,21.42,82.44,176.4,242.46,232.38,73.08,4.68,0,0,0,0,0,0
하동본부,2,2013-02-19,0,0,0,0,0,0,0,0,63.9,308.7,558.9,725.58,1097.1,1116.9,873.18,673.74,387.36,105.3,0,0,0,0,0,0
하동본부,2,2013-02-20,0,0,0,0,0,0,0,43.02,320.4,672.84,972.18,1192.68,1264.86,1202.04,1016.64,726.84,383.94,105.12,0,0,0,0,0,0
