태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
하동하수처리장,1,2013-01-01,0,0,0,0,0,0,0,0,1.032,7.602,9.996,25.464,25.992,27.312,23.328,7.542,2.832,0.096,0,0,0,0,0,0
하동하수처리장,1,2013-01-02,0,0,0,0,0,0,0,0.024,5.664,20.136,30.072,36.354,39.126,38.934,33.024,21.948,8.55,0.252,0,0,0,0,0,0
하동하수처리장,1,2013-01-03,0,0,0,0,0,0,0,0.006,5.394,13.788,29.838,39.888,44.268,43.158,34.488,13.074,4.062,0.204,0,0,0,0,0,0
하동하수처리장,1,2013-01-04,0,0,0,0,0,0,0,0.006,6.264,23.322,32.52,38.586,41.196,36.3,31.566,20.844,11.352,0.18,0,0,0,0,0,0
하동하수처리장,1,2013-01-05,0,0,0,0,0,0,0,0.024,6.936,22.836,32.61,38.442,41.004,35.088,31.638,19.854,11.736,0.186,0,0,0,0,0,0
하동하수처리장,1,2013-01-06,0,0,0,0,0,0,0,0,5.616,19.41,28.392,32.94,37.53,36.48,30.696,20.304,7.626,0.318,0,0,0,0,0,0
하동하수처리장,1,2013-01-07,0,0,0,0,0,0,0,0.024,5.706,20.604,30.024,30.024,39.342,38.478,33.348,22.914,9.282,0.366,0,0,0,0,0,0
하동하수처리장,1,2013-01-08,0,0,0,0,0,0,0,0.078,5.466,19.032,28.77,34.95,38.004,36.72,31.152,21.18,9.078,0.372,0,0,0,0,0,0
하동하수처리장,1,2013-01-09,0,0,0,0,0,0,0,0.096,6.096,17.532,30.384,39.15,42.546,42.138,36.888,26.574,13.152,0.402,0,0,0,0,0,0
하동하수처리장,1,2013-01-10,0,0,0,0,0,0,0,0.018,6.648,21.75,31.596,37.818,41.394,40.986,36.39,26.412,13.362,0.456,0,0,0,0,0,0
하동하수처리장,1,2013-01-11,0,0,0,0,0,0,0,0.012,7.104,22.416,31.86,38.172,40.824,39.546,33.462,23.244,8.262,0.426,0,0,0,0,0,0
하동하수처리장,1,2013-01-12,0,0,0,0,0,0,0,0.012,5.868,18.492,28.104,34.266,38.118,38.046,31.176,20.598,9.84,0.696,0,0,0,0,0,0
하동하수처리장,1,2013-01-13,0,0,0,0,0,0,0,0,1.746,7.872,7.962,8.694,6.516,4.17,3.726,1.872,0.264,0,0,0,0,0,0,0
하동하수처리장,1,2013-01-14,0,0,0,0,0,0,0,0.024,6,20.076,28.644,34.548,36.378,35.472,31.98,21.564,8.154,0.57,0,0,0,0,0,0
하동하수처리장,1,2013-01-15,0,0,0,0,0,0,0,0.084,4.224,12.078,22.518,28.926,34.398,33.186,27.186,18.162,8.028,0.714,0,0,0,0,0,0
하동하수처리장,1,2013-01-16,0,0,0,0,0,0,0,0.012,4.488,15.672,26.346,33.294,27.48,31.392,21.306,18.846,5.25,0.39,0,0,0,0,0,0
하동하수처리장,1,2013-01-17,0,0,0,0,0,0,0,0.018,5.448,19.05,30.114,37.254,40.482,34.068,32.688,21.762,8.688,0.756,0,0,0,0,0,0
하동하수처리장,1,2013-01-18,0,0,0,0,0,0,0,0.012,6.324,21.714,32.34,39.666,42.042,40.17,36.27,28.152,14.796,1.488,0,0,0,0,0,0
하동하수처리장,1,2013-01-19,0,0,0,0,0,0,0,0.048,7.098,20.37,27.918,32.334,31.614,24.726,29.712,20.634,9.63,0.9,0,0,0,0,0,0
하동하수처리장,1,2013-01-20,0,0,0,0,0,0,0,0.036,3.444,9.498,20.034,31.812,28.938,30.048,26.07,13.692,4.452,0.606,0,0,0,0,0,0
하동하수처리장,1,2013-01-21,0,0,0,0,0,0,0,0,0,0.114,0.744,0.618,0.924,0.492,0.198,0.648,0.024,0,0,0,0,0,0,0
하동하수처리장,1,2013-01-22,0,0,0,0,0,0,0,0.018,1.65,5.808,12.852,31.974,7.98,8.754,4.77,3.99,1.014,0,0,0,0,0,0,0
하동하수처리장,1,2013-01-23,0,0,0,0,0,0,0,0,0.072,0.756,4.368,3.576,2.826,8.13,8.862,2.628,0.066,0,0,0,0,0,0,0
하동하수처리장,1,2013-01-24,0,0,0,0,0,0,0,0.102,4.686,16.116,16.488,14.958,17.268,9.588,11.676,3.09,1.896,0.114,0,0,0,0,0,0
하동하수처리장,1,2013-01-25,0,0,0,0,0,0,0,0.072,7.248,23.22,35.076,42.954,46.332,45.552,40.218,29.448,14.802,2.088,0,0,0,0,0,0
하동하수처리장,1,2013-01-26,0,0,0,0,0,0,0,0.072,6.906,23.976,36.186,44.028,48.138,47.772,42.642,32.31,17.724,3.114,0,0,0,0,0,0
하동하수처리장,1,2013-01-27,0,0,0,0,0,0,0,0.09,7.794,21.576,25.398,33.39,29.91,27.348,25.368,19.776,15.522,1.86,0,0,0,0,0,0
하동하수처리장,1,2013-01-28,0,0,0,0,0,0,0,0.042,8.7,23.976,34.164,40.968,43.38,42.804,39.258,30.48,16.272,2.856,0,0,0,0,0,0
하동하수처리장,1,2013-01-29,0,0,0,0,0,0,0,0.126,5.574,18.648,27.762,34.56,36.294,30.072,20.748,10.722,6.846,1.326,0,0,0,0,0,0
하동하수처리장,1,2013-01-30,0,0,0,0,0,0,0,0.132,5.886,17.868,27.696,35.256,39.282,39.24,34.488,25.674,10.374,1.566,0,0,0,0,0,0
하동하수처리장,1,2013-01-31,0,0,0,0,0,0,0,0.036,2.496,5.766,18.144,21.456,18.306,22.782,19.11,20.484,4.686,0.768,0,0,0,0,0,0
