태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
황금물류센터태양광,0,2015-01-01,0,0,0,0,0,0,0,1,47,230,748,632,675,625,567,326,86,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-02,0,0,0,0,0,0,0,2,44,198,369,624,654,409,142,246,77,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-03,0,0,0,0,0,0,0,1,70,232,643,718,763,720,561,312,74,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-04,0,0,0,0,0,0,0,0,59,193,499,677,693,621,479,263,77,3,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-05,0,0,0,0,0,0,0,0,71,227,419,307,459,351,371,126,51,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-06,0,0,0,0,0,0,0,0,55,229,734,855,855,764,589,346,97,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-07,0,0,0,0,0,0,0,2,28,110,607,781,657,789,618,365,153,9,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-08,0,0,0,0,0,0,0,1,33,230,762,845,845,761,594,343,99,3,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-09,0,0,0,0,0,0,0,1,56,234,646,642,729,653,449,265,77,3,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-10,0,0,0,0,0,0,0,1,35,242,710,835,831,740,579,338,100,4,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-11,0,0,0,0,0,0,0,1,70,229,534,672,739,680,568,334,102,5,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-12,0,0,0,0,0,0,0,1,45,252,739,814,806,733,572,334,104,6,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-13,0,0,0,0,0,0,0,0,43,261,615,621,620,560,294,159,61,4,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-14,0,0,0,0,0,0,0,0,6,38,78,88,83,74,55,36,16,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-15,0,0,0,0,0,0,0,0,42,252,303,357,270,421,503,312,103,6,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-16,0,0,0,0,0,0,0,1,58,250,461,422,243,229,231,90,35,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-17,0,0,0,0,0,0,0,1,41,299,811,877,860,775,619,386,125,6,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-18,0,0,0,0,0,0,0,1,32,272,735,846,834,752,445,322,98,4,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-19,0,0,0,0,0,0,0,1,67,269,599,743,763,698,566,348,125,10,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-20,0,0,0,0,0,0,0,2,42,246,681,768,627,670,497,276,83,15,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-21,0,0,0,0,0,0,0,0,36,175,108,192,95,86,48,24,7,2,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-22,0,0,0,0,0,0,0,0,38,192,166,508,319,363,81,184,143,18,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-23,0,0,0,0,0,0,0,2,81,326,629,723,711,697,562,339,125,12,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-24,0,0,0,0,0,0,0,1,46,336,720,778,777,715,579,355,122,11,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-25,0,0,0,0,0,0,0,1,40,65,63,81,92,82,119,129,40,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-26,0,0,0,0,0,0,0,0,17,187,229,159,327,389,459,196,38,7,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-27,0,0,0,0,0,0,0,2,78,342,662,692,631,515,179,121,85,21,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-28,0,0,0,0,0,0,0,1,67,226,492,803,833,777,635,409,147,15,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-29,0,0,0,0,0,0,0,0,37,64,124,222,158,89,72,25,6,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-30,0,0,0,0,0,0,0,0,52,339,743,819,823,565,578,278,156,24,0,0,0,0,0,0
황금물류센터태양광,0,2015-01-31,0,0,0,0,0,0,0,3,41,481,857,927,902,826,674,444,162,16,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-01,0,0,0,0,0,0,0,4,55,451,791,852,837,763,633,420,157,17,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-02,0,0,0,0,0,0,0,2,56,387,572,610,790,740,603,393,148,19,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-03,0,0,0,0,0,0,0,5,76,440,616,775,587,496,434,190,122,25,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-04,0,0,0,0,0,0,0,5,75,433,663,739,766,618,529,341,136,12,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-05,0,0,0,0,0,0,0,6,89,376,655,805,818,745,588,388,157,19,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-06,0,0,0,0,0,0,0,6,69,498,768,852,851,781,634,414,149,26,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-07,0,0,0,0,0,0,0,4,80,503,778,859,780,396,438,168,131,28,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-08,0,0,0,0,0,0,0,5,62,533,890,972,966,832,678,451,180,23,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-09,0,0,0,0,0,0,0,5,48,629,875,932,939,868,705,473,154,22,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-10,0,0,0,0,0,0,0,10,132,427,634,577,650,693,540,355,162,28,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-11,0,0,0,0,0,0,0,5,109,237,485,748,447,463,300,179,134,30,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-12,0,0,0,0,0,0,0,8,82,603,822,923,917,817,667,435,163,30,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-13,0,0,0,0,0,0,0,6,74,653,855,924,907,826,689,456,185,26,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-14,0,0,0,0,0,0,0,9,89,593,772,852,838,748,591,387,168,33,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-15,0,0,0,0,0,0,0,0,12,56,50,39,41,33,35,16,2,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-16,0,0,0,0,0,0,0,0,0,7,15,39,59,53,34,21,11,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-17,0,0,0,0,0,0,0,3,84,304,342,794,772,741,408,388,184,40,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-18,0,0,0,0,0,0,0,17,162,562,730,770,727,782,634,423,195,35,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-19,0,0,0,0,0,0,0,18,153,621,798,878,864,794,642,432,193,44,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-20,0,0,0,0,0,0,0,21,157,584,765,825,833,761,586,376,182,51,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-21,0,0,0,0,0,0,0,1,17,44,63,57,71,63,43,23,13,0,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-22,0,0,0,0,0,0,0,4,46,61,334,328,785,833,665,398,217,45,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-23,0,0,0,0,0,0,0,5,74,135,413,859,873,802,679,468,189,43,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-24,0,0,0,0,0,0,0,11,103,282,437,785,791,713,662,466,212,42,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-25,0,0,0,0,0,0,0,18,101,183,278,400,225,447,311,133,93,22,0,0,0,0,0,0
황금물류센터태양광,0,2015-02-26,0,0,0,0,0,0,0,27,164,205,147,427,850,812,682,476,223,48,1,0,0,0,0,0
