태양광명,관할기관,설비용량,설비구분,주소
경상대,한국남동발전,905 ,태양광,경남 진주시 진주대로 501
광양항세방,한국남동발전,3097 ,태양광,전남 광양시 컨부두로 545
구미,한국남동발전,992 ,태양광,경북 구미시 금전동 848
두산MG,한국남동발전,77 ,태양광,경남 창원시 성산구 공단로 69
남동발전_본사사옥,한국남동발전,404 ,태양광,경남 진주시 사들로123번길 32 한국남동발전
삼천포태양광#1,한국남동발전,100 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#2,한국남동발전,990 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#3,한국남동발전,350 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#4,한국남동발전,1850 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#5,한국남동발전,10586 ,태양광,경남 고성군 하이면 하이로 1
영흥태양광#1,한국남동발전,1000 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광#2,한국남동발전,993 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광#3,한국남동발전,3332 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광#3,한국남동발전,1283 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광#3,한국남동발전,1538 ,태양광,인천광역시 옹진군 영흥면 외리 368
예천,한국남동발전,2000 ,태양광,경북 예천군 은풍면 도효자로 1210 예천양수발전소
탑선#1,한국남동발전,607 ,태양광,전남 장성군 동화면 전자농공단지길 32
탑선#3,한국남동발전,403 ,태양광,전남 장성군 동화면 전자농공단지길 32
탕정,한국남동발전,1200 ,태양광,"탕정 삼성 공장, 화재로 제대로 운영 X"
영흥태양광ESS 2단지,한국남동발전,3000 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,한국남동발전,9000 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,한국남동발전,3000 ,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,한국남동발전,6000 ,태양광,인천광역시 옹진군 영흥면 외리 368
삼천포태양광 ESS,한국남동발전,1000 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광 ESS,한국남동발전,1500 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#5 ESS,한국남동발전,4000 ,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#5 ESS,한국남동발전,6000 ,태양광,경남 고성군 하이면 하이로 1
여수,한국남동발전,118 ,태양광,전남 여수시 여수산단로 727
영동,한국남동발전,1066 ,태양광,경기 성남시 분당구 분당로 336
영암에프원b,한국서부발전,13300 ,태양광,전남 영암군 삼호읍 에프원로 2
세종시폐기물매립장,한국서부발전,1625 ,태양광,세종특별자치시 고운동 552
연성정수장,한국서부발전,1490 ,태양광,경기도 시흥시 시흥대로412번길 87
남제주소내,한국남부발전,196 ,태양광,서귀포시 안덕면 화순해안로 106번길 55
부산복합자재창고,한국남부발전,187 ,태양광,부산광역시 사하구 감천항로 7(감천동)
부산본부,한국남부발전,1400 ,태양광,부산광역시 사하구 감천항로 7(감천동)
부산수처리장,한국남부발전,110 ,태양광,부산광역시 사하구 감천항로 7(감천동)
부산신항,한국남부발전,115 ,태양광,부산 강서구 성북동 1490
부산복합1단계,한국남부발전,390 ,태양광,부산광역시 사하구 감천항로 7(감천동)
부산복합2단계,한국남부발전,501 ,태양광,부산광역시 사하구 감천항로 7(감천동)
삼척소내,한국남부발전,999 ,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#2,한국남부발전,990 ,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#3,한국남부발전,2002 ,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#4,한국남부발전,2599 ,태양광,강원도 삼척시 원덕읍 삼척로 734
신인천소내,한국남부발전,200 ,태양광,인천광역시 서구 장도로 57 (청라동)
신인천전망대,한국남부발전,1742 ,태양광,인천광역시 서구 장도로 57 (청라동)
신인천해수취수구,한국남부발전,907 ,태양광,인천광역시 서구 장도로 57 (청라동)
영월본부,한국남부발전,76 ,태양광,영월군 영월읍 중앙로 411
영월철도부지,한국남부발전,1190 ,태양광,강원도 영월군 영월읍 중앙로 411 정양리 일원(585)
위미2리,한국남부발전,995 ,태양광,제주특별자치도 서귀포시 남원읍 위미리 3696
인천수산정수장,한국남부발전,998 ,태양광,인천광역시 남동구 수산동 294-4
하동공설운동장,한국남부발전,370 ,태양광,하동군 적량면 고절리 1209-1
하동변전소,한국남부발전,48 ,태양광,하동군 적량면 동산리 867
하동보건소,한국남부발전,40 ,태양광,하동군 하동읍 읍내리 149-1
하동본부#1,한국남부발전,998 ,태양광,하동군 금성면 가덕리 310
하동본부,한국남부발전,1900 ,태양광,하동군 금성면 가덕리 310
하동본부#3,한국남부발전,600 ,태양광,하동군 금성면 가덕리 310
하동본부#4,한국남부발전,997 ,태양광,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100"
하동본부#5,한국남부발전,997 ,태양광,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100"
하동본부#6,한국남부발전,998 ,태양광,"하동군 금성면 가덕리 1321,309"
하동정수장,한국남부발전,93 ,태양광,하동군 하동읍 두곡리 543
하동하수처리장,한국남부발전,55 ,태양광,하동군 하동읍 신기리 2-2
당진,한국동서발전,1000 ,태양광,충남 당진시 석문면 교로길 30
당진매립장_송악,한국동서발전,1311 ,태양광,충남 당진시 송산면 가곡리 499
당진자재창고,한국동서발전,700 ,태양광,충남 당진시 석문면 교로길 30
당진수상,한국동서발전,1000 ,태양광,충남 당진시 석문면 교로길 30
당진저탄장,한국동서발전,3400 ,태양광,충남 당진시 석문면 교로길 30
당진2회처리장,한국동서발전,3500 ,태양광,충남 당진시 석문면 교로길 30
당진후문주차장,한국동서발전,1000 ,태양광,충남 당진시 석문면 교로길 30
호남,한국동서발전,100 ,태양광,전남 여수시 월내동 280
광양항,한국동서발전,2300 ,태양광,전남 광양시 도이동 775 
황금물류센터,한국동서발전,1100 ,태양광,전남 광양시 도이동 815
울산,한국동서발전,500 ,태양광,울산광역시 남구 용잠로 623
울산4복합,한국동서발전,400 ,태양광,울산광역시 남구 용잠로 623
동해,한국동서발전,1000 ,태양광,강원도 동해시 구호동 231
동해해파랑,한국동서발전,2400 ,태양광,강원도 동해시 구미동 2번지
수원환경사업소,한국동서발전,1500 ,태양광,경기도 화성시 송산동 5-1
판교가압장태양광,한국지역난방공사,56 ,태양광,경기도 성남시 분당구 판교로 228번길 88
수원영통태양광,한국지역난방공사,100 ,태양광,경기도 수원시 영통구 매영로 293
수원장안태양광,한국지역난방공사,46 ,태양광,경기 수원시 장안구 덕영대로 623
청주태양광,한국지역난방공사,70 ,태양광,충청북도 청주시 서원구 3순환로 644번길 159
경남태양광,한국지역난방공사,100 ,태양광,경상남도 양산시 동면 강변로 266
분당주차장태양광,한국지역난방공사,70 ,태양광,경기도 성남시 분당구 분당로 368
대구,한국지역난방공사,110 ,태양광,대구광역시 달서구 달서대로 351
신안,한국지역난방공사,806 ,태양광,전남 나주시 산포면 신도산단길 65
함백태양광,한국지역난방공사,992 ,태양광,강원 정선군 신동읍 방제리 산117-5
분당제2호주차장태양광,한국지역난방공사,82 ,태양광,경기도 성남시 분당구 분당로 368
