구분,설비명,용 량(MW),설치 및 개소일,주소,설치각(°),입사각(°)
1,당 진,1,2010-09,충남 당진시 석문면 교로길 30,30,30
2,송 악,1.3,2011-12,충남 당진시 송산면 가곡리 499,6,6
3,당진 자재창고,0.7,2012-12,충남 당진시 석문면 교로길 30,30,30
4,당진수상,1,2013-06,충남 당진시 석문면 교로길 30,30,30
5,당진 저탄장,3.4,2017-06,충남 당진시 석문면 교로길 30,34.05,34.05
6,당진 2회처리장,3.5,2018-09,충남 당진시 석문면 교로길 30,12,12
7,당진 후문주차장,1,2018-12,충남 당진시 석문면 교로길 30,25,25
8,호 남,0.1,2011-01,전남 여수시 월내동 280,30,30
9,광양항,2.3,2011-12,전남 광양시 도이동 775 ,15,15
10,황금물류,1.1,2014-06,전남 광양시 도이동 815,30,30
11,울 산,0.5,2011-03,울산광역시 남구 용잠로 623,20,20
12,울산4복합,0.4,2018-01,울산광역시 남구 용잠로 623,30,30
13,동해,1,2006-09,강원도 동해시 구호동 231,10,10
14,동해 해파랑,2.4,2017-12,강원도 동해시 구미동 2번지,27,27
15,수원 하수처리장,1.5,2014-01,경기도 화성시 송산동 5-1,25,25
