태양광명,연도,용량,단위,사업구분,형식,발전량(MWh)
판교가압장태양광,2020,56,kWp,RPS,고정,59.391
수원영통태양광,2020,99.96,kWp,RPS,고정,119.686
수원장안태양광,2020,45.5,kWp,RPS,고정,58.091
청주태양광,2020,70,kWp,RPS,고정,81.492
경남태양광,2020,99.96,kWp,RPS,고정,129.304
분당주차장태양광,2020,70,kWp,RPS,고정,71.197
대구태양광,2020,110.43,kWp,발전차액지원,고정/가변고정,85.03
신안태양광,2020,806.4,kWp,발전차액지원,고정/단축/양축,827.480831
함백태양광,2020,992,kWp,RPS,고정,941.357
분당 제2호 주차장태양광,2020,81.6,kWp,RPS,고정,67.847
판교가압장태양광,2019,56,kWp,RPS,고정,54.252
수원영통태양광,2019,99.96,kWp,RPS,고정,120.01
수원장안태양광,2019,45.5,kWp,RPS,고정,58.931
청주태양광,2019,70,kWp,RPS,고정,80.697
경남태양광,2019,99.96,kWp,RPS,고정,131.252
분당주차장태양광,2019,70,kWp,RPS,고정,90.89
대구태양광,2019,110.43,kWp,발전차액지원,고정/가변고정,104.389
신안태양광,2019,806.4,kWp,발전차액지원,고정/단축/양축,972.617
판교가압장태양광,2018,56,kWp,RPS,고정,68.611
수원영통태양광,2018,99.96,kWp,RPS,고정,124.667
수원장안태양광,2018,45.5,kWp,RPS,고정,58.445
청주태양광,2018,70,kWp,RPS,고정,86.466
경남태양광,2018,99.96,kWp,RPS,고정,129.399
분당주차장태양광,2018,70,kWp,RPS,고정,91.486
대구태양광,2018,110.43,kWp,발전차액지원,고정/가변고정,110.325
신안태양광,2018,806.4,kWp,발전차액지원,고정/단축/양축,966.054
판교가압장태양광,2017,56,kWp,RPS,고정,67.224
수원영통태양광,2017,99.96,kWp,RPS,고정,117.95
수원장안태양광,2017,45.5,kWp,RPS,고정,55.196
청주태양광,2017,70,kWp,RPS,고정,90.846
경남태양광,2017,99.96,kWp,RPS,고정,137.762
분당주차장태양광,2017,70,kWp,RPS,고정,87.333
대구태양광,2017,110.43,kWp,발전차액지원,고정/가변고정,112.749
신안태양광,2017,806.4,kWp,발전차액지원,고정/단축/양축,1022.888
판교가압장태양광,2016,56,kWp,RPS,고정,66
수원영통태양광,2016,99.96,kWp,RPS,고정,119
수원장안태양광,2016,45.5,kWp,RPS,고정,50
청주태양광,2016,70,kWp,RPS,고정,87
경남태양광,2016,99.96,kWp,RPS,고정,100
분당주차장태양광,2016,70,kWp,RPS,고정,80
대구태양광,2016,110.43,kWp,발전차액지원,고정/가변고정,112
신안태양광,2016,806.4,kWp,발전차액지원,고정/단축/양축,968
판교가압장태양광,2015,56,kWp,RPS,고정,65
수원영통태양광,2015,99.96,kWp,RPS,고정,121
수원장안태양광,2015,45.5,kWp,RPS,고정,60
청주태양광,2015,70,kWp,RPS,고정,88
경남태양광,2015,99.96,kWp,RPS,고정,125
분당주차장태양광,2015,70,kWp,RPS,고정,80
대구태양광,2015,110.43,kWp,발전차액지원,고정/가변고정,112
신안태양광,2015,806.4,kWp,발전차액지원,고정/단축/양축,1030
판교가압장태양광,2014,56,kWp,RPS,고정,60.28
수원영통태양광,2014,99.96,kWp,RPS,고정,117.12
수원장안태양광,2014,45.5,kWp,RPS,고정,55.29
청주태양광,2014,70,kWp,RPS,고정,85.79
경남태양광,2014,99.96,kWp,RPS,고정,119.56
분당주차장태양광,2014,70,kWp,RPS,고정,77.03
대구태양광,2014,110.43,kWp,발전차액지원,고정/가변고정,112.94
신안태양광,2014,806.4,kWp,발전차액지원,고정/단축/양축,986.24
판교가압장태양광,2013,56,kWp,RPS,고정,62.88
수원영통태양광,2013,99.96,kWp,RPS,고정,108.29
수원장안태양광,2013,45.5,kWp,RPS,고정,56.95
청주태양광,2013,70,kWp,RPS,고정,88.56
경남태양광,2013,99.96,kWp,RPS,고정,141.29
분당주차장태양광,2013,70,kWp,RPS,고정,75.18
대구태양광,2013,110.43,kWp,발전차액지원,고정/가변고정,128
신안태양광,2013,806.4,kWp,발전차액지원,고정/단축/양축,1126
판교가압장태양광,2012,56,kWp,RPS,고정,79.08
수원영통태양광,2012,99.96,kWp,RPS,고정,128.43
수원장안태양광,2012,45.5,kWp,RPS,고정,57.15
청주태양광,2012,70,kWp,RPS,고정,86.22
경남태양광,2012,99.96,kWp,RPS,고정,133.33
분당주차장태양광,2012,70,kWp,RPS,고정,35.7
대구태양광,2012,110.43,kWp,발전차액지원,고정/가변고정,123.1
신안태양광,2012,806.4,kWp,발전차액지원,고정/단축/양축,1036.62
